"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"30.12.2021","28,85","29,13","29,19","28,77","12,58M","-0,38%"
"29.12.2021","28,96","29,18","29,31","28,94","7,67M","-0,52%"
"28.12.2021","29,11","29,34","29,39","29,01","8,64M","-0,58%"
"27.12.2021","29,28","29,25","29,49","29,20","5,75M","0,21%"
"23.12.2021","29,22","29,30","29,48","29,16","7,34M","-0,38%"
"22.12.2021","29,33","29,60","29,65","29,16","12,48M","-0,58%"
"21.12.2021","29,50","29,75","30,10","29,50","11,77M","0,27%"
"20.12.2021","29,42","29,97","29,97","29,24","21,29M","-3,00%"
"17.12.2021","30,33","31,12","31,32","30,15","22,79M","-3,44%"
"16.12.2021","31,41","31,71","32,14","31,09","15,77M","-0,32%"
"15.12.2021","31,51","32,21","32,23","30,74","22,41M","-1,72%"
"14.12.2021","32,06","32,48","32,92","31,90","14,51M","-0,53%"
"13.12.2021","32,23","32,50","33,07","32,23","12,03M","-0,83%"
"10.12.2021","32,50","32,26","32,87","32,02","8,29M","1,50%"
"09.12.2021","32,02","32,80","32,92","31,88","9,72M","-2,23%"
"08.12.2021","32,75","32,78","32,95","32,30","10,29M","0,46%"
"07.12.2021","32,60","33,60","33,60","32,48","12,69M","-1,42%"
"06.12.2021","33,07","32,73","33,60","32,62","21,27M","2,70%"
"03.12.2021","32,20","32,21","32,66","31,83","17,32M","0,12%"
"02.12.2021","32,16","31,69","32,40","31,64","17,65M","2,75%"
"01.12.2021","31,30","32,50","32,80","31,30","25,90M","-1,70%"
"30.11.2021","31,84","30,71","31,84","30,22","32,59M","3,34%"
"29.11.2021","30,81","31,18","31,64","30,81","11,67M","0,16%"
"26.11.2021","30,76","30,75","31,23","30,55","13,32M","-3,30%"
"25.11.2021","31,81","30,37","31,81","30,30","24,71M","5,19%"
"24.11.2021","30,24","29,40","30,35","29,31","13,91M","1,85%"
"23.11.2021","29,69","28,88","29,77","28,30","16,33M","2,77%"
"22.11.2021","28,89","29,25","29,53","28,82","15,69M","-0,55%"
"19.11.2021","29,05","29,15","29,31","28,91","18,45M","-0,14%"
"18.11.2021","29,09","29,37","29,45","28,90","19,43M","-0,75%"
"17.11.2021","29,31","29,76","30,10","29,29","13,81M","-1,41%"
"16.11.2021","29,73","30,28","30,45","29,53","8,77M","-1,39%"
"12.11.2021","30,15","30,31","30,68","29,97","8,74M","-0,17%"
"11.11.2021","30,20","31,10","31,13","30,20","21,43M","-1,92%"
"10.11.2021","30,79","29,52","31,07","29,50","20,40M","4,59%"
"09.11.2021","29,44","30,40","30,62","29,44","20,78M","-0,14%"
"08.11.2021","29,48","29,00","29,66","28,92","7,98M","0,65%"
"05.11.2021","29,29","29,00","29,57","28,88","7,58M","2,23%"
"04.11.2021","28,65","29,39","29,52","28,47","11,01M","-2,35%"
"03.11.2021","29,34","29,05","29,84","28,92","10,96M","0,65%"
"01.11.2021","29,15","28,96","29,59","28,82","8,73M","2,28%"
"29.10.2021","28,50","29,17","29,17","28,39","11,09M","-1,42%"
"28.10.2021","28,91","29,25","29,29","28,64","8,93M","-0,89%"
"27.10.2021","29,17","29,28","29,90","29,17","7,51M","-0,10%"
"26.10.2021","29,20","29,29","29,54","28,95","11,10M","-1,05%"
"25.10.2021","29,51","29,07","29,79","29,07","10,99M","2,08%"
"22.10.2021","28,91","29,64","29,64","27,91","32,66M","-3,05%"
"21.10.2021","29,82","30,50","30,96","29,35","25,59M","-4,24%"
"20.10.2021","31,14","31,00","31,54","30,55","12,59M","1,67%"
"19.10.2021","30,63","31,87","31,87","30,54","22,73M","-4,91%"
"18.10.2021","32,21","31,25","32,37","31,14","14,94M","1,99%"
"15.10.2021","31,58","30,81","31,80","30,60","14,13M","3,17%"
"14.10.2021","30,61","30,98","31,14","30,55","10,58M","-0,49%"
"13.10.2021","30,76","30,72","30,97","30,34","10,14M","0,13%"
"11.10.2021","30,72","31,06","31,18","30,59","7,70M","-0,78%"
"08.10.2021","30,96","30,50","31,23","30,48","13,41M","2,11%"
"07.10.2021","30,32","30,73","31,08","30,18","11,65M","-1,04%"
"06.10.2021","30,64","30,15","30,74","29,83","15,81M","0,16%"
"05.10.2021","30,59","29,30","30,78","29,19","29,10M","4,76%"
"04.10.2021","29,20","29,51","29,54","28,92","9,73M","-1,18%"
"01.10.2021","29,55","29,03","29,59","28,90","9,34M","2,25%"
"30.09.2021","28,90","29,60","29,60","28,90","11,44M","-1,77%"
"29.09.2021","29,42","29,52","29,68","29,25","11,92M","0,55%"
"28.09.2021","29,26","29,61","30,20","29,05","15,83M","-2,04%"
"27.09.2021","29,87","29,26","30,21","29,17","18,69M","2,22%"
"24.09.2021","29,22","29,27","29,55","29,17","11,99M","-0,78%"
"23.09.2021","29,45","29,51","29,74","29,27","16,08M","0,24%"
"22.09.2021","29,38","29,00","29,80","28,90","24,48M","2,33%"
"21.09.2021","28,71","28,48","28,76","28,10","13,56M","2,54%"
"20.09.2021","28,00","28,32","28,57","27,74","15,66M","-3,25%"
"17.09.2021","28,94","29,25","29,54","28,94","18,65M","-1,80%"
"16.09.2021","29,47","28,93","29,62","28,83","15,25M","1,62%"
"15.09.2021","29,00","29,26","29,28","28,92","8,23M","-0,79%"
"14.09.2021","29,23","29,43","29,68","29,09","8,10M","-1,35%"
"13.09.2021","29,63","29,72","29,96","29,40","9,92M","2,21%"
"10.09.2021","28,99","29,49","29,90","28,99","16,99M","0,31%"
"09.09.2021","28,90","28,55","29,30","28,16","13,41M","1,76%"
"08.09.2021","28,40","29,34","29,38","28,32","13,22M","-4,22%"
"06.09.2021","29,65","29,12","29,68","29,00","5,85M","1,79%"
"03.09.2021","29,13","29,39","29,52","28,77","13,91M","-0,24%"
"02.09.2021","29,20","30,30","30,45","29,12","14,53M","-4,14%"
"01.09.2021","30,46","30,52","30,82","30,38","6,48M","0,10%"
"31.08.2021","30,43","30,30","30,90","30,24","13,72M","0,63%"
"30.08.2021","30,24","30,48","30,59","30,14","6,46M","-0,95%"
"27.08.2021","30,53","30,31","30,60","30,00","6,03M","1,53%"
"26.08.2021","30,07","30,32","30,59","30,03","7,77M","-1,41%"
"25.08.2021","30,50","30,47","30,51","30,13","8,17M","-0,33%"
"24.08.2021","30,60","30,34","30,76","30,12","15,47M","2,07%"
"23.08.2021","29,98","29,74","30,10","29,65","18,74M","0,91%"
"20.08.2021","29,71","29,48","29,85","29,34","10,02M","0,13%"
"19.08.2021","29,67","29,23","29,91","29,12","12,03M","0,68%"
"18.08.2021","29,47","29,41","30,09","29,27","16,00M","0,48%"
"17.08.2021","29,33","29,52","29,69","29,00","16,38M","-0,41%"
"16.08.2021","29,45","29,48","30,05","29,36","15,97M","-0,17%"
"13.08.2021","29,50","29,91","30,03","29,19","25,21M","-0,81%"
"12.08.2021","29,74","30,43","30,54","29,60","21,44M","-2,17%"
"11.08.2021","30,40","30,83","30,84","30,23","22,42M","-0,98%"
"10.08.2021","30,70","31,59","32,08","30,70","22,65M","-2,54%"
"09.08.2021","31,50","31,76","32,25","31,50","10,07M","-0,91%"
"06.08.2021","31,79","31,07","31,90","30,90","11,72M","3,05%"
"05.08.2021","30,85","32,05","32,55","30,82","19,20M","-1,78%"
"04.08.2021","31,41","31,76","31,85","31,15","8,63M","-1,47%"
"03.08.2021","31,88","32,23","32,33","31,42","8,10M","-0,56%"
"02.08.2021","32,06","31,98","32,79","31,95","11,63M","1,36%"
"30.07.2021","31,63","32,05","32,55","31,45","13,37M","-2,32%"
"29.07.2021","32,38","32,90","32,93","32,22","7,58M","-1,58%"
"28.07.2021","32,90","32,57","32,90","32,40","9,06M","1,48%"
"27.07.2021","32,42","32,05","32,57","32,01","7,38M","0,46%"
"26.07.2021","32,27","31,74","32,32","31,74","6,01M","1,54%"
"23.07.2021","31,78","31,99","32,21","31,62","5,34M","-0,53%"
"22.07.2021","31,95","32,38","32,55","31,88","6,74M","-1,48%"
