"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"30.12.2021","16,19","16,37","16,37","16,06","5,11M","-0,61%"
"29.12.2021","16,29","16,44","16,48","16,14","5,19M","-0,73%"
"28.12.2021","16,41","16,42","16,52","16,27","5,07M","-0,06%"
"27.12.2021","16,42","16,35","16,54","16,24","6,02M","1,05%"
"23.12.2021","16,25","16,30","16,48","16,16","9,71M","-0,12%"
"22.12.2021","16,27","16,29","16,29","16,07","5,58M","0,25%"
"21.12.2021","16,23","16,40","16,56","16,21","4,37M","-1,76%"
"20.12.2021","16,52","16,76","16,76","16,36","6,73M","-1,90%"
"17.12.2021","16,84","17,10","17,22","16,80","11,04M","-2,77%"
"16.12.2021","17,32","17,24","17,46","17,00","8,79M","1,05%"
"15.12.2021","17,14","17,20","17,28","16,87","6,19M","-0,06%"
"14.12.2021","17,15","17,10","17,70","17,00","10,60M","1,36%"
"13.12.2021","16,92","17,20","17,50","16,92","6,02M","-1,63%"
"10.12.2021","17,20","17,32","17,42","17,01","6,15M","0,00%"
"09.12.2021","17,20","17,76","17,77","17,10","4,96M","-2,99%"
"08.12.2021","17,73","17,94","17,94","17,43","6,02M","-0,28%"
"07.12.2021","17,78","18,30","18,34","17,71","5,18M","-1,33%"
"06.12.2021","18,02","17,95","18,49","17,88","12,39M","1,18%"
"03.12.2021","17,81","17,75","18,14","17,72","10,68M","0,28%"
"02.12.2021","17,76","17,21","17,82","17,11","11,15M","4,90%"
"01.12.2021","16,93","17,24","17,52","16,91","9,56M","-0,53%"
"30.11.2021","17,02","17,41","17,43","16,81","16,21M","-2,41%"
"29.11.2021","17,44","17,75","17,83","17,36","4,37M","-0,57%"
"26.11.2021","17,54","17,73","17,73","17,26","5,31M","-3,52%"
"25.11.2021","18,18","18,18","18,39","17,99","5,60M","0,39%"
"24.11.2021","18,11","17,58","18,15","17,52","7,02M","1,80%"
"23.11.2021","17,79","17,46","17,79","17,13","7,83M","2,48%"
"22.11.2021","17,36","17,49","17,87","17,32","5,16M","-1,31%"
"19.11.2021","17,59","17,46","17,74","17,34","8,62M","0,17%"
