"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"30.12.2021","100,80","100,81","101,45","100,29","3,40M","0,55%"
"29.12.2021","100,25","101,24","101,35","99,94","7,34M","-0,80%"
"28.12.2021","101,06","101,83","101,83","100,59","7,17M","-0,53%"
"27.12.2021","101,60","101,40","101,80","100,95","5,27M","0,74%"
"23.12.2021","100,85","101,60","101,60","100,71","5,05M","-0,57%"
"22.12.2021","101,43","101,70","101,79","100,44","7,26M","0,01%"
"21.12.2021","101,42","101,89","101,94","101,10","6,27M","0,42%"
"20.12.2021","101,00","101,98","101,98","100,40","9,66M","-2,04%"
"17.12.2021","103,10","103,38","103,80","102,50","9,28M","-1,25%"
"16.12.2021","104,41","104,50","104,88","103,62","9,00M","1,17%"
"15.12.2021","103,20","102,70","104,10","101,67","6,69M","0,49%"
"14.12.2021","102,70","104,59","105,10","102,44","5,75M","-0,77%"
"13.12.2021","103,50","103,90","105,41","103,46","8,55M","-0,22%"
"10.12.2021","103,73","103,60","104,24","103,25","5,77M","1,56%"
"09.12.2021","102,14","103,37","103,48","101,90","7,13M","-1,98%"
"08.12.2021","104,20","103,85","104,54","103,31","6,09M","0,55%"
"07.12.2021","103,63","104,50","104,50","103,12","7,16M","0,61%"
"06.12.2021","103,00","101,98","103,57","101,68","9,26M","1,66%"
"03.12.2021","101,32","100,86","102,84","100,15","11,46M","0,89%"
"02.12.2021","100,43","98,45","100,43","98,30","11,75M","3,44%"
"01.12.2021","97,09","99,26","100,18","96,91","14,18M","-1,28%"
"30.11.2021","98,35","98,59","99,19","96,32","11,31M","-0,67%"
"29.11.2021","99,01","99,64","100,20","98,74","7,10M","0,63%"
"26.11.2021","98,39","99,39","99,39","97,60","10,40M","-3,53%"
"25.11.2021","101,99","101,01","102,46","100,77","8,61M","1,32%"
"24.11.2021","100,66","99,14","101,17","98,51","15,89M","0,66%"
"23.11.2021","100,00","99,17","100,00","97,88","12,46M","1,79%"
"22.11.2021","98,24","99,53","100,65","98,23","8,72M","-1,04%"
"19.11.2021","99,27","98,79","100,02","98,34","8,39M","0,63%"
"18.11.2021","98,65","99,37","99,87","98,14","10,52M","-0,60%"
"17.11.2021","99,25","101,50","101,54","98,50","8,64M","-1,11%"
"16.11.2021","100,36","102,73","102,85","100,12","9,48M","-1,73%"
"12.11.2021","102,13","103,30","103,87","101,73","7,57M","-1,37%"
"11.11.2021","103,55","103,54","104,50","103,23","12,87M","1,50%"
"10.11.2021","102,02","101,26","103,29","101,06","9,35M","0,62%"
"09.11.2021","101,39","100,98","102,63","100,95","9,32M","0,56%"
"08.11.2021","100,83","100,12","101,75","100,10","7,16M","0,02%"
"05.11.2021","100,81","100,50","101,57","100,38","7,11M","1,16%"
"04.11.2021","99,65","101,52","101,52","98,87","14,73M","-2,30%"
"03.11.2021","102,00","100,80","102,82","100,14","15,58M","0,47%"
"01.11.2021","101,52","100,76","102,07","100,41","11,15M","1,85%"
"29.10.2021","99,68","101,99","102,04","99,47","10,63M","-0,92%"
"28.10.2021","100,61","101,84","103,20","100,61","7,57M","-1,75%"
"27.10.2021","102,40","103,15","104,13","101,96","9,46M","0,15%"
"26.10.2021","102,25","103,37","103,64","102,20","11,08M","-2,20%"
"25.10.2021","104,55","103,74","105,24","102,96","23,25M","2,17%"
"22.10.2021","102,33","102,46","103,77","98,88","27,09M","-1,27%"
"21.10.2021","103,65","104,49","105,31","101,62","15,08M","-2,58%"
"20.10.2021","106,40","107,19","107,78","105,90","9,99M","-0,37%"
"19.10.2021","106,80","108,33","108,87","105,72","18,75M","-2,86%"
"18.10.2021","109,95","108,80","110,53","108,42","7,64M","-0,24%"
"15.10.2021","110,22","109,05","110,37","108,67","10,72M","1,15%"
"14.10.2021","108,97","109,45","109,45","108,32","6,56M","-0,25%"
"13.10.2021","109,24","108,03","109,86","107,68","9,43M","1,38%"
"11.10.2021","107,75","108,66","109,60","107,75","5,31M","-0,59%"
"08.10.2021","108,39","107,82","110,05","107,62","6,58M","1,85%"
"07.10.2021","106,42","106,73","107,20","106,27","8,62M","0,05%"
"06.10.2021","106,37","104,71","106,43","103,97","13,11M","0,24%"
"05.10.2021","106,12","106,23","107,48","105,81","11,27M","-0,06%"
"04.10.2021","106,18","107,51","107,52","105,74","6,66M","-2,13%"
"01.10.2021","108,49","107,01","108,70","106,95","8,02M","1,88%"
"30.09.2021","106,49","107,35","108,05","106,43","9,05M","-0,32%"
"29.09.2021","106,83","106,88","107,74","106,13","7,33M","0,94%"
"28.09.2021","105,83","108,57","108,82","105,71","10,84M","-2,81%"
"27.09.2021","108,89","108,93","110,40","107,85","9,02M","-0,13%"
"24.09.2021","109,03","108,61","109,19","108,13","7,90M","-0,52%"
"23.09.2021","109,60","108,27","109,99","108,12","12,51M","1,49%"
"22.09.2021","107,99","107,60","109,00","107,47","14,98M","2,10%"
"21.09.2021","105,77","105,30","106,71","104,77","12,49M","0,95%"
"20.09.2021","104,77","105,25","105,66","103,44","15,86M","-2,21%"
"17.09.2021","107,14","109,18","109,18","106,92","9,21M","-2,10%"
"16.09.2021","109,44","109,77","110,12","109,04","7,89M","-1,12%"
"15.09.2021","110,68","111,74","111,74","110,32","7,20M","-0,91%"
"14.09.2021","111,70","112,02","112,83","111,41","7,81M","-0,37%"
"13.09.2021","112,12","111,68","112,65","111,05","8,03M","2,04%"
"10.09.2021","109,88","112,30","112,45","109,88","13,87M","-1,46%"
"09.09.2021","111,51","109,55","112,22","108,10","13,77M","2,23%"
"08.09.2021","109,08","113,19","113,27","108,82","16,06M","-3,88%"
"06.09.2021","113,48","112,00","113,61","111,73","5,94M","1,24%"
"03.09.2021","112,09","113,01","113,21","111,23","8,60M","-0,05%"
"02.09.2021","112,15","114,14","114,14","112,11","5,84M","-2,31%"
"01.09.2021","114,80","114,15","115,45","113,55","5,20M","0,63%"
"31.08.2021","114,08","114,98","115,57","113,35","5,87M","-0,87%"
"30.08.2021","115,08","115,75","115,82","114,79","5,99M","-0,95%"
"27.08.2021","116,18","114,65","116,18","114,51","4,81M","1,85%"
"26.08.2021","114,07","115,66","116,25","114,07","6,59M","-1,78%"
"25.08.2021","116,14","115,11","116,14","114,66","4,82M","0,44%"
"24.08.2021","115,63","114,55","115,89","114,24","6,92M","2,28%"
"23.08.2021","113,05","113,65","113,94","112,59","4,76M","-0,53%"
"20.08.2021","113,65","111,49","113,87","111,37","7,58M","0,71%"
"19.08.2021","112,85","110,82","113,17","110,00","12,33M","0,70%"
"18.08.2021","112,06","113,06","114,36","112,06","14,24M","-1,14%"
"17.08.2021","113,35","114,30","114,60","111,89","13,29M","-1,12%"
"16.08.2021","114,63","116,18","116,18","114,21","9,79M","-1,66%"
"13.08.2021","116,56","116,45","116,68","115,35","5,52M","0,60%"
"12.08.2021","115,87","117,29","117,29","115,87","7,64M","-1,19%"
"11.08.2021","117,26","117,49","118,08","116,18","5,90M","-0,26%"
"10.08.2021","117,57","118,50","118,82","117,39","5,77M","-0,48%"
"09.08.2021","118,14","117,79","118,92","117,58","6,10M","-0,08%"
"06.08.2021","118,24","117,40","118,59","116,91","5,13M","1,12%"
