"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"30.12.2021","24,99","24,59","25,09","24,44","7,25M","2,04%"
"29.12.2021","24,49","24,45","24,66","24,21","4,42M","-0,04%"
"28.12.2021","24,50","24,65","24,82","24,21","8,82M","-0,61%"
"27.12.2021","24,65","24,06","24,65","23,95","6,05M","2,67%"
"23.12.2021","24,01","23,86","24,13","23,70","4,57M","0,76%"
"22.12.2021","23,83","23,43","24,22","23,37","11,07M","1,10%"
"21.12.2021","23,57","22,82","23,63","22,68","10,55M","5,55%"
"20.12.2021","22,33","23,00","23,41","22,03","16,37M","-3,50%"
"17.12.2021","23,14","23,50","24,15","21,51","41,98M","-6,88%"
"16.12.2021","24,85","24,73","25,15","24,52","11,79M","2,26%"
"15.12.2021","24,30","24,57","24,67","24,01","7,46M","-0,78%"
"14.12.2021","24,49","24,79","24,79","24,40","5,05M","-0,16%"
"13.12.2021","24,53","24,31","25,01","24,31","5,82M","2,85%"
"10.12.2021","23,85","23,93","24,17","23,69","3,33M","0,38%"
"09.12.2021","23,76","23,83","23,91","23,60","4,03M","-0,79%"
"08.12.2021","23,95","24,27","24,28","23,79","4,19M","-0,33%"
"07.12.2021","24,03","24,50","24,97","23,87","8,18M","0,75%"
"06.12.2021","23,85","23,21","24,04","23,14","5,42M","3,56%"
"03.12.2021","23,03","23,45","23,72","22,65","5,89M","-1,37%"
"02.12.2021","23,35","22,53","23,44","22,32","5,16M","4,99%"
"01.12.2021","22,24","22,49","22,77","22,21","3,32M","0,36%"
"30.11.2021","22,16","21,92","22,50","21,84","4,38M","1,09%"
"29.11.2021","21,92","22,23","22,37","21,83","2,43M","0,78%"
"26.11.2021","21,75","21,60","21,80","21,36","2,69M","-2,42%"
"25.11.2021","22,29","22,36","22,50","21,91","2,57M","0,45%"
"24.11.2021","22,19","21,94","22,27","21,79","2,41M","1,37%"
"23.11.2021","21,89","22,12","22,86","21,72","4,21M","2,29%"
"22.11.2021","21,40","20,82","21,71","20,74","4,10M","4,49%"
"19.11.2021","20,48","20,20","20,73","20,17","4,91M","2,30%"
"18.11.2021","20,02","20,93","20,94","19,84","5,30M","-4,30%"
"17.11.2021","20,92","21,20","21,43","20,68","4,12M","-0,62%"
"16.11.2021","21,05","21,42","21,48","20,94","2,97M","-1,96%"
"12.11.2021","21,47","21,45","21,81","21,19","4,81M","-0,32%"
"11.11.2021","21,54","21,07","21,67","21,07","5,64M","5,59%"
"10.11.2021","20,40","20,31","20,49","20,06","2,93M","0,00%"
"09.11.2021","20,40","20,81","20,85","20,24","3,04M","-1,78%"
"08.11.2021","20,77","20,03","20,93","19,90","2,91M","3,85%"
"05.11.2021","20,00","20,67","20,68","19,86","2,83M","-2,30%"
"04.11.2021","20,47","20,62","20,87","20,33","3,38M","-0,63%"
"03.11.2021","20,60","21,85","21,89","20,60","5,28M","-7,54%"
"01.11.2021","22,28","22,19","22,41","21,66","3,52M","2,77%"
"29.10.2021","21,68","22,31","22,43","21,59","3,25M","-2,78%"
"28.10.2021","22,30","22,54","22,67","22,17","1,55M","-1,37%"
"27.10.2021","22,61","23,15","23,26","22,53","2,58M","-2,21%"
"26.10.2021","23,12","23,17","23,43","23,00","1,79M","-1,41%"
"25.10.2021","23,45","23,15","23,67","22,85","2,23M","2,22%"
"22.10.2021","22,94","22,28","23,20","22,28","3,00M","1,68%"
"21.10.2021","22,56","22,59","22,86","21,97","2,92M","-2,72%"
"20.10.2021","23,19","23,70","23,76","23,04","2,12M","-2,15%"
"19.10.2021","23,70","23,90","24,10","23,55","2,27M","-1,86%"
"18.10.2021","24,15","24,15","24,26","23,58","2,16M","-1,63%"
"15.10.2021","24,55","24,04","24,59","23,96","2,65M","2,21%"
"14.10.2021","24,02","24,20","24,40","23,97","2,28M","-0,08%"
"13.10.2021","24,04","24,19","24,20","23,74","4,67M","-1,39%"
"11.10.2021","24,38","24,15","24,63","24,12","3,49M","2,65%"
"08.10.2021","23,75","24,04","24,11","23,53","2,41M","1,45%"
"07.10.2021","23,41","22,95","23,73","22,85","2,83M","2,99%"
"06.10.2021","22,73","22,16","22,74","22,00","4,26M","1,65%"
"05.10.2021","22,36","22,90","22,92","22,28","3,61M","-1,71%"
"04.10.2021","22,75","23,26","23,26","22,68","2,09M","-2,19%"
"01.10.2021","23,26","23,41","23,55","22,97","2,54M","-0,13%"
"30.09.2021","23,29","22,99","23,59","22,89","3,89M","2,28%"
"29.09.2021","22,77","22,73","22,91","22,51","2,54M","1,38%"
"28.09.2021","22,46","23,67","23,67","22,36","4,17M","-5,63%"
"27.09.2021","23,80","23,84","24,13","23,35","2,15M","0,00%"
"24.09.2021","23,80","23,79","23,98","23,48","2,41M","-1,04%"
"23.09.2021","24,05","23,48","24,16","23,05","4,81M","2,65%"
"22.09.2021","23,43","23,55","24,08","23,31","5,51M","4,18%"
"21.09.2021","22,49","22,50","22,65","22,04","5,07M","0,67%"
"20.09.2021","22,34","22,72","22,73","21,91","4,54M","-4,41%"
"17.09.2021","23,37","24,26","24,33","23,19","7,38M","-3,63%"
"16.09.2021","24,25","24,70","24,85","23,97","6,89M","-3,66%"
"15.09.2021","25,17","25,60","25,89","25,03","12,55M","5,23%"
"14.09.2021","23,92","23,80","23,99","23,44","1,82M","0,42%"
"13.09.2021","23,82","23,81","23,89","23,47","1,24M","0,29%"
"10.09.2021","23,75","24,06","24,16","23,67","1,22M","0,04%"
"09.09.2021","23,74","23,86","24,07","23,42","2,45M","-0,38%"
"08.09.2021","23,83","24,38","24,49","23,67","2,98M","-2,62%"
"06.09.2021","24,47","24,37","24,56","24,14","1,35M","-0,85%"
"03.09.2021","24,68","24,90","25,05","24,49","3,10M","0,33%"
"02.09.2021","24,60","24,67","25,06","24,56","2,56M","-0,61%"
"01.09.2021","24,75","24,43","24,94","24,08","2,00M","-0,64%"
"31.08.2021","24,91","25,17","25,20","24,49","3,02M","-1,42%"
"30.08.2021","25,27","25,39","25,56","25,09","925,96K","-0,47%"
"27.08.2021","25,39","25,17","25,56","25,12","1,37M","1,72%"
"26.08.2021","24,96","25,26","25,52","24,91","1,61M","-1,34%"
"25.08.2021","25,30","25,45","25,52","25,14","1,11M","-0,55%"
"24.08.2021","25,44","25,61","26,01","25,38","2,22M","2,54%"
"23.08.2021","24,81","25,02","25,15","24,80","1,87M","-0,88%"
"20.08.2021","25,03","24,84","25,26","24,70","2,14M","0,08%"
"19.08.2021","25,01","25,56","25,62","24,82","4,26M","-5,34%"
"18.08.2021","26,42","27,08","27,08","26,39","2,69M","-3,79%"
"17.08.2021","27,46","27,99","27,99","27,08","2,28M","-2,03%"
"16.08.2021","28,03","27,58","28,07","26,97","2,47M","1,37%"
"13.08.2021","27,65","27,48","27,66","27,31","1,93M","1,06%"
"12.08.2021","27,36","27,90","28,04","27,30","2,20M","-2,53%"
"11.08.2021","28,07","28,25","28,36","27,98","1,30M","-0,11%"
"10.08.2021","28,10","28,29","28,55","28,02","3,06M","-0,53%"
"09.08.2021","28,25","28,25","28,28","27,93","3,20M","-0,81%"
"06.08.2021","28,48","28,57","28,99","28,33","2,37M","-0,35%"
"05.08.2021","28,58","29,58","29,60","28,55","3,34M","-5,11%"
"04.08.2021","30,12","29,78","30,47","29,78","3,02M","0,30%"
"03.08.2021","30,03","29,16","30,32","28,99","2,85M","2,98%"
"02.08.2021","29,16","29,68","29,85","29,16","2,23M","-0,03%"
"30.07.2021","29,17","30,38","30,42","29,17","2,60M","-5,66%"
"29.07.2021","30,92","31,22","31,59","30,78","1,53M","-1,50%"
"28.07.2021","31,39","30,72","31,61","30,72","3,68M","2,65%"
"27.07.2021","30,58","31,04","31,22","30,55","1,33M","-1,89%"
"26.07.2021","31,17","30,11","31,20","30,08","1,89M","3,52%"
"23.07.2021","30,11","30,62","30,71","29,97","1,67M","-1,70%"
"22.07.2021","30,63","30,37","30,71","29,95","1,50M","0,82%"
"21.07.2021","30,38","29,91","30,56","29,91","1,15M","1,30%"
"20.07.2021","29,99","29,66","30,03","29,35","1,26M","0,71%"
"19.07.2021","29,78","29,67","29,80","29,26","2,29M","-1,00%"
"16.07.2021","30,08","30,57","30,88","29,98","2,48M","-1,99%"
"15.07.2021","30,69","30,48","30,93","30,33","3,24M","0,99%"
"14.07.2021","30,39","30,80","30,86","30,22","3,51M","-0,62%"
"13.07.2021","30,58","30,05","30,62","29,96","3,95M","2,86%"
"12.07.2021","29,73","29,65","30,08","29,55","2,24M","1,50%"
"08.07.2021","29,29","28,87","29,61","28,79","1,85M","-0,91%"
"07.07.2021","29,56","29,35","29,98","29,35","2,71M","1,20%"
"06.07.2021","29,21","28,68","29,26","28,64","2,31M","1,42%"
"05.07.2021","28,80","28,86","29,28","28,63","865,08K","-0,45%"
"02.07.2021","28,93","28,83","29,05","28,60","1,40M","1,19%"
"01.07.2021","28,59","28,95","29,00","28,33","3,69M","-0,24%"
"30.06.2021","28,66","28,54","29,16","28,54","3,14M","-0,42%"
"29.06.2021","28,78","27,97","28,84","27,83","4,06M","2,64%"
