"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"30.12.2021","57,63","57,58","58,95","57,20","3,48M","0,59%"
"29.12.2021","57,29","57,39","58,03","56,99","1,26M","0,00%"
"28.12.2021","57,29","57,49","57,93","56,81","1,08M","-0,14%"
"27.12.2021","57,37","57,69","57,69","56,66","1,74M","0,23%"
"23.12.2021","57,24","56,60","58,25","56,39","3,06M","1,13%"
"22.12.2021","56,60","56,27","58,00","55,84","3,22M","0,98%"
"21.12.2021","56,05","56,00","56,61","55,42","1,59M","1,08%"
"20.12.2021","55,45","54,90","55,77","54,07","2,97M","0,47%"
"17.12.2021","55,19","54,96","57,06","54,51","3,92M","-0,47%"
"16.12.2021","55,45","57,00","57,72","54,50","4,88M","-0,59%"
"15.12.2021","55,78","52,95","55,99","52,65","4,41M","6,19%"
"14.12.2021","52,53","54,09","54,39","51,83","3,66M","-2,29%"
"13.12.2021","53,76","54,89","56,32","53,23","3,17M","-0,81%"
"10.12.2021","54,20","54,25","55,14","53,75","2,80M","0,37%"
"09.12.2021","54,00","56,60","56,60","53,45","7,00M","-17,61%"
"08.12.2021","65,54","67,10","67,65","64,83","6,00M","-1,56%"
"07.12.2021","66,58","69,00","69,66","66,01","7,09M","0,27%"
"06.12.2021","66,40","61,75","66,92","61,63","7,25M","9,75%"
"03.12.2021","60,50","58,16","62,13","58,03","6,76M","4,67%"
"02.12.2021","57,80","54,50","57,94","52,60","9,41M","9,51%"
"01.12.2021","52,78","51,30","54,58","51,10","6,22M","5,45%"
"30.11.2021","50,05","51,88","52,79","48,81","5,86M","-4,12%"
"29.11.2021","52,20","51,17","53,42","50,94","2,95M","3,65%"
"26.11.2021","50,36","50,49","50,90","49,56","1,43M","-2,76%"
"25.11.2021","51,79","51,38","52,28","50,66","1,83M","1,43%"
"24.11.2021","51,06","49,81","51,55","49,26","2,15M","1,88%"
"23.11.2021","50,12","47,44","50,59","47,40","3,13M","6,68%"
"22.11.2021","46,98","47,15","48,71","46,88","1,41M","-0,38%"
"19.11.2021","47,16","46,59","47,74","46,09","1,25M","1,22%"
"18.11.2021","46,59","46,46","48,08","45,96","2,83M","0,82%"
"17.11.2021","46,21","48,75","49,27","45,85","3,02M","-4,13%"
"16.11.2021","48,20","48,97","50,00","48,15","3,27M","-0,62%"
"12.11.2021","48,50","48,15","49,17","47,34","2,94M","0,73%"
"11.11.2021","48,15","50,52","52,10","47,90","6,02M","-2,94%"
"10.11.2021","49,61","55,00","55,00","49,25","10,29M","-11,88%"
"09.11.2021","56,30","55,73","57,48","55,50","1,86M","0,91%"
"08.11.2021","55,79","54,60","57,50","54,28","2,38M","2,01%"
"05.11.2021","54,69","53,84","55,36","53,41","1,97M","2,74%"
"04.11.2021","53,23","54,11","56,01","52,54","1,80M","-1,64%"
"03.11.2021","54,12","53,60","54,88","52,22","2,82M","0,88%"
"01.11.2021","53,65","55,14","55,14","53,17","2,59M","-1,49%"
"29.10.2021","54,46","56,67","56,67","54,14","1,66M","-3,49%"
"28.10.2021","56,43","56,73","57,48","55,37","2,56M","-0,93%"
"27.10.2021","56,96","57,18","57,78","55,70","2,41M","-0,12%"
