"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"30.12.2021","8,31","8,24","8,46","8,11","21,18M","1,84%"
"29.12.2021","8,16","8,48","8,57","8,09","42,09M","0,49%"
"28.12.2021","8,12","7,97","8,26","7,86","27,77M","2,78%"
"27.12.2021","7,90","7,79","8,24","7,75","18,77M","2,20%"
"23.12.2021","7,73","7,82","7,84","7,68","13,76M","-0,90%"
"22.12.2021","7,80","7,68","7,87","7,60","13,26M","0,78%"
"21.12.2021","7,74","7,91","7,92","7,64","15,62M","-1,40%"
"20.12.2021","7,85","8,29","8,34","7,80","28,59M","-6,66%"
"17.12.2021","8,41","7,79","8,45","7,74","32,51M","5,52%"
"16.12.2021","7,97","8,20","8,25","7,89","14,66M","-1,97%"
"15.12.2021","8,13","8,15","8,22","7,99","17,63M","-0,12%"
"14.12.2021","8,14","8,42","8,49","8,07","20,55M","-2,28%"
"13.12.2021","8,33","8,44","8,50","8,27","14,39M","-0,72%"
"10.12.2021","8,39","8,17","8,45","8,15","19,01M","3,97%"
"09.12.2021","8,07","8,19","8,27","7,97","13,06M","-2,42%"
"08.12.2021","8,27","7,96","8,35","7,78","22,12M","4,29%"
"07.12.2021","7,93","8,25","8,30","7,89","13,16M","-1,98%"
"06.12.2021","8,09","8,01","8,20","7,86","14,97M","1,89%"
"03.12.2021","7,94","7,85","8,24","7,82","28,19M","1,15%"
"02.12.2021","7,85","7,72","7,97","7,46","28,68M","2,08%"
"01.12.2021","7,69","7,97","8,20","7,66","24,17M","-2,66%"
"30.11.2021","7,90","7,89","7,99","7,68","19,48M","-1,00%"
"29.11.2021","7,98","8,15","8,22","7,89","16,27M","-0,87%"
"26.11.2021","8,05","8,24","8,28","7,95","21,03M","-5,18%"
"25.11.2021","8,49","8,31","8,60","8,29","11,33M","2,66%"
"24.11.2021","8,27","8,15","8,42","8,13","11,77M","0,61%"
"23.11.2021","8,22","8,28","8,29","8,06","15,34M","-0,24%"
"22.11.2021","8,24","8,54","8,61","8,20","18,22M","-2,94%"
"19.11.2021","8,49","8,45","8,63","8,39","16,95M","0,35%"
"18.11.2021","8,46","8,40","8,63","8,34","17,44M","1,08%"
"17.11.2021","8,37","8,46","8,62","8,22","20,76M","-0,59%"
"16.11.2021","8,42","8,57","8,71","8,34","20,33M","-1,29%"
"12.11.2021","8,53","8,44","8,61","8,21","31,62M","3,14%"
"11.11.2021","8,27","8,15","8,52","8,15","19,20M","2,99%"
