"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"30.12.2021","11,59","11,69","11,69","11,44","13,64M","0,00%"
"29.12.2021","11,59","11,82","11,82","11,53","4,77M","-1,61%"
"28.12.2021","11,78","11,85","11,93","11,66","3,76M","-0,84%"
"27.12.2021","11,88","11,96","12,11","11,78","4,74M","-0,34%"
"23.12.2021","11,92","12,10","12,10","11,87","4,23M","-0,67%"
"22.12.2021","12,00","12,12","12,14","11,82","6,47M","-1,07%"
"21.12.2021","12,13","11,90","12,15","11,76","7,65M","1,68%"
"20.12.2021","11,93","12,34","12,34","11,64","10,04M","-1,81%"
"17.12.2021","12,15","12,33","12,40","12,13","10,88M","-2,57%"
"16.12.2021","12,47","12,68","12,70","12,38","7,65M","-0,72%"
"15.12.2021","12,56","12,42","12,66","12,30","9,34M","1,13%"
"14.12.2021","12,42","12,50","12,60","12,28","11,12M","0,98%"
"13.12.2021","12,30","12,51","12,60","12,28","6,91M","-1,60%"
"10.12.2021","12,50","12,62","12,72","12,41","7,25M","1,54%"
"09.12.2021","12,31","12,61","12,66","12,18","10,61M","-3,15%"
"08.12.2021","12,71","13,05","13,10","12,58","17,81M","-3,12%"
"07.12.2021","13,12","13,07","13,12","12,57","14,08M","1,31%"
"06.12.2021","12,95","13,02","13,56","12,88","18,43M","3,11%"
"03.12.2021","12,56","12,10","12,80","12,08","10,18M","4,06%"
"02.12.2021","12,07","11,86","12,11","11,76","8,63M","3,16%"
"01.12.2021","11,70","12,48","12,62","11,66","15,68M","-4,96%"
"30.11.2021","12,31","11,47","12,31","11,32","26,22M","6,95%"
"29.11.2021","11,51","11,85","11,86","11,47","18,72M","-1,54%"
"26.11.2021","11,69","11,51","11,80","11,41","6,22M","-1,10%"
"25.11.2021","11,82","11,60","11,95","11,57","4,83M","2,07%"
"24.11.2021","11,58","11,40","11,79","11,21","9,52M","0,87%"
"23.11.2021","11,48","11,74","11,74","11,13","117,43M","-1,37%"
"22.11.2021","11,64","12,05","12,18","11,58","9,51M","-3,24%"
"19.11.2021","12,03","11,97","12,24","11,94","9,11M","0,75%"
"18.11.2021","11,94","11,90","12,26","11,84","7,49M","0,76%"
"17.11.2021","11,85","11,99","12,08","11,70","24,18M","-0,42%"
"16.11.2021","11,90","11,86","12,02","11,71","20,83M","0,76%"
"12.11.2021","11,81","12,04","12,13","11,64","8,65M","-0,59%"
"11.11.2021","11,88","11,81","12,08","11,76","6,68M","2,06%"
"10.11.2021","11,64","11,60","11,89","11,58","5,40M","0,17%"
"09.11.2021","11,62","11,50","11,83","11,48","9,23M","1,40%"
"08.11.2021","11,46","11,62","11,71","11,41","7,68M","-2,22%"
"05.11.2021","11,72","11,58","11,97","11,57","8,65M","2,00%"
"04.11.2021","11,49","11,42","11,61","11,31","7,16M","0,00%"
"03.11.2021","11,49","11,01","11,63","10,99","15,79M","3,42%"
"01.11.2021","11,11","11,66","11,73","11,10","20,83M","-2,80%"
