"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"30.12.2021","2,28","2,19","2,32","2,15","33,75M","2,24%"
"29.12.2021","2,23","2,28","2,31","2,21","15,28M","-1,76%"
"28.12.2021","2,27","2,19","2,32","2,17","29,02M","4,13%"
"27.12.2021","2,18","2,17","2,24","2,16","22,06M","2,35%"
"23.12.2021","2,13","2,12","2,15","2,09","14,75M","0,95%"
"22.12.2021","2,11","2,14","2,15","2,10","11,08M","-1,40%"
"21.12.2021","2,14","2,19","2,19","2,12","14,25M","-0,47%"
"20.12.2021","2,15","2,21","2,25","2,14","22,34M","-4,44%"
"17.12.2021","2,25","2,21","2,25","2,17","25,89M","0,90%"
"16.12.2021","2,23","2,34","2,35","2,23","27,37M","-4,29%"
"15.12.2021","2,33","2,27","2,34","2,23","20,94M","3,56%"
"14.12.2021","2,25","2,33","2,37","2,24","25,89M","-2,17%"
"13.12.2021","2,30","2,36","2,41","2,29","25,37M","-1,71%"
"10.12.2021","2,34","2,27","2,34","2,27","20,09M","4,46%"
"09.12.2021","2,24","2,29","2,33","2,24","25,25M","-3,03%"
"08.12.2021","2,31","2,26","2,36","2,24","27,85M","2,67%"
"07.12.2021","2,25","2,30","2,31","2,24","21,25M","-0,88%"
"06.12.2021","2,27","2,20","2,29","2,18","33,73M","3,18%"
"03.12.2021","2,20","2,14","2,24","2,14","33,56M","2,80%"
"02.12.2021","2,14","2,03","2,15","2,02","24,14M","6,47%"
"01.12.2021","2,01","2,09","2,13","2,01","22,12M","-3,37%"
"30.11.2021","2,08","2,07","2,11","2,03","34,81M","0,48%"
"29.11.2021","2,07","2,11","2,14","2,07","18,59M","-0,48%"
"26.11.2021","2,08","2,10","2,12","2,05","24,76M","-4,15%"
"25.11.2021","2,17","2,18","2,22","2,16","14,40M","0,00%"
"24.11.2021","2,17","2,14","2,20","2,08","28,49M","1,88%"
"23.11.2021","2,13","2,15","2,15","2,09","34,26M","0,47%"
"22.11.2021","2,12","2,21","2,24","2,12","38,92M","-3,64%"
"19.11.2021","2,20","2,19","2,26","2,15","29,71M","1,38%"
"18.11.2021","2,17","2,25","2,29","2,16","30,99M","-2,69%"
"17.11.2021","2,23","2,34","2,35","2,21","32,94M","-3,46%"
"16.11.2021","2,31","2,39","2,40","2,30","28,05M","-2,94%"
"12.11.2021","2,38","2,43","2,48","2,38","25,40M","-2,86%"
"11.11.2021","2,45","2,46","2,49","2,41","27,12M","1,66%"
"10.11.2021","2,41","2,46","2,53","2,41","39,14M","-2,43%"
"09.11.2021","2,47","2,38","2,50","2,38","41,67M","3,35%"
"08.11.2021","2,39","2,32","2,48","2,31","74,64M","4,37%"
"05.11.2021","2,29","2,42","2,43","2,25","40,63M","-2,55%"
"04.11.2021","2,35","2,41","2,55","2,35","96,03M","1,29%"
"03.11.2021","2,32","2,22","2,35","2,22","34,12M","3,11%"
"01.11.2021","2,25","2,24","2,25","2,19","15,34M","2,74%"
"29.10.2021","2,19","2,26","2,30","2,19","28,86M","-2,67%"
"28.10.2021","2,25","2,35","2,36","2,25","41,25M","-4,66%"
"27.10.2021","2,36","2,32","2,42","2,32","22,60M","2,61%"
"26.10.2021","2,30","2,42","2,43","2,30","43,20M","-6,88%"
"25.10.2021","2,47","2,37","2,49","2,34","34,42M","4,66%"
"22.10.2021","2,36","2,33","2,39","2,26","82,55M","0,85%"
"21.10.2021","2,34","2,36","2,43","2,30","45,58M","-2,90%"
"20.10.2021","2,41","2,40","2,49","2,39","43,17M","1,69%"
"19.10.2021","2,37","2,57","2,59","2,37","73,32M","-9,89%"
"18.10.2021","2,63","2,61","2,69","2,53","42,20M","0,38%"
"15.10.2021","2,62","2,50","2,65","2,48","36,13M","5,65%"
"14.10.2021","2,48","2,53","2,54","2,47","17,72M","-1,20%"
"13.10.2021","2,51","2,50","2,58","2,48","33,94M","0,00%"
"11.10.2021","2,51","2,62","2,68","2,51","49,44M","-4,92%"
"08.10.2021","2,64","2,32","2,68","2,32","87,62M","14,29%"
"07.10.2021","2,31","2,35","2,36","2,29","28,45M","-1,28%"
"06.10.2021","2,34","2,29","2,34","2,23","27,69M","0,86%"
"05.10.2021","2,32","2,31","2,32","2,26","18,15M","1,31%"
"04.10.2021","2,29","2,35","2,37","2,27","18,40M","-3,38%"
"01.10.2021","2,37","2,31","2,37","2,29","18,69M","3,49%"
"30.09.2021","2,29","2,40","2,40","2,28","30,74M","-4,58%"
"29.09.2021","2,40","2,32","2,41","2,29","26,60M","4,80%"
"28.09.2021","2,29","2,38","2,39","2,27","23,95M","-4,98%"
"27.09.2021","2,41","2,40","2,43","2,38","17,89M","-0,41%"
"24.09.2021","2,42","2,43","2,43","2,37","16,51M","-1,22%"
"23.09.2021","2,45","2,50","2,52","2,44","16,95M","-1,61%"
"22.09.2021","2,49","2,36","2,51","2,33","39,68M","7,79%"
"21.09.2021","2,31","2,34","2,37","2,30","31,59M","-0,86%"
"20.09.2021","2,33","2,38","2,39","2,30","34,98M","-5,28%"
"17.09.2021","2,46","2,50","2,55","2,42","49,80M","-2,38%"
"16.09.2021","2,52","2,39","2,53","2,35","48,51M","5,44%"
"15.09.2021","2,39","2,46","2,51","2,39","28,55M","-2,05%"
"14.09.2021","2,44","2,51","2,57","2,43","33,71M","-2,79%"
