"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"30.12.2021","13,11","13,06","13,18","12,95","5,84M","0,54%"
"29.12.2021","13,04","13,21","13,29","13,04","3,98M","-1,29%"
"28.12.2021","13,21","13,16","13,35","13,05","6,56M","0,38%"
"27.12.2021","13,16","12,96","13,22","12,96","6,09M","0,61%"
"23.12.2021","13,08","13,11","13,18","12,97","6,73M","-0,61%"
"22.12.2021","13,16","13,47","13,47","13,06","7,60M","-4,71%"
"21.12.2021","13,81","13,95","13,98","13,69","9,01M","-0,72%"
"20.12.2021","13,91","14,11","14,11","13,81","11,10M","-1,49%"
"17.12.2021","14,12","13,90","14,23","13,78","13,92M","1,22%"
"16.12.2021","13,95","14,18","14,21","13,71","10,24M","-1,20%"
"15.12.2021","14,12","14,14","14,24","13,84","6,29M","0,28%"
"14.12.2021","14,08","14,15","14,40","14,06","11,02M","0,64%"
"13.12.2021","13,99","14,06","14,36","13,95","7,57M","0,14%"
"10.12.2021","13,97","14,00","14,24","13,88","4,72M","1,01%"
"09.12.2021","13,83","14,00","14,10","13,67","5,55M","-1,07%"
"08.12.2021","13,98","13,86","14,10","13,75","7,11M","1,67%"
"07.12.2021","13,75","13,80","13,86","13,49","7,77M","0,59%"
"06.12.2021","13,67","13,93","13,95","13,66","5,55M","-0,94%"
"03.12.2021","13,80","13,40","13,95","13,40","9,72M","2,99%"
"02.12.2021","13,40","13,16","13,65","13,11","11,12M","3,40%"
"01.12.2021","12,96","13,30","13,50","12,95","8,78M","-1,37%"
"30.11.2021","13,14","13,44","13,51","13,06","16,90M","-2,30%"
"29.11.2021","13,45","13,57","13,59","13,34","4,24M","0,45%"
"26.11.2021","13,39","13,46","13,61","13,23","4,37M","-1,90%"
"25.11.2021","13,65","13,58","13,80","13,52","2,63M","1,26%"
"24.11.2021","13,48","13,50","13,66","13,30","5,84M","-1,25%"
"23.11.2021","13,65","13,58","13,70","13,26","7,48M","1,64%"
"22.11.2021","13,43","13,71","13,75","13,42","7,41M","-1,32%"
"19.11.2021","13,61","13,58","13,83","13,53","6,17M","1,11%"
"18.11.2021","13,46","13,44","13,66","13,41","7,45M","0,30%"
"17.11.2021","13,42","13,67","13,77","13,30","5,87M","-2,04%"
"16.11.2021","13,70","13,97","14,07","13,68","5,62M","-1,58%"
"12.11.2021","13,92","13,87","14,14","13,60","9,17M","-0,22%"
"11.11.2021","13,95","13,89","13,99","13,73","6,03M","1,38%"
"10.11.2021","13,76","13,50","13,96","13,44","9,67M","2,15%"
"09.11.2021","13,47","13,24","13,64","13,17","7,65M","1,89%"
"08.11.2021","13,22","13,06","13,44","13,01","5,65M","0,08%"
"05.11.2021","13,21","13,08","13,37","13,08","6,15M","1,30%"
"04.11.2021","13,04","13,33","13,36","12,91","8,43M","-2,10%"
"03.11.2021","13,32","12,86","13,48","12,85","16,02M","2,23%"
"01.11.2021","13,03","12,89","13,27","12,80","12,96M","1,16%"
"29.10.2021","12,88","13,02","13,12","12,79","9,84M","-0,62%"
"28.10.2021","12,96","13,37","13,38","12,89","12,99M","-3,57%"
"27.10.2021","13,44","13,44","13,70","13,30","8,75M","0,52%"
"26.10.2021","13,37","13,47","13,48","13,15","10,64M","-0,74%"
"25.10.2021","13,47","13,47","13,57","13,31","10,59M","0,75%"
"22.10.2021","13,37","13,60","13,64","12,99","17,34M","-2,98%"
"21.10.2021","13,78","14,53","14,77","13,55","25,15M","-6,95%"
"20.10.2021","14,81","14,81","15,06","14,80","14,05M","0,27%"
"19.10.2021","14,77","15,04","15,07","14,67","19,72M","-2,25%"
"18.10.2021","15,11","14,96","15,20","14,75","12,08M","0,73%"
"15.10.2021","15,00","15,06","15,30","14,92","16,68M","-0,60%"
"14.10.2021","15,09","15,04","15,20","14,88","7,15M","0,60%"
"13.10.2021","15,00","14,65","15,15","14,65","14,26M","2,88%"
"11.10.2021","14,58","14,12","14,80","13,92","15,19M","3,18%"
"08.10.2021","14,13","13,85","14,25","13,85","7,32M","2,84%"
"07.10.2021","13,74","13,82","13,99","13,46","15,27M","-0,43%"
"06.10.2021","13,80","14,00","14,02","13,61","15,24M","-1,99%"
"05.10.2021","14,08","14,11","14,42","13,83","13,22M","0,00%"
"04.10.2021","14,08","14,20","14,35","13,93","6,15M","-0,71%"
"01.10.2021","14,18","13,96","14,20","13,81","7,34M","1,07%"
"30.09.2021","14,03","14,35","14,36","13,96","9,42M","-1,41%"
"29.09.2021","14,23","14,33","14,43","14,15","8,65M","0,21%"
"28.09.2021","14,20","14,46","14,46","14,20","8,57M","-1,93%"
"27.09.2021","14,48","14,10","14,60","14,05","12,11M","2,33%"
"24.09.2021","14,15","14,00","14,22","13,89","7,40M","0,50%"
"23.09.2021","14,08","14,06","14,27","14,05","7,49M","0,21%"
"22.09.2021","14,05","14,02","14,20","13,95","6,86M","0,72%"
"21.09.2021","13,95","13,81","14,15","13,71","9,23M","1,53%"
"20.09.2021","13,74","13,62","13,86","13,62","10,04M","-0,15%"
"17.09.2021","13,76","13,73","13,76","13,62","11,73M","-0,15%"
"16.09.2021","13,78","13,70","13,86","13,65","5,75M","0,22%"
"15.09.2021","13,75","13,76","13,81","13,55","6,36M","-0,07%"
"14.09.2021","13,76","13,71","13,95","13,63","6,43M","0,66%"
"13.09.2021","13,67","13,64","13,71","13,44","10,88M","1,56%"
"10.09.2021","13,46","13,48","13,61","13,35","10,54M","0,67%"
"09.09.2021","13,37","13,19","13,55","13,11","16,53M","0,91%"
"08.09.2021","13,25","13,45","13,45","13,13","12,78M","-1,78%"
"06.09.2021","13,49","13,52","13,70","13,43","6,11M","-0,88%"
"03.09.2021","13,61","13,77","13,92","13,58","12,03M","-0,58%"
"02.09.2021","13,69","13,94","13,95","13,60","10,22M","-2,00%"
"01.09.2021","13,97","13,67","14,09","13,49","16,75M","3,40%"
"31.08.2021","13,51","13,15","13,51","13,06","18,08M","2,50%"
"30.08.2021","13,18","13,26","13,27","13,09","8,32M","-0,45%"
"27.08.2021","13,24","13,10","13,28","12,81","10,75M","1,61%"
"26.08.2021","13,03","13,05","13,29","13,03","8,72M","-0,84%"
"25.08.2021","13,14","12,99","13,17","12,87","7,69M","0,77%"
"24.08.2021","13,04","12,58","13,15","12,46","12,60M","4,32%"
"23.08.2021","12,50","12,49","12,55","12,32","8,14M","0,08%"
"20.08.2021","12,49","12,05","12,52","12,05","9,02M","2,55%"
"19.08.2021","12,18","11,91","12,24","11,85","8,12M","2,10%"
"18.08.2021","11,93","11,70","12,09","11,53","13,90M","1,97%"
"17.08.2021","11,70","11,50","12,13","11,43","14,53M","2,81%"
"16.08.2021","11,38","11,60","11,63","11,36","5,66M","-1,64%"
"13.08.2021","11,57","11,46","11,59","11,30","6,63M","0,87%"
"12.08.2021","11,47","11,57","11,58","11,38","7,33M","-1,21%"
"11.08.2021","11,61","11,65","11,74","11,48","7,91M","0,43%"
"10.08.2021","11,56","11,78","11,87","11,53","6,75M","-1,78%"
"09.08.2021","11,77","11,76","11,95","11,59","11,47M","0,43%"
"06.08.2021","11,72","11,59","11,90","11,59","8,05M","0,95%"
"05.08.2021","11,61","11,92","12,06","11,57","8,03M","-1,61%"
"04.08.2021","11,80","11,95","12,05","11,73","8,14M","-1,26%"
"03.08.2021","11,95","11,87","11,97","11,67","6,50M","0,67%"
"02.08.2021","11,87","12,05","12,15","11,86","6,14M","-0,59%"
"30.07.2021","11,94","12,02","12,13","11,88","6,10M","-1,32%"
"29.07.2021","12,10","12,38","12,46","12,05","5,37M","-2,18%"
"28.07.2021","12,37","12,21","12,38","12,14","5,23M","1,98%"
"27.07.2021","12,13","12,07","12,19","12,00","4,54M","0,33%"
"26.07.2021","12,09","12,18","12,21","12,02","3,98M","-0,58%"
"23.07.2021","12,16","12,35","12,36","12,09","6,64M","-0,98%"
"22.07.2021","12,28","12,17","12,42","12,17","7,42M","0,90%"
"21.07.2021","12,17","12,14","12,23","12,02","3,69M","0,25%"
"20.07.2021","12,14","11,81","12,15","11,81","6,84M","2,27%"
"19.07.2021","11,87","11,86","12,02","11,73","6,34M","-0,50%"
"16.07.2021","11,93","12,07","12,16","11,93","4,50M","-0,75%"
"15.07.2021","12,02","12,14","12,24","11,99","7,49M","-0,99%"
"14.07.2021","12,14","12,02","12,21","11,97","8,32M","2,10%"
"13.07.2021","11,89","12,09","12,10","11,86","12,92M","-2,06%"
"12.07.2021","12,14","11,83","12,15","11,82","7,90M","3,50%"
"08.07.2021","11,73","12,00","12,02","11,71","10,58M","-2,90%"
"07.07.2021","12,08","12,05","12,15","11,93","6,78M","1,00%"
"06.07.2021","11,96","12,07","12,07","11,89","5,26M","-1,08%"
"05.07.2021","12,09","12,10","12,18","12,02","2,62M","-0,17%"
"02.07.2021","12,11","12,07","12,16","11,94","8,18M","1,85%"
"01.07.2021","11,89","12,10","12,16","11,86","12,10M","-1,98%"
"30.06.2021","12,13","12,28","12,31","12,02","9,49M","-1,14%"
"29.06.2021","12,27","12,56","12,58","12,25","7,35M","-2,08%"
"28.06.2021","12,53","12,50","12,62","12,44","6,97M","0,00%"
"25.06.2021","12,53","12,74","12,78","12,40","9,34M","-1,73%"
"24.06.2021","12,75","12,81","12,83","12,61","5,86M","0,39%"
"23.06.2021","12,70","12,83","12,83","12,66","8,20M","-0,86%"
"22.06.2021","12,81","12,94","12,97","12,65","9,94M","-1,99%"
"21.06.2021","13,07","13,17","13,17","12,84","9,71M","-1,51%"
"18.06.2021","13,27","13,33","13,53","13,07","17,91M","-0,15%"
"17.06.2021","13,29","13,48","13,62","13,22","9,65M","-1,41%"
"16.06.2021","13,48","13,55","13,63","13,38","11,17M","-0,22%"
"15.06.2021","13,51","13,69","13,74","13,34","5,87M","-1,24%"
"14.06.2021","13,68","13,46","13,74","13,46","5,76M","1,79%"
"11.06.2021","13,44","13,80","13,80","13,37","5,86M","-2,04%"
"10.06.2021","13,72","13,83","13,91","13,68","4,92M","-0,29%"
"09.06.2021","13,76","13,86","13,96","13,74","6,72M","-1,15%"
"08.06.2021","13,92","13,93","13,96","13,77","7,02M","-0,29%"
"07.06.2021","13,96","13,79","14,03","13,75","6,34M","1,16%"
"04.06.2021","13,80","13,98","13,98","13,67","7,39M","-0,72%"
"02.06.2021","13,90","13,77","13,93","13,75","8,74M","1,53%"
"01.06.2021","13,69","13,75","13,83","13,62","9,26M","0,81%"
"31.05.2021","13,58","13,63","13,69","13,51","5,62M","-0,88%"
"28.05.2021","13,70","13,61","13,78","13,54","8,28M","-0,36%"
"27.05.2021","13,75","13,55","13,89","13,54","16,09M","2,15%"
"26.05.2021","13,46","13,55","13,59","13,29","7,42M","0,07%"
"25.05.2021","13,45","13,47","13,58","13,32","7,17M","0,15%"
"24.05.2021","13,43","13,22","13,46","13,20","7,45M","2,36%"
"21.05.2021","13,12","13,06","13,16","12,92","6,68M","0,46%"
"20.05.2021","13,06","13,28","13,33","12,89","9,95M","-1,58%"
"19.05.2021","13,27","12,51","13,34","12,46","17,01M","5,07%"
"18.05.2021","12,63","12,38","12,63","12,30","7,29M","1,85%"
"17.05.2021","12,40","12,19","12,62","12,03","9,63M","1,81%"
"14.05.2021","12,18","11,90","12,18","11,87","6,57M","3,40%"
"13.05.2021","11,78","11,59","11,86","11,51","8,96M","2,17%"
"12.05.2021","11,53","11,95","11,96","11,47","10,89M","-4,00%"
"11.05.2021","12,01","11,74","12,07","11,52","6,61M","1,35%"
"10.05.2021","11,85","12,00","12,04","11,78","6,05M","-1,33%"
"07.05.2021","12,01","12,05","12,12","11,88","6,28M","0,17%"
"06.05.2021","11,99","12,05","12,14","11,91","5,55M","-0,91%"
"05.05.2021","12,10","12,05","12,18","11,89","7,15M","1,26%"
"04.05.2021","11,95","12,12","12,16","11,95","7,34M","-1,24%"
"03.05.2021","12,10","12,19","12,41","11,90","15,09M","1,99%"
"30.04.2021","11,86","11,99","12,10","11,80","13,42M","-1,35%"
"29.04.2021","12,03","12,10","12,12","11,92","9,46M","-0,57%"
"28.04.2021","12,10","11,62","12,20","11,61","19,28M","5,85%"
"27.04.2021","11,43","11,53","11,77","11,40","7,84M","-0,89%"
"26.04.2021","11,53","11,62","11,73","11,44","4,97M","-0,37%"
