"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"30.12.2021","21,69","21,49","21,84","21,48","5,71M","1,07%"
"29.12.2021","21,46","21,52","21,64","21,27","2,40M","0,05%"
"28.12.2021","21,45","21,39","21,63","21,20","3,39M","0,19%"
"27.12.2021","21,41","21,25","21,56","21,17","3,30M","1,23%"
"23.12.2021","21,15","21,42","21,48","21,06","4,13M","-1,17%"
"22.12.2021","21,40","21,35","21,51","21,04","5,44M","0,28%"
"21.12.2021","21,34","21,56","21,68","21,30","4,05M","-1,52%"
"20.12.2021","21,67","22,00","22,03","21,38","5,25M","-2,12%"
"17.12.2021","22,14","22,12","22,25","21,93","7,08M","-0,90%"
"16.12.2021","22,34","22,30","22,58","22,16","7,00M","0,27%"
"15.12.2021","22,28","21,79","22,52","21,73","9,51M","0,36%"
"14.12.2021","22,20","22,42","23,10","22,13","5,65M","0,14%"
"13.12.2021","22,17","22,40","22,49","22,01","5,53M","-0,40%"
"10.12.2021","22,26","22,12","22,55","22,12","5,37M","1,09%"
"09.12.2021","22,02","22,17","22,34","21,82","4,60M","-0,86%"
"08.12.2021","22,21","22,11","22,50","22,01","8,17M","1,09%"
"07.12.2021","21,97","22,08","22,22","21,68","5,83M","0,37%"
"06.12.2021","21,89","22,44","22,77","21,78","7,63M","-2,15%"
"03.12.2021","22,37","22,00","22,70","21,93","9,43M","1,96%"
"02.12.2021","21,94","21,59","22,05","21,35","8,63M","3,39%"
"01.12.2021","21,22","21,40","21,81","21,02","7,80M","-0,14%"
"30.11.2021","21,25","21,48","21,75","20,86","15,91M","-1,07%"
"29.11.2021","21,48","21,47","21,89","21,32","6,30M","0,85%"
"26.11.2021","21,30","21,00","21,35","20,83","6,95M","-1,02%"
"25.11.2021","21,52","21,32","22,04","21,21","5,99M","1,46%"
"24.11.2021","21,21","21,12","21,50","21,05","7,67M","-0,28%"
"23.11.2021","21,27","20,70","21,44","20,55","9,82M","2,95%"
"22.11.2021","20,66","21,10","21,59","20,66","5,59M","-1,90%"
"19.11.2021","21,06","20,95","21,53","20,88","5,08M","0,43%"
"18.11.2021","20,97","20,87","21,37","20,76","4,73M","0,72%"
"17.11.2021","20,82","21,05","21,56","20,48","8,58M","0,14%"
"16.11.2021","20,79","21,27","21,83","20,20","10,33M","-1,52%"
"12.11.2021","21,11","21,81","21,90","20,99","7,29M","-3,43%"
"11.11.2021","21,86","21,58","22,41","21,47","5,39M","2,73%"
"10.11.2021","21,28","20,98","21,84","20,91","9,35M","1,24%"
"09.11.2021","21,02","20,60","21,46","20,55","5,67M","1,84%"
"08.11.2021","20,64","20,52","20,99","20,48","4,87M","-0,67%"
"05.11.2021","20,78","20,53","21,12","20,30","6,18M","2,72%"
"04.11.2021","20,23","20,46","20,59","20,04","5,43M","-1,61%"
"03.11.2021","20,56","19,90","20,73","19,79","10,70M","1,83%"
