"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"30.12.2021","24,99","25,21","25,47","24,90","8,26M","-0,20%"
"29.12.2021","25,04","24,89","25,17","24,66","6,23M","0,36%"
"28.12.2021","24,95","24,89","25,18","24,55","6,39M","0,12%"
"27.12.2021","24,92","24,56","24,98","24,26","5,79M","1,10%"
"23.12.2021","24,65","24,77","24,88","24,42","7,22M","-0,44%"
"22.12.2021","24,76","24,68","25,00","24,42","6,46M","-0,32%"
"21.12.2021","24,84","24,27","24,99","24,12","11,48M","4,77%"
"20.12.2021","23,71","25,05","25,08","23,64","17,84M","-6,91%"
"17.12.2021","25,47","25,60","25,75","25,05","13,43M","-1,36%"
"16.12.2021","25,82","25,00","25,86","24,66","14,81M","6,04%"
"15.12.2021","24,35","24,25","25,05","23,83","12,70M","-0,12%"
"14.12.2021","24,38","24,95","25,18","24,31","9,62M","-1,49%"
"13.12.2021","24,75","24,84","25,48","24,37","14,78M","1,52%"
"10.12.2021","24,38","24,66","24,83","23,69","13,17M","-0,33%"
"09.12.2021","24,46","23,70","24,72","23,53","12,16M","1,49%"
"08.12.2021","24,10","24,52","24,92","24,04","9,59M","-1,27%"
"07.12.2021","24,41","25,24","25,44","24,32","16,17M","1,16%"
"06.12.2021","24,13","23,69","24,28","23,15","13,14M","3,65%"
"03.12.2021","23,28","23,29","23,83","22,79","13,96M","-1,23%"
"02.12.2021","23,57","21,94","23,57","21,85","14,14M","9,17%"
"01.12.2021","21,59","22,40","22,80","21,55","11,67M","-0,78%"
"30.11.2021","21,76","22,34","22,70","21,51","16,43M","-3,46%"
"29.11.2021","22,54","23,13","23,37","22,45","11,49M","1,17%"
"26.11.2021","22,28","22,26","22,74","21,82","12,02M","-4,91%"
"25.11.2021","23,43","22,92","23,56","22,69","10,19M","2,23%"
"24.11.2021","22,92","22,60","23,24","22,31","13,24M","1,64%"
"23.11.2021","22,55","22,70","23,52","22,32","19,80M","3,44%"
"22.11.2021","21,80","22,15","22,25","21,40","15,60M","1,92%"
"19.11.2021","21,39","20,30","21,53","20,11","22,24M","7,98%"
"18.11.2021","19,81","20,70","20,86","19,71","17,65M","-5,35%"
"17.11.2021","20,93","21,48","22,01","20,77","15,09M","-0,85%"
"16.11.2021","21,11","22,53","22,56","21,09","13,00M","-5,93%"
"12.11.2021","22,44","22,57","23,21","22,30","11,77M","-1,36%"
"11.11.2021","22,75","22,00","22,90","21,77","20,32M","7,46%"
"10.11.2021","21,17","20,97","21,46","20,82","12,31M","-0,66%"
"09.11.2021","21,31","21,53","22,19","21,15","15,52M","-1,75%"
"08.11.2021","21,69","21,10","22,40","21,06","13,95M","2,12%"
"05.11.2021","21,24","21,57","21,69","20,98","11,91M","-0,42%"
"04.11.2021","21,33","21,39","22,29","20,57","27,95M","-3,44%"
"03.11.2021","22,09","22,70","22,92","21,88","17,60M","-4,58%"
