"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"30.12.2021","15,78","15,48","15,96","15,40","7,77M","2,40%"
"29.12.2021","15,41","15,39","15,65","14,99","7,77M","0,20%"
"28.12.2021","15,38","15,36","15,62","15,27","4,44M","0,07%"
"27.12.2021","15,37","15,23","15,85","15,18","5,20M","1,72%"
"23.12.2021","15,11","15,19","15,28","14,77","3,06M","-0,20%"
"22.12.2021","15,14","15,21","15,45","14,97","2,77M","-0,20%"
"21.12.2021","15,17","15,44","15,45","14,80","4,07M","-1,04%"
"20.12.2021","15,33","15,20","15,50","15,01","3,85M","-1,16%"
"17.12.2021","15,51","15,26","15,78","15,14","6,36M","0,06%"
"16.12.2021","15,50","15,86","16,09","15,36","5,67M","-0,39%"
"15.12.2021","15,56","15,50","15,69","15,04","6,45M","1,30%"
"14.12.2021","15,36","15,95","16,08","15,12","8,91M","-2,97%"
"13.12.2021","15,83","16,41","16,45","15,82","5,94M","-3,59%"
"10.12.2021","16,42","15,82","16,66","15,82","13,61M","5,87%"
"09.12.2021","15,51","15,67","15,88","15,33","6,25M","-3,00%"
"08.12.2021","15,99","15,16","16,21","15,07","10,59M","5,27%"
"07.12.2021","15,19","15,43","15,84","15,11","6,39M","-1,36%"
"06.12.2021","15,40","15,07","15,75","14,89","10,01M","3,15%"
"03.12.2021","14,93","13,89","15,14","13,89","14,80M","7,41%"
"02.12.2021","13,90","13,49","13,98","13,44","7,65M","5,54%"
"01.12.2021","13,17","13,76","14,21","13,16","11,69M","-3,16%"
"30.11.2021","13,60","13,90","14,05","13,20","14,18M","-3,13%"
"29.11.2021","14,04","14,79","14,81","14,01","12,54M","-3,70%"
"26.11.2021","14,58","14,80","14,85","14,18","6,92M","-4,14%"
"25.11.2021","15,21","14,56","15,32","14,55","6,36M","4,90%"
"24.11.2021","14,50","14,33","14,73","14,02","6,11M","0,55%"
"23.11.2021","14,42","14,59","14,59","14,01","5,16M","0,14%"
"22.11.2021","14,40","15,10","15,34","14,38","5,37M","-4,76%"
"19.11.2021","15,12","14,52","15,34","14,52","5,96M","4,06%"
"18.11.2021","14,53","14,56","15,16","14,27","8,47M","-0,41%"
"17.11.2021","14,59","15,15","15,37","14,39","8,64M","-2,60%"
"16.11.2021","14,98","16,03","16,10","14,96","8,75M","-5,85%"
"12.11.2021","15,91","16,34","16,87","15,78","5,65M","-3,98%"
"11.11.2021","16,57","16,34","17,03","16,24","7,73M","2,41%"
"10.11.2021","16,18","15,64","16,67","15,47","10,23M","3,65%"
"09.11.2021","15,61","14,98","15,90","14,92","6,29M","4,55%"
"08.11.2021","14,93","15,54","15,56","14,85","6,01M","-4,36%"
"05.11.2021","15,61","14,91","15,73","14,91","7,06M","5,62%"
"04.11.2021","14,78","14,97","15,28","14,58","4,77M","-2,18%"
"03.11.2021","15,11","14,44","15,49","14,35","11,07M","3,99%"
"01.11.2021","14,53","14,30","14,82","14,17","4,35M","3,12%"
"29.10.2021","14,09","14,60","14,64","14,02","7,40M","-2,15%"
"28.10.2021","14,40","14,92","15,32","14,32","8,01M","-5,26%"
"27.10.2021","15,20","14,70","15,52","14,70","10,25M","4,04%"
"26.10.2021","14,61","15,19","15,25","14,36","10,64M","-5,07%"
"25.10.2021","15,39","15,28","15,70","14,92","9,31M","1,38%"
"22.10.2021","15,18","15,30","15,48","14,30","18,57M","-2,63%"
"21.10.2021","15,59","16,30","16,50","15,21","18,64M","-6,20%"
"20.10.2021","16,62","17,07","17,20","16,58","7,54M","-1,66%"
"19.10.2021","16,90","17,98","17,99","16,75","13,83M","-7,19%"
"18.10.2021","18,21","17,91","18,39","17,52","5,49M","0,17%"
"15.10.2021","18,18","17,78","18,30","17,71","7,90M","2,25%"
"14.10.2021","17,78","18,44","18,58","17,55","8,08M","-2,25%"
"13.10.2021","18,19","17,76","18,33","17,67","8,33M","2,65%"
"11.10.2021","17,72","17,90","18,14","17,61","5,32M","-1,06%"
"08.10.2021","17,91","17,46","18,24","17,44","13,45M","4,31%"
"07.10.2021","17,17","17,60","17,90","17,13","7,70M","-1,83%"
"06.10.2021","17,49","17,11","17,52","16,88","11,86M","-0,11%"
"05.10.2021","17,51","18,12","18,13","17,48","5,80M","-2,45%"
"04.10.2021","17,95","18,54","18,61","17,79","4,06M","-3,80%"
"01.10.2021","18,66","18,01","18,94","17,90","7,34M","3,67%"
"30.09.2021","18,00","17,89","18,63","17,80","7,88M","1,12%"
"29.09.2021","17,80","18,24","18,44","17,77","6,85M","-1,33%"
"28.09.2021","18,04","19,04","19,04","17,86","12,30M","-5,89%"
"27.09.2021","19,17","19,50","19,50","18,75","4,94M","-1,34%"
"24.09.2021","19,43","19,29","19,64","18,83","6,28M","0,00%"
"23.09.2021","19,43","20,57","20,57","19,28","11,37M","-4,33%"
"22.09.2021","20,31","20,32","20,59","20,02","7,50M","1,80%"
"21.09.2021","19,95","19,53","20,19","19,27","6,44M","2,89%"
"20.09.2021","19,39","19,17","19,50","18,90","4,50M","-1,42%"
"17.09.2021","19,67","19,51","19,80","19,23","5,52M","-0,10%"
"16.09.2021","19,69","19,44","19,98","19,29","5,67M","0,20%"
"15.09.2021","19,65","19,76","19,91","19,20","6,58M","-0,66%"
"14.09.2021","19,78","20,00","20,47","19,64","9,13M","-0,35%"
"13.09.2021","19,85","19,36","20,12","19,19","7,26M","4,92%"
"10.09.2021","18,92","18,98","19,57","18,84","16,26M","2,10%"
"09.09.2021","18,53","18,20","18,80","17,71","10,23M","1,87%"
"08.09.2021","18,19","19,36","19,36","18,15","9,05M","-6,29%"
"06.09.2021","19,41","18,89","19,41","18,82","2,80M","2,75%"
"03.09.2021","18,89","19,45","19,52","18,88","5,99M","-2,02%"
"02.09.2021","19,28","19,96","20,03","19,19","6,21M","-3,36%"
"01.09.2021","19,95","20,41","20,53","19,95","5,19M","-1,34%"
"31.08.2021","20,22","20,50","21,09","20,01","8,92M","-1,12%"
"30.08.2021","20,45","21,28","21,28","20,35","5,96M","-4,04%"
"27.08.2021","21,31","19,98","21,31","19,98","7,47M","6,87%"
"26.08.2021","19,94","21,05","21,06","19,94","9,48M","-5,94%"
"25.08.2021","21,20","20,19","21,40","20,11","20,95M","3,87%"
"24.08.2021","20,41","18,55","20,51","18,43","19,03M","12,33%"
"23.08.2021","18,17","18,59","18,80","18,06","5,21M","-2,00%"
"20.08.2021","18,54","18,20","18,84","18,15","6,79M","0,76%"
"19.08.2021","18,40","17,97","18,51","17,90","6,17M","0,49%"
"18.08.2021","18,31","18,46","18,77","18,11","12,11M","-0,05%"
"17.08.2021","18,32","18,96","18,96","18,05","7,26M","-3,93%"
"16.08.2021","19,07","18,92","19,29","18,49","8,16M","0,16%"
"13.08.2021","19,04","19,56","20,06","18,97","8,24M","-1,50%"
"12.08.2021","19,33","19,65","19,72","19,31","4,51M","-1,88%"
"11.08.2021","19,70","20,06","20,12","19,57","5,69M","-1,75%"
"10.08.2021","20,05","20,41","20,48","19,96","5,13M","-1,47%"
"09.08.2021","20,35","20,05","20,61","19,95","6,17M","1,34%"
"06.08.2021","20,08","19,67","20,23","19,60","5,46M","2,29%"
"05.08.2021","19,63","20,32","20,48","19,57","7,15M","-2,92%"
"04.08.2021","20,22","20,51","20,81","20,10","4,70M","-1,51%"
"03.08.2021","20,53","20,90","20,90","19,85","8,91M","-1,77%"
"02.08.2021","20,90","21,15","21,49","20,87","5,38M","0,24%"
"30.07.2021","20,85","21,15","21,29","20,71","4,44M","-2,20%"
"29.07.2021","21,32","21,90","22,11","21,26","4,87M","-1,93%"
"28.07.2021","21,74","21,53","21,82","21,23","4,04M","1,59%"
"27.07.2021","21,40","21,50","21,52","20,99","7,16M","-0,74%"
"26.07.2021","21,56","21,86","21,96","21,40","4,85M","-1,55%"
"23.07.2021","21,90","22,34","22,44","21,68","6,34M","-2,19%"
"22.07.2021","22,39","22,36","22,58","22,22","3,47M","0,31%"
"21.07.2021","22,32","22,49","22,54","22,06","4,46M","-0,53%"
"20.07.2021","22,44","22,63","22,63","22,19","3,53M","-0,88%"
"19.07.2021","22,64","22,35","22,67","22,06","4,68M","-0,70%"
"16.07.2021","22,80","23,36","23,52","22,67","4,69M","-1,68%"
"15.07.2021","23,19","23,56","23,72","22,96","4,97M","-1,65%"
"14.07.2021","23,58","23,67","23,91","23,44","5,17M","0,86%"
"13.07.2021","23,38","23,75","23,75","23,17","7,04M","-0,34%"
"12.07.2021","23,46","22,92","23,69","22,79","6,14M","3,39%"
"08.07.2021","22,69","22,80","22,98","22,46","11,08M","-2,32%"
"07.07.2021","23,23","23,20","23,52","22,84","5,29M","1,26%"
"06.07.2021","22,94","23,20","23,20","22,65","4,54M","-1,38%"
"05.07.2021","23,26","23,29","23,43","23,05","2,70M","-0,68%"
"02.07.2021","23,42","22,99","23,42","22,82","4,55M","2,90%"
"01.07.2021","22,76","23,45","23,51","22,71","7,11M","-2,49%"
"30.06.2021","23,34","22,83","23,66","22,71","7,33M","1,61%"
"29.06.2021","22,97","22,62","23,10","22,18","7,38M","1,19%"
"28.06.2021","22,70","22,93","23,29","22,52","6,09M","-0,74%"
"25.06.2021","22,87","23,71","23,72","22,77","5,72M","-2,80%"
"24.06.2021","23,53","23,60","24,15","23,50","7,54M","0,90%"
"23.06.2021","23,32","23,70","23,70","23,10","6,93M","-1,73%"
"22.06.2021","23,73","23,86","23,86","23,52","4,15M","-1,49%"
"21.06.2021","24,09","24,32","24,32","23,76","3,82M","-0,33%"
"18.06.2021","24,17","24,07","24,33","23,97","3,64M","0,08%"
"17.06.2021","24,15","24,21","24,46","23,80","6,10M","-0,82%"
"16.06.2021","24,35","24,63","24,71","24,12","9,07M","-1,30%"
"15.06.2021","24,67","24,83","24,83","24,44","2,99M","-0,28%"
"14.06.2021","24,74","24,67","25,03","24,48","5,90M","0,86%"
"11.06.2021","24,53","24,81","24,89","24,16","6,14M","-1,68%"
"10.06.2021","24,95","25,63","25,74","24,52","9,42M","-2,42%"
"09.06.2021","25,57","26,13","26,15","25,31","8,45M","-2,33%"
"08.06.2021","26,18","25,95","26,54","25,81","7,49M","0,73%"
"07.06.2021","25,99","26,20","26,33","25,88","6,64M","-0,80%"
"04.06.2021","26,20","25,95","26,33","25,77","7,31M","1,16%"
"02.06.2021","25,90","25,41","26,20","25,19","12,36M","1,69%"
"01.06.2021","25,47","24,10","25,67","24,02","13,53M","6,57%"
"31.05.2021","23,90","23,63","24,07","23,49","3,43M","0,84%"
"28.05.2021","23,70","23,34","23,83","23,22","5,13M","1,89%"
"27.05.2021","23,26","23,23","23,37","22,90","5,23M","-0,09%"
"26.05.2021","23,28","22,83","23,32","22,81","9,87M","2,83%"
"25.05.2021","22,64","22,39","22,87","22,28","7,34M","2,12%"
"24.05.2021","22,17","22,05","22,24","21,57","8,98M","1,00%"
"21.05.2021","21,95","23,27","23,28","21,84","16,99M","-5,39%"
"20.05.2021","23,20","23,23","23,45","23,02","5,20M","0,43%"
"19.05.2021","23,10","23,81","24,40","23,06","7,95M","-4,03%"
"18.05.2021","24,07","24,32","24,39","23,82","3,66M","-1,35%"
"17.05.2021","24,40","23,71","24,49","23,64","4,03M","2,87%"
"14.05.2021","23,72","23,66","24,40","22,91","11,10M","1,72%"
"13.05.2021","23,32","22,88","23,45","22,73","4,31M","2,60%"
"12.05.2021","22,73","23,18","23,30","22,56","6,00M","-2,49%"
"11.05.2021","23,31","23,39","23,72","23,15","5,70M","-1,52%"
"10.05.2021","23,67","24,01","24,08","23,49","3,81M","-1,82%"
"07.05.2021","24,11","23,67","24,18","23,67","3,59M","2,12%"
"06.05.2021","23,61","23,32","23,86","23,29","3,91M","1,29%"
"05.05.2021","23,31","23,44","23,88","23,08","7,83M","0,04%"
"04.05.2021","23,30","23,56","23,67","23,29","5,60M","-0,89%"
"03.05.2021","23,51","23,63","24,09","23,41","4,64M","-0,08%"
"30.04.2021","23,53","24,00","24,28","23,52","7,30M","-2,28%"
"29.04.2021","24,08","24,49","24,76","23,94","4,43M","-1,59%"
"28.04.2021","24,47","24,36","24,53","23,72","4,55M","0,53%"
"27.04.2021","24,34","24,46","24,69","24,20","2,85M","-0,86%"
"26.04.2021","24,55","24,58","25,08","24,31","4,04M","-3,69%"
"23.04.2021","25,49","25,25","25,70","25,14","3,07M","1,19%"
"22.04.2021","25,19","25,44","25,97","24,98","5,39M","-0,40%"
"20.04.2021","25,29","25,15","25,47","25,02","4,39M","0,76%"
