"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"30.12.2021","24,82","24,43","25,11","24,41","9,09M","1,64%"
"29.12.2021","24,42","24,45","24,83","24,32","5,04M","-0,29%"
"28.12.2021","24,49","24,46","24,78","24,29","5,04M","0,20%"
"27.12.2021","24,44","24,28","24,68","23,94","7,97M","0,37%"
"23.12.2021","24,35","23,70","24,56","23,56","10,33M","3,18%"
"22.12.2021","23,60","23,10","24,03","22,89","16,74M","2,16%"
"21.12.2021","23,10","22,95","23,50","22,04","34,61M","16,02%"
"20.12.2021","19,91","19,93","20,10","19,31","8,83M","-2,40%"
"17.12.2021","20,40","20,31","21,04","19,88","14,53M","-0,83%"
"16.12.2021","20,57","20,94","21,09","20,45","5,07M","-0,72%"
"15.12.2021","20,72","20,48","20,95","20,06","7,92M","0,44%"
"14.12.2021","20,63","20,83","21,00","20,19","6,12M","-0,05%"
"13.12.2021","20,64","21,51","21,81","20,50","8,15M","-3,64%"
"10.12.2021","21,42","21,16","21,62","21,01","7,22M","3,18%"
"09.12.2021","20,76","21,15","21,16","20,51","6,43M","-2,54%"
"08.12.2021","21,30","20,23","21,85","20,23","16,08M","4,93%"
"07.12.2021","20,30","20,72","20,81","20,15","6,80M","0,35%"
"06.12.2021","20,23","19,50","20,46","19,28","7,83M","5,64%"
"03.12.2021","19,15","19,42","20,01","18,89","9,67M","-1,08%"
"02.12.2021","19,36","18,51","19,50","18,28","9,48M","5,79%"
"01.12.2021","18,30","19,80","19,96","18,14","11,89M","-4,39%"
"30.11.2021","19,14","19,66","19,71","18,72","11,19M","-3,09%"
"29.11.2021","19,75","19,83","20,16","19,45","7,60M","2,49%"
"26.11.2021","19,27","19,99","20,10","18,76","12,52M","-8,41%"
"25.11.2021","21,04","20,70","21,33","20,66","4,55M","2,14%"
"24.11.2021","20,60","20,40","20,80","20,01","5,50M","0,05%"
"23.11.2021","20,59","20,53","20,78","20,01","7,27M","1,08%"
"22.11.2021","20,37","20,65","21,08","20,28","9,69M","-1,69%"
"19.11.2021","20,72","20,97","21,25","20,53","7,98M","-1,61%"
"18.11.2021","21,06","20,96","21,30","20,68","6,60M","0,53%"
"17.11.2021","20,95","21,86","21,95","20,56","17,45M","-2,56%"
"16.11.2021","21,50","22,51","23,29","21,42","14,43M","-2,14%"
"12.11.2021","21,97","22,83","23,11","21,05","18,73M","-4,44%"
"11.11.2021","22,99","23,00","23,67","22,75","8,67M","1,55%"
"10.11.2021","22,64","23,26","23,40","22,60","7,60M","-3,12%"
"09.11.2021","23,37","22,80","23,73","22,75","6,40M","2,14%"
"08.11.2021","22,88","23,06","23,50","22,53","8,06M","-1,00%"
"05.11.2021","23,11","22,41","23,18","22,06","11,14M","6,45%"
"04.11.2021","21,71","22,23","22,45","21,18","7,55M","-2,86%"
"03.11.2021","22,35","22,07","22,62","21,61","9,56M","0,09%"
"01.11.2021","22,33","22,09","22,68","22,02","7,26M","1,82%"
"29.10.2021","21,93","22,62","22,70","21,69","7,88M","-1,97%"
"28.10.2021","22,37","22,22","22,85","21,81","9,33M","-0,53%"
"27.10.2021","22,49","23,21","23,40","22,36","6,61M","-2,93%"
"26.10.2021","23,17","23,91","23,98","23,07","11,57M","-3,94%"
"25.10.2021","24,12","24,40","24,86","23,92","7,64M","-0,54%"
"22.10.2021","24,25","23,83","24,59","23,12","14,91M","0,50%"
"21.10.2021","24,13","24,20","25,00","23,70","12,20M","-2,11%"
"20.10.2021","24,65","25,26","25,45","24,46","5,68M","-1,16%"
"19.10.2021","24,94","25,70","25,90","24,90","8,09M","-2,81%"
"18.10.2021","25,66","25,54","26,08","25,07","5,67M","-0,08%"
"15.10.2021","25,68","26,20","26,43","25,63","5,39M","-1,42%"
"14.10.2021","26,05","26,05","26,35","25,42","6,99M","0,58%"
"13.10.2021","25,90","26,19","26,60","25,76","10,29M","-0,23%"
"11.10.2021","25,96","25,21","26,31","24,82","13,51M","4,89%"
"08.10.2021","24,75","24,26","25,14","24,04","9,94M","2,74%"
"07.10.2021","24,09","23,54","24,40","23,28","9,45M","3,04%"
"06.10.2021","23,38","22,71","23,54","21,51","16,27M","1,83%"
