"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"30.12.2021","22,61","22,55","22,66","22,35","4,49M","0,67%"
"29.12.2021","22,46","22,72","22,74","22,30","3,14M","-1,58%"
"28.12.2021","22,82","22,84","22,84","22,45","2,08M","0,04%"
"27.12.2021","22,81","22,83","22,85","22,37","4,08M","0,71%"
"23.12.2021","22,65","22,88","22,88","22,48","2,53M","-0,96%"
"22.12.2021","22,87","22,81","22,90","22,57","3,58M","-0,13%"
"21.12.2021","22,90","22,90","23,11","22,71","5,55M","-0,95%"
"20.12.2021","23,12","23,49","23,56","22,93","3,05M","-1,78%"
"17.12.2021","23,54","23,29","23,78","23,07","7,61M","0,77%"
"16.12.2021","23,36","23,88","23,94","23,13","4,54M","-1,72%"
"15.12.2021","23,77","23,95","24,07","23,61","4,77M","-0,92%"
"14.12.2021","23,99","24,00","24,27","23,77","3,62M","0,25%"
"13.12.2021","23,93","23,91","24,39","23,68","6,43M","0,08%"
"10.12.2021","23,91","24,09","24,28","23,83","6,53M","0,04%"
"09.12.2021","23,90","23,71","24,30","23,61","10,79M","1,27%"
"08.12.2021","23,60","23,43","23,88","23,29","3,97M","1,07%"
"07.12.2021","23,35","23,51","23,55","23,25","5,05M","0,13%"
"06.12.2021","23,32","23,56","23,84","23,32","4,60M","-1,02%"
"03.12.2021","23,56","23,28","23,94","23,22","7,85M","1,42%"
"02.12.2021","23,23","22,88","23,44","22,72","7,76M","2,56%"
"01.12.2021","22,65","22,62","22,92","22,38","9,02M","0,35%"
"30.11.2021","22,57","22,63","22,91","22,24","10,95M","-0,92%"
"29.11.2021","22,78","22,91","23,00","22,59","7,05M","0,04%"
"26.11.2021","22,77","22,87","23,02","22,55","7,52M","-1,64%"
"25.11.2021","23,15","23,22","23,52","22,97","6,29M","-0,30%"
"24.11.2021","23,22","23,07","23,45","22,87","6,82M","-0,98%"
"23.11.2021","23,45","23,00","23,61","22,68","11,14M","2,09%"
"22.11.2021","22,97","23,56","23,67","22,83","5,55M","-2,09%"
"19.11.2021","23,46","23,60","24,01","23,39","4,92M","-0,30%"
"18.11.2021","23,53","23,72","24,09","23,34","5,39M","-0,21%"
"17.11.2021","23,58","24,10","24,32","23,45","4,88M","-1,79%"
"16.11.2021","24,01","24,27","24,45","23,58","3,88M","-1,03%"
"12.11.2021","24,26","24,77","25,23","24,20","4,51M","-2,02%"
"11.11.2021","24,76","24,35","25,20","24,23","7,90M","2,78%"
"10.11.2021","24,09","23,26","24,57","23,15","12,09M","3,52%"
"09.11.2021","23,27","22,65","23,67","22,62","6,80M","2,15%"
"08.11.2021","22,78","22,64","23,12","22,60","3,84M","-0,57%"
"05.11.2021","22,91","22,70","23,20","22,66","5,78M","1,37%"
"04.11.2021","22,60","22,91","23,00","22,28","9,11M","-1,61%"
"03.11.2021","22,97","22,72","23,22","22,39","13,61M","-0,04%"
"01.11.2021","22,98","23,01","23,25","22,68","10,98M","0,44%"
"29.10.2021","22,88","23,50","23,94","22,71","15,28M","-2,39%"
"28.10.2021","23,44","24,31","24,63","22,26","13,07M","-3,90%"
"27.10.2021","24,39","23,95","24,84","23,95","9,90M","2,01%"
"26.10.2021","23,91","23,40","24,54","23,27","8,62M","-0,42%"
"25.10.2021","24,01","23,39","24,29","23,10","11,26M","3,76%"
"22.10.2021","23,14","23,60","23,61","22,45","10,89M","-2,94%"
"21.10.2021","23,84","23,65","24,04","23,11","10,51M","-0,67%"
"20.10.2021","24,00","24,15","24,66","23,62","7,47M","-0,99%"
"19.10.2021","24,24","24,52","24,73","24,09","5,60M","-2,14%"
"18.10.2021","24,77","24,55","24,99","24,28","3,32M","0,41%"
"15.10.2021","24,67","24,92","25,20","24,52","5,55M","-1,08%"
"14.10.2021","24,94","24,86","25,21","24,57","5,88M","0,40%"
"13.10.2021","24,84","24,60","25,17","24,43","8,07M","1,39%"
"11.10.2021","24,50","24,54","24,70","24,19","3,83M","-0,49%"
"08.10.2021","24,62","24,48","25,06","24,39","5,89M","1,40%"
"07.10.2021","24,28","24,14","24,55","23,85","6,58M","0,54%"
"06.10.2021","24,15","24,25","24,48","23,76","6,43M","-1,19%"
"05.10.2021","24,44","24,88","24,94","24,19","5,58M","-1,65%"
"04.10.2021","24,85","25,31","25,44","24,63","5,42M","-3,04%"
"01.10.2021","25,63","25,36","25,75","25,26","4,13M","1,10%"
"30.09.2021","25,35","25,65","25,86","25,35","4,41M","-1,36%"
"29.09.2021","25,70","25,74","26,17","25,45","5,35M","1,22%"
"28.09.2021","25,39","25,67","25,74","25,30","4,32M","-0,86%"
"27.09.2021","25,61","25,55","25,99","25,26","2,96M","-0,35%"
"24.09.2021","25,70","25,59","25,77","25,47","3,12M","-0,70%"
"23.09.2021","25,88","25,81","26,20","25,58","5,28M","0,78%"
"22.09.2021","25,68","25,90","26,05","25,66","6,00M","-0,16%"
"21.09.2021","25,72","25,45","26,12","25,31","6,28M","0,94%"
"20.09.2021","25,48","25,56","26,07","25,31","5,93M","-1,13%"
"17.09.2021","25,77","25,52","25,99","25,51","8,56M","0,47%"
"16.09.2021","25,65","25,18","25,77","25,11","5,52M","1,18%"
"15.09.2021","25,35","25,48","25,55","24,66","6,76M","0,28%"
"14.09.2021","25,28","25,38","25,64","25,14","6,91M","-0,04%"
"13.09.2021","25,29","25,29","25,81","25,10","6,06M","1,77%"
"10.09.2021","24,85","24,76","25,30","24,58","5,45M","-0,52%"
"09.09.2021","24,98","24,61","25,34","24,36","5,62M","1,34%"
"08.09.2021","24,65","25,36","25,40","24,43","8,62M","-2,95%"
"06.09.2021","25,40","25,59","25,64","25,16","3,15M","-0,97%"
"03.09.2021","25,65","26,20","26,37","24,84","18,34M","-1,42%"
"02.09.2021","26,02","26,22","26,39","25,71","7,70M","-1,10%"
"01.09.2021","26,31","25,90","26,68","25,63","16,90M","3,38%"
"31.08.2021","25,45","25,31","25,55","24,90","9,21M","0,47%"
"30.08.2021","25,33","25,20","25,38","24,98","3,28M","0,12%"
"27.08.2021","25,30","25,62","25,62","24,99","3,29M","-0,39%"
"26.08.2021","25,40","25,53","25,71","25,30","5,15M","-1,17%"
"25.08.2021","25,70","25,19","26,01","25,16","6,23M","0,94%"
"24.08.2021","25,46","24,96","25,85","24,74","9,15M","2,45%"
"23.08.2021","24,85","25,49","25,49","24,66","6,36M","-1,70%"
"20.08.2021","25,28","24,00","25,53","24,00","10,38M","3,90%"
"19.08.2021","24,33","23,01","24,49","22,89","14,77M","4,51%"
"18.08.2021","23,28","23,28","23,67","23,13","9,42M","-0,89%"
"17.08.2021","23,49","23,86","24,10","23,25","9,51M","-2,04%"
"16.08.2021","23,98","24,19","24,47","23,84","6,16M","-0,87%"
"13.08.2021","24,19","24,27","24,37","23,93","3,21M","-0,04%"
"12.08.2021","24,20","24,30","24,57","24,11","8,89M","-0,25%"
"11.08.2021","24,26","24,12","24,45","23,86","6,90M","0,75%"
"10.08.2021","24,08","24,18","24,47","23,94","7,67M","-0,41%"
"09.08.2021","24,18","23,93","24,44","23,93","4,03M","0,33%"
"06.08.2021","24,10","23,53","24,10","23,51","25,54M","1,47%"
"05.08.2021","23,75","24,37","24,55","23,58","6,31M","-1,98%"
"04.08.2021","24,23","24,06","24,59","23,90","5,85M","-0,90%"
"03.08.2021","24,45","24,27","24,45","23,89","3,56M","0,25%"
"02.08.2021","24,39","24,32","24,75","24,32","5,08M","0,79%"
"30.07.2021","24,20","24,82","24,93","24,11","5,51M","-3,35%"
"29.07.2021","25,04","25,02","25,23","24,65","3,26M","0,16%"
"28.07.2021","25,00","24,68","25,18","24,51","4,54M","1,46%"
"27.07.2021","24,64","24,46","24,69","24,26","3,43M","0,45%"
"26.07.2021","24,53","24,51","24,70","24,33","2,69M","0,33%"
"23.07.2021","24,45","25,11","25,11","24,36","12,88M","-2,40%"
"22.07.2021","25,05","24,48","25,26","24,37","5,17M","2,29%"
"21.07.2021","24,49","24,07","24,64","23,96","5,59M","1,49%"
"20.07.2021","24,13","23,91","24,21","23,75","4,19M","0,54%"
"19.07.2021","24,00","24,05","24,25","23,54","4,87M","-0,91%"
"16.07.2021","24,22","24,17","24,55","24,13","4,53M","0,33%"
"15.07.2021","24,14","24,35","24,50","24,01","4,43M","-1,31%"
"14.07.2021","24,46","24,48","24,60","24,09","6,56M","1,28%"
"13.07.2021","24,15","24,36","24,52","23,78","14,40M","-1,83%"
"12.07.2021","24,60","24,23","24,70","24,23","9,65M","1,23%"
"08.07.2021","24,30","24,01","24,57","24,00","3,22M","-0,69%"
"07.07.2021","24,47","24,35","24,48","23,97","5,71M","0,70%"
"06.07.2021","24,30","24,25","24,42","24,08","3,45M","-0,57%"
"05.07.2021","24,44","24,33","24,50","24,15","6,51M","-0,08%"
"02.07.2021","24,46","24,41","24,57","24,16","5,03M","0,87%"
"01.07.2021","24,25","24,54","24,83","24,02","5,82M","-2,22%"
"30.06.2021","24,80","24,72","24,90","24,42","6,74M","-0,80%"
"29.06.2021","25,00","25,26","25,35","24,70","4,89M","-1,57%"
"28.06.2021","25,40","25,39","25,60","25,05","13,99M","-0,16%"
"25.06.2021","25,44","25,04","25,54","24,78","7,82M","0,04%"
"24.06.2021","25,43","24,56","25,43","24,51","6,39M","4,22%"
"23.06.2021","24,40","24,74","24,88","24,37","4,22M","-1,61%"
"22.06.2021","24,80","25,30","25,30","24,66","7,64M","-2,09%"
"21.06.2021","25,33","24,85","25,59","24,71","8,22M","2,05%"
"18.06.2021","24,82","24,81","25,08","24,52","5,74M","0,24%"
"17.06.2021","24,76","24,85","25,18","24,61","5,66M","0,16%"
"16.06.2021","24,72","25,57","25,67","24,72","9,27M","-3,29%"
"15.06.2021","25,56","25,40","25,64","25,03","6,92M","0,67%"
"14.06.2021","25,39","24,78","25,40","24,75","4,34M","2,75%"
"11.06.2021","24,71","25,16","25,34","24,55","3,37M","-1,79%"
