"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"30.12.2021","27,26","27,36","27,71","27,17","5,76M","0,48%"
"29.12.2021","27,13","27,13","27,26","26,97","3,39M","0,15%"
"28.12.2021","27,09","27,05","27,32","26,81","6,93M","-0,40%"
"27.12.2021","27,20","26,79","27,33","26,73","6,35M","0,93%"
"23.12.2021","26,95","27,55","27,59","26,79","8,62M","-1,93%"
"22.12.2021","27,48","27,69","27,80","27,12","8,17M","-0,94%"
"21.12.2021","27,74","27,61","28,18","27,46","9,09M","1,65%"
"20.12.2021","27,29","28,52","28,57","27,10","15,67M","-5,93%"
"17.12.2021","29,01","29,71","29,94","28,83","14,51M","-2,75%"
"16.12.2021","29,83","29,83","29,89","29,20","11,18M","2,30%"
"15.12.2021","29,16","29,17","29,59","28,27","12,59M","-0,55%"
"14.12.2021","29,32","30,10","30,28","29,00","10,12M","-0,48%"
"13.12.2021","29,46","29,81","30,45","29,10","11,78M","-0,44%"
"10.12.2021","29,59","29,24","29,89","29,24","11,23M","2,21%"
"09.12.2021","28,95","28,69","29,20","28,19","7,65M","0,07%"
"08.12.2021","28,93","28,93","29,40","28,76","10,63M","-0,07%"
"07.12.2021","28,95","29,30","29,70","28,75","13,06M","1,58%"
"06.12.2021","28,50","28,57","29,01","28,33","11,93M","2,33%"
"03.12.2021","27,85","27,76","28,59","27,53","14,49M","0,69%"
"02.12.2021","27,66","26,51","27,73","26,43","13,15M","5,69%"
"01.12.2021","26,17","26,40","27,24","26,17","17,18M","1,43%"
"30.11.2021","25,80","25,79","26,55","25,33","24,16M","0,00%"
"29.11.2021","25,80","26,21","26,58","25,80","8,78M","0,98%"
"26.11.2021","25,55","25,42","25,77","25,11","9,63M","-2,63%"
"25.11.2021","26,24","25,96","26,65","25,75","8,94M","0,92%"
"24.11.2021","26,00","25,52","26,13","25,30","12,61M","1,64%"
"23.11.2021","25,58","26,30","27,35","25,28","15,51M","0,59%"
"22.11.2021","25,43","25,38","25,72","24,94","12,04M","2,58%"
"19.11.2021","24,79","24,64","25,00","24,35","12,77M","2,10%"
"18.11.2021","24,28","25,25","25,28","24,28","11,57M","-4,11%"
"17.11.2021","25,32","25,78","26,06","25,15","11,99M","-0,47%"
"16.11.2021","25,44","25,60","25,67","25,08","10,02M","0,16%"
"12.11.2021","25,40","24,92","25,79","24,85","13,95M","1,15%"
"11.11.2021","25,11","24,45","25,42","24,45","19,44M","5,99%"
"10.11.2021","23,69","23,70","24,13","23,30","11,56M","-1,25%"
"09.11.2021","23,99","23,75","24,33","23,35","16,73M","0,80%"
"08.11.2021","23,80","23,36","24,27","23,14","15,54M","3,98%"
"05.11.2021","22,89","23,95","24,03","22,82","13,97M","-3,98%"
"04.11.2021","23,84","23,78","24,34","23,63","14,57M","-0,08%"
"03.11.2021","23,86","24,51","24,76","23,86","17,83M","-3,95%"
"01.11.2021","24,84","25,51","25,53","24,43","11,17M","-1,11%"
"29.10.2021","25,12","25,31","25,68","24,84","9,78M","-1,84%"
"28.10.2021","25,59","25,49","25,88","25,18","14,97M","0,20%"
"27.10.2021","25,54","26,94","27,16","25,44","28,23M","-2,52%"
"26.10.2021","26,20","25,87","26,33","25,69","19,95M","0,34%"
"25.10.2021","26,11","25,22","26,36","25,11","11,23M","4,61%"
"22.10.2021","24,96","24,52","25,25","24,42","15,09M","0,65%"
"21.10.2021","24,80","24,84","25,30","24,03","14,12M","-2,86%"
"20.10.2021","25,53","26,16","26,20","25,35","9,44M","-1,77%"
"19.10.2021","25,99","26,17","26,71","25,79","15,14M","-1,25%"
"18.10.2021","26,32","25,80","26,45","25,57","14,00M","0,04%"
"15.10.2021","26,31","26,54","26,54","26,03","10,11M","0,04%"
"14.10.2021","26,30","26,13","26,54","25,71","19,11M","1,94%"
"13.10.2021","25,80","25,01","26,16","24,87","11,99M","1,69%"
"11.10.2021","25,37","25,94","26,42","25,27","14,97M","-0,04%"
"08.10.2021","25,38","25,73","25,99","25,36","9,52M","1,08%"
"07.10.2021","25,11","24,78","25,63","24,57","13,42M","1,62%"
"06.10.2021","24,71","25,01","25,30","24,28","14,11M","-2,02%"
"05.10.2021","25,22","25,64","25,79","25,15","8,14M","-0,51%"
"04.10.2021","25,35","25,58","26,20","25,33","13,28M","-2,01%"
"01.10.2021","25,87","25,42","26,06","25,25","17,10M","2,21%"
"30.09.2021","25,31","24,71","26,09","24,65","23,15M","3,94%"
"29.09.2021","24,35","24,17","24,66","23,95","16,19M","1,84%"
"28.09.2021","23,91","24,41","24,63","23,78","15,63M","-2,80%"
"27.09.2021","24,60","24,68","25,00","24,14","25,38M","0,37%"
"24.09.2021","24,51","24,29","24,72","24,06","13,71M","-1,41%"
"23.09.2021","24,86","23,62","25,11","23,10","22,60M","5,65%"
"22.09.2021","23,53","23,48","24,14","23,34","28,56M","5,85%"
"21.09.2021","22,23","22,66","22,66","21,63","20,41M","-0,94%"
"20.09.2021","22,44","21,82","22,56","21,60","18,35M","-0,93%"
"17.09.2021","22,65","24,12","24,30","22,58","35,28M","-6,79%"
"16.09.2021","24,30","24,88","24,95","24,06","19,50M","-3,42%"
"15.09.2021","25,16","25,42","25,52","24,88","16,84M","-0,79%"
"14.09.2021","25,36","25,45","25,69","25,14","8,43M","0,12%"
"13.09.2021","25,33","25,73","26,02","25,15","11,62M","0,80%"
"10.09.2021","25,13","25,78","25,94","25,13","8,75M","-0,40%"
"09.09.2021","25,23","25,17","25,71","24,94","15,15M","1,33%"
"08.09.2021","24,90","25,49","25,94","24,77","16,35M","-2,31%"
"06.09.2021","25,49","24,92","25,69","24,62","7,24M","1,11%"
"03.09.2021","25,21","25,63","26,00","25,05","12,29M","-0,04%"
"02.09.2021","25,22","25,89","26,22","25,18","12,17M","-2,70%"
"01.09.2021","25,92","25,78","26,29","25,19","8,55M","-0,58%"
"31.08.2021","26,07","26,36","26,51","25,87","11,83M","-1,29%"
"30.08.2021","26,41","26,74","26,93","26,24","8,48M","-0,90%"
"27.08.2021","26,65","26,50","26,82","26,27","9,97M","1,80%"
"26.08.2021","26,18","26,56","26,66","26,00","10,31M","-2,09%"
"25.08.2021","26,74","26,59","27,02","26,47","9,41M","0,53%"
"24.08.2021","26,60","26,51","26,88","26,43","16,18M","3,74%"
"23.08.2021","25,64","25,46","26,10","25,46","10,71M","0,71%"
"20.08.2021","25,46","25,75","25,95","25,32","14,37M","-0,12%"
"19.08.2021","25,49","25,69","26,02","25,29","25,95M","-3,52%"
"18.08.2021","26,42","26,26","27,04","25,95","17,98M","-0,86%"
"17.08.2021","26,65","27,38","27,38","26,52","11,00M","-2,84%"
"16.08.2021","27,43","28,19","28,19","27,15","13,59M","-3,14%"
"13.08.2021","28,32","28,59","28,72","28,18","6,37M","-1,01%"
"12.08.2021","28,61","28,78","29,17","28,54","9,65M","-1,38%"
"11.08.2021","29,01","28,81","29,06","28,37","11,19M","1,08%"
"10.08.2021","28,70","28,10","28,94","28,05","18,63M","2,50%"
"09.08.2021","28,00","27,85","28,20","27,65","9,79M","-1,27%"
"06.08.2021","28,36","27,81","28,43","27,81","11,22M","2,01%"
"05.08.2021","27,80","28,56","28,56","27,50","14,12M","-2,73%"
"04.08.2021","28,58","28,57","29,01","28,03","21,66M","0,18%"
"03.08.2021","28,53","27,81","28,55","27,53","18,01M","2,66%"
"02.08.2021","27,79","28,33","28,37","27,70","9,29M","-0,22%"
"30.07.2021","27,85","28,07","28,44","27,81","12,25M","-1,90%"
"29.07.2021","28,39","27,75","28,42","27,75","11,93M","2,16%"
"28.07.2021","27,79","28,17","28,28","27,43","8,76M","0,25%"
"27.07.2021","27,72","28,56","28,56","27,39","11,28M","-3,58%"
"26.07.2021","28,75","27,81","28,75","27,72","14,91M","3,42%"
"23.07.2021","27,80","27,63","28,03","27,47","12,34M","0,62%"
"22.07.2021","27,63","27,29","27,79","27,12","9,98M","0,84%"
"21.07.2021","27,40","26,70","27,56","26,58","10,03M","2,28%"
"20.07.2021","26,79","26,68","26,86","26,16","8,41M","0,41%"
"19.07.2021","26,68","26,13","26,68","25,61","16,20M","0,15%"
"16.07.2021","26,64","27,24","27,31","26,37","8,68M","-1,55%"
"15.07.2021","27,06","27,17","27,71","26,86","12,06M","-0,66%"
"14.07.2021","27,24","27,90","28,17","26,95","22,69M","-1,34%"
"13.07.2021","27,61","27,57","28,00","27,32","13,37M","0,40%"
"12.07.2021","27,50","26,81","27,63","26,63","16,39M","4,52%"
"08.07.2021","26,31","26,63","26,73","26,04","11,21M","-3,02%"
"07.07.2021","27,13","27,10","27,50","26,91","9,56M","1,50%"
"06.07.2021","26,73","26,71","26,96","26,42","11,05M","-0,41%"
"05.07.2021","26,84","27,13","27,28","26,53","11,30M","-0,26%"
"02.07.2021","26,91","26,42","27,05","26,18","15,80M","2,79%"
"01.07.2021","26,18","26,86","27,15","26,00","19,47M","-2,20%"
"30.06.2021","26,77","27,31","27,57","26,59","16,54M","-2,16%"
"29.06.2021","27,36","27,69","28,09","26,91","16,82M","-1,01%"
"28.06.2021","27,64","28,16","28,33","27,27","11,74M","-0,90%"
"25.06.2021","27,89","28,07","28,28","27,74","12,34M","0,25%"
"24.06.2021","27,82","27,28","28,25","27,08","14,40M","3,27%"
"23.06.2021","26,94","27,03","27,29","26,83","11,35M","-0,04%"
"22.06.2021","26,95","26,88","27,42","26,68","13,01M","-0,22%"
"21.06.2021","27,01","25,95","27,33","25,73","18,52M","2,70%"
"18.06.2021","26,30","26,34","26,96","26,14","18,70M","0,31%"
"17.06.2021","26,22","27,29","27,37","25,92","28,84M","-3,78%"
"16.06.2021","27,25","28,75","28,79","27,12","31,80M","-5,12%"
"15.06.2021","28,72","29,13","29,15","28,39","9,32M","-1,07%"
