"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"30.12.2021","28,27","28,09","28,41","27,90","1,95M","1,11%"
"29.12.2021","27,96","28,78","28,78","27,86","1,62M","-3,75%"
"28.12.2021","29,05","28,87","29,26","28,75","1,65M","1,29%"
"27.12.2021","28,68","28,18","29,26","28,18","2,35M","1,06%"
"23.12.2021","28,38","28,63","28,63","28,03","1,52M","-0,14%"
"22.12.2021","28,42","28,73","28,91","28,28","1,86M","-0,98%"
"21.12.2021","28,70","28,83","29,17","28,52","2,28M","-0,62%"
"20.12.2021","28,88","28,98","29,38","28,71","3,21M","-1,97%"
"17.12.2021","29,46","29,00","29,86","28,91","4,80M","0,51%"
"16.12.2021","29,31","29,55","29,69","29,10","2,73M","-0,34%"
"15.12.2021","29,41","29,00","29,47","29,00","2,54M","1,27%"
"14.12.2021","29,04","29,63","29,95","29,03","2,08M","-0,95%"
"13.12.2021","29,32","29,50","30,20","29,32","3,17M","-0,71%"
"10.12.2021","29,53","29,50","29,99","29,30","2,36M","1,51%"
"09.12.2021","29,09","28,77","29,39","28,68","3,10M","0,41%"
"08.12.2021","28,97","28,86","29,03","28,50","2,17M","0,91%"
"07.12.2021","28,71","28,67","29,26","28,59","2,73M","1,23%"
"06.12.2021","28,36","28,52","28,93","28,27","2,08M","0,28%"
"03.12.2021","28,28","27,56","28,74","27,55","3,84M","2,61%"
"02.12.2021","27,56","27,32","27,56","26,78","4,78M","2,84%"
"01.12.2021","26,80","27,50","27,81","26,80","3,79M","-1,18%"
"30.11.2021","27,12","27,28","27,75","26,72","6,40M","-0,84%"
"29.11.2021","27,35","28,19","28,23","27,32","3,43M","-1,76%"
"26.11.2021","27,84","28,35","28,42","27,75","2,16M","-3,47%"
"25.11.2021","28,84","28,55","28,99","28,49","2,13M","1,23%"
"24.11.2021","28,49","28,27","28,91","28,25","2,39M","-0,04%"
"23.11.2021","28,50","28,66","28,85","28,15","3,61M","-0,73%"
"22.11.2021","28,71","28,79","29,46","28,50","2,61M","-0,76%"
"19.11.2021","28,93","29,17","29,54","28,93","2,64M","-0,31%"
