"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"30.12.2021","8,93","9,04","9,06","8,90","23,32M","-1,11%"
"29.12.2021","9,03","9,08","9,11","8,97","12,90M","-0,55%"
"28.12.2021","9,08","9,09","9,15","9,03","12,58M","-0,11%"
"27.12.2021","9,09","9,00","9,09","8,96","15,35M","1,11%"
"23.12.2021","8,99","8,98","9,02","8,91","12,06M","0,22%"
"22.12.2021","8,97","8,93","8,98","8,85","15,14M","0,34%"
"21.12.2021","8,94","9,07","9,10","8,89","24,57M","-5,40%"
"20.12.2021","9,45","9,53","9,54","9,34","25,72M","-0,94%"
"17.12.2021","9,54","9,67","9,68","9,52","32,57M","-1,75%"
"16.12.2021","9,71","9,74","9,76","9,63","25,50M","0,10%"
"15.12.2021","9,70","9,71","9,74","9,52","29,38M","0,94%"
"14.12.2021","9,61","9,65","9,83","9,61","30,88M","0,77%"
"13.12.2021","9,54","9,71","9,78","9,54","36,39M","-1,44%"
"10.12.2021","9,68","9,72","9,77","9,59","13,66M","0,21%"
"09.12.2021","9,66","9,91","9,92","9,58","19,63M","-2,32%"
"08.12.2021","9,89","9,90","9,94","9,78","34,04M","0,30%"
"07.12.2021","9,86","10,06","10,07","9,83","22,16M","-0,90%"
"06.12.2021","9,95","9,86","10,07","9,83","23,34M","1,22%"
"03.12.2021","9,83","9,86","10,06","9,74","26,15M","-0,51%"
"02.12.2021","9,88","9,74","9,94","9,69","25,34M","2,91%"
"01.12.2021","9,60","9,73","9,87","9,60","31,22M","-0,27%"
"30.11.2021","9,62","9,77","9,81","9,51","57,82M","-1,53%"
"29.11.2021","9,77","9,86","9,90","9,73","19,30M","-0,10%"
"26.11.2021","9,78","9,84","9,84","9,65","25,81M","-1,99%"
"25.11.2021","9,98","9,87","10,08","9,87","15,89M","0,91%"
"24.11.2021","9,89","9,70","9,95","9,68","23,74M","1,58%"
"23.11.2021","9,74","9,67","9,78","9,58","21,04M","0,91%"
"22.11.2021","9,65","9,78","9,83","9,61","27,63M","-1,01%"
"19.11.2021","9,75","9,76","9,80","9,66","29,05M","-0,10%"
"18.11.2021","9,76","9,86","9,87","9,64","31,79M","-0,70%"
"17.11.2021","9,83","9,89","9,94","9,75","28,47M","-0,10%"
"16.11.2021","9,84","10,02","10,09","9,80","23,79M","-1,86%"
"12.11.2021","10,02","10,02","10,17","9,93","19,41M","-0,10%"
"11.11.2021","10,03","10,15","10,20","9,99","21,28M","-0,29%"
"10.11.2021","10,06","9,86","10,18","9,82","34,33M","2,29%"
"09.11.2021","9,84","9,98","10,04","9,81","24,95M","-1,08%"
"08.11.2021","9,94","9,95","10,07","9,86","23,40M","-0,20%"
"05.11.2021","9,96","10,15","10,17","9,82","51,33M","-0,78%"
"04.11.2021","10,04","10,44","10,47","9,98","36,59M","-3,30%"
"03.11.2021","10,38","10,23","10,52","10,22","36,03M","0,86%"
"01.11.2021","10,30","10,10","10,38","10,10","30,08M","2,54%"
"29.10.2021","10,04","10,28","10,38","10,04","31,50M","-2,10%"
"28.10.2021","10,26","10,27","10,37","10,14","23,60M","-0,48%"
"27.10.2021","10,31","10,31","10,52","10,29","19,72M","0,48%"
"26.10.2021","10,26","10,43","10,43","10,21","24,58M","-1,87%"
"25.10.2021","10,45","10,32","10,54","10,32","21,88M","1,33%"
"22.10.2021","10,32","10,57","10,57","9,96","65,59M","-2,86%"
"21.10.2021","10,62","10,71","10,91","10,48","48,17M","-2,61%"
"20.10.2021","10,90","10,80","10,97","10,68","27,86M","2,02%"
"19.10.2021","10,69","11,03","11,03","10,62","44,42M","-3,71%"
"18.10.2021","11,10","10,91","11,14","10,82","23,44M","0,71%"
"15.10.2021","11,02","10,82","11,02","10,78","31,95M","1,90%"
"14.10.2021","10,82","10,89","10,97","10,74","35,04M","-1,16%"
"13.10.2021","10,94","10,96","10,99","10,76","27,96M","0,18%"
"11.10.2021","10,92","11,11","11,15","10,89","29,72M","-1,50%"
"08.10.2021","11,09","10,97","11,25","10,96","38,25M","1,52%"
"07.10.2021","10,92","11,14","11,17","10,90","31,10M","-1,93%"
"06.10.2021","11,14","10,99","11,14","10,86","36,63M","0,35%"
"05.10.2021","11,10","10,97","11,21","10,88","38,83M","1,52%"
"04.10.2021","10,93","11,14","11,19","10,83","34,25M","-2,28%"
"01.10.2021","11,19","11,01","11,24","10,93","36,10M","2,51%"
"30.09.2021","10,91","11,09","11,12","10,87","53,21M","-0,89%"
"29.09.2021","11,01","10,89","11,07","10,80","47,62M","1,90%"
"28.09.2021","10,81","10,93","11,19","10,78","64,98M","-1,96%"
"27.09.2021","11,02","10,78","11,07","10,67","45,24M","2,55%"
"24.09.2021","10,75","10,80","10,88","10,75","32,73M","-1,44%"
"23.09.2021","10,90","10,74","11,04","10,70","50,23M","2,58%"
"22.09.2021","10,63","10,53","10,76","10,47","42,81M","1,97%"
"21.09.2021","10,42","10,51","10,58","10,42","36,08M","-0,47%"
"20.09.2021","10,47","10,46","10,56","10,34","54,59M","-1,75%"
"17.09.2021","10,66","10,86","10,87","10,65","47,81M","-2,16%"
"16.09.2021","10,89","10,75","10,89","10,69","69,64M","0,54%"
"15.09.2021","10,83","10,89","10,89","10,76","21,26M","0,00%"
"14.09.2021","10,83","10,92","11,00","10,81","34,15M","-0,63%"
"13.09.2021","10,90","10,91","11,01","10,80","20,50M","1,37%"
"10.09.2021","10,76","11,00","11,04","10,73","21,25M","-1,44%"
"09.09.2021","10,91","10,74","10,97","10,58","55,98M","2,01%"
"08.09.2021","10,70","11,18","11,18","10,64","56,68M","-4,71%"
"06.09.2021","11,23","10,99","11,29","10,97","39,62M","1,87%"
"03.09.2021","11,02","11,10","11,15","10,89","66,01M","-0,18%"
"02.09.2021","11,04","11,35","11,35","11,04","31,22M","-3,34%"
"01.09.2021","11,42","11,31","11,48","11,30","22,10M","1,04%"
"31.08.2021","11,30","11,06","11,33","11,05","47,34M","2,12%"
"30.08.2021","11,07","11,11","11,14","11,00","14,60M","-0,70%"
"27.08.2021","11,15","11,01","11,18","10,91","19,37M","1,79%"
"26.08.2021","10,95","11,16","11,22","10,95","21,03M","-2,52%"
"25.08.2021","11,24","11,13","11,24","11,06","13,22M","0,17%"
"24.08.2021","11,22","11,03","11,24","11,00","20,27M","2,14%"
"23.08.2021","10,98","10,96","11,05","10,86","24,97M","0,45%"
"20.08.2021","10,93","10,88","11,00","10,79","33,03M","0,18%"
"19.08.2021","10,91","10,85","11,11","10,83","27,01M","-0,80%"
"18.08.2021","11,00","10,98","11,25","10,87","61,47M","0,27%"
"17.08.2021","10,97","11,08","11,12","10,82","39,89M","-1,32%"
"16.08.2021","11,12","11,20","11,33","11,06","20,80M","-0,89%"
"13.08.2021","11,22","11,15","11,23","10,99","29,15M","0,61%"
"12.08.2021","11,15","11,29","11,34","11,11","30,40M","-1,72%"
"11.08.2021","11,35","11,13","11,44","11,07","27,80M","1,48%"
"10.08.2021","11,18","11,37","11,37","11,07","24,13M","-0,78%"
"09.08.2021","11,27","11,23","11,38","11,21","20,77M","0,43%"
"06.08.2021","11,22","11,03","11,24","10,97","25,86M","1,86%"
"05.08.2021","11,01","11,05","11,17","10,90","27,03M","0,27%"
"04.08.2021","10,99","11,16","11,18","10,93","18,58M","-2,25%"
"03.08.2021","11,24","11,33","11,36","10,96","33,48M","1,23%"
"02.08.2021","11,10","11,08","11,30","11,05","39,34M","1,97%"
