"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"30.12.2021","37,95","38,22","38,25","37,73","6,62M","-0,26%"
"29.12.2021","38,05","37,92","38,11","37,50","3,35M","0,42%"
"28.12.2021","37,89","37,55","37,90","36,97","3,51M","1,12%"
"27.12.2021","37,47","37,98","37,98","37,26","2,74M","-0,66%"
"23.12.2021","37,72","37,37","38,24","37,26","4,64M","1,23%"
"22.12.2021","37,26","37,95","38,07","36,96","5,01M","-1,35%"
"21.12.2021","37,77","37,99","38,25","37,42","4,88M","0,53%"
"20.12.2021","37,57","36,94","37,85","36,60","8,01M","1,43%"
"17.12.2021","37,04","37,66","38,31","36,66","13,66M","-1,65%"
"16.12.2021","37,66","38,01","38,44","36,77","94,18M","-1,39%"
"15.12.2021","38,19","37,82","38,95","37,82","13,67M","2,44%"
"14.12.2021","37,28","35,67","37,43","35,59","11,88M","5,34%"
"13.12.2021","35,39","35,30","35,76","34,74","6,67M","0,57%"
"10.12.2021","35,19","35,17","35,54","34,74","5,07M","1,35%"
"09.12.2021","34,72","34,95","35,13","34,31","4,77M","0,20%"
"08.12.2021","34,65","34,68","35,00","34,11","5,89M","0,70%"
"07.12.2021","34,41","33,92","34,92","33,79","6,93M","1,99%"
"06.12.2021","33,74","33,46","34,07","33,07","7,32M","0,99%"
"03.12.2021","33,41","34,40","34,43","33,18","12,75M","-4,84%"
"02.12.2021","35,11","34,22","35,12","34,11","8,91M","3,33%"
"01.12.2021","33,98","35,99","36,26","33,77","11,15M","-4,68%"
"30.11.2021","35,65","34,76","35,75","34,52","16,21M","2,65%"
"29.11.2021","34,73","34,89","35,24","34,56","6,17M","1,02%"
"26.11.2021","34,38","34,46","35,75","34,07","8,38M","-2,80%"
"25.11.2021","35,37","36,33","36,33","35,36","7,43M","-2,45%"
"24.11.2021","36,26","36,76","37,01","36,23","5,40M","-1,63%"
"23.11.2021","36,86","36,97","37,12","36,15","6,18M","0,57%"
"22.11.2021","36,65","37,52","37,77","36,65","6,31M","-1,72%"
"19.11.2021","37,29","37,08","38,09","37,08","6,10M","-0,11%"
"18.11.2021","37,33","36,50","37,44","36,24","7,26M","2,70%"
"17.11.2021","36,35","37,45","37,45","36,01","14,21M","-4,32%"
"16.11.2021","37,99","38,46","38,59","37,25","7,65M","-0,60%"
"12.11.2021","38,22","38,64","38,88","37,71","6,48M","0,08%"
"11.11.2021","38,19","39,31","39,36","37,86","13,46M","0,87%"
"10.11.2021","37,86","37,63","38,18","37,27","5,84M","0,32%"
"09.11.2021","37,74","37,82","38,37","37,20","6,13M","-0,58%"
"08.11.2021","37,96","38,62","38,96","37,68","5,53M","-2,09%"
"05.11.2021","38,77","37,93","38,92","37,57","10,53M","2,35%"
"04.11.2021","37,88","36,76","38,13","36,73","11,35M","3,05%"
"03.11.2021","36,76","37,06","37,42","35,81","15,47M","-1,08%"
"01.11.2021","37,16","39,19","39,47","37,15","12,35M","-4,84%"
"29.10.2021","39,05","37,60","39,78","37,55","13,00M","4,19%"
"28.10.2021","37,48","37,47","38,05","37,19","7,64M","-0,11%"
"27.10.2021","37,52","37,48","38,67","37,47","9,74M","1,71%"
"26.10.2021","36,89","37,43","37,43","36,41","8,85M","-0,75%"
"25.10.2021","37,17","36,88","37,69","36,53","7,76M","-0,40%"
"22.10.2021","37,32","36,71","37,77","36,31","13,04M","-0,19%"
"21.10.2021","37,39","37,34","37,86","36,25","12,23M","-1,55%"
"20.10.2021","37,98","37,90","38,67","37,73","18,51M","0,13%"
"19.10.2021","37,93","38,12","39,20","37,34","26,49M","-1,51%"
"18.10.2021","38,51","37,60","38,79","37,60","60,29M","1,37%"
"15.10.2021","37,99","38,23","38,48","37,68","6,34M","0,00%"
"14.10.2021","37,99","38,31","38,46","37,62","6,93M","-0,76%"
"13.10.2021","38,28","37,91","38,70","37,66","9,68M","1,78%"
"11.10.2021","37,61","37,37","38,07","37,17","7,38M","0,59%"
"08.10.2021","37,39","36,98","37,75","36,72","8,10M","1,88%"
"07.10.2021","36,70","37,82","37,91","36,46","11,30M","-2,76%"
"06.10.2021","37,74","37,12","38,08","36,92","13,67M","0,45%"
"05.10.2021","37,57","37,01","38,09","36,97","10,62M","2,26%"
"04.10.2021","36,74","35,83","36,91","35,57","14,82M","1,10%"
"01.10.2021","36,34","38,39","38,95","36,18","25,38M","-1,97%"
