"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"30.12.2021","5,89","5,90","6,18","5,86","16,52M","0,68%"
"29.12.2021","5,85","5,84","5,96","5,77","9,45M","0,00%"
"28.12.2021","5,85","6,03","6,08","5,83","13,26M","-3,15%"
"27.12.2021","6,04","5,79","6,10","5,78","17,65M","3,96%"
"23.12.2021","5,81","5,80","5,87","5,60","10,53M","0,69%"
"22.12.2021","5,77","5,90","5,94","5,70","17,11M","-2,20%"
"21.12.2021","5,90","5,90","5,95","5,58","22,71M","1,03%"
"20.12.2021","5,84","5,69","5,98","5,69","18,67M","-1,02%"
"17.12.2021","5,90","5,66","6,03","5,62","37,44M","1,37%"
"16.12.2021","5,82","5,40","5,96","5,38","89,49M","8,58%"
"15.12.2021","5,36","4,98","5,39","4,83","32,14M","7,41%"
"14.12.2021","4,99","5,16","5,18","4,92","32,24M","-2,16%"
"13.12.2021","5,10","5,29","5,41","5,09","17,49M","-2,86%"
"10.12.2021","5,25","5,27","5,37","5,11","27,70M","2,74%"
"09.12.2021","5,11","5,60","5,60","5,08","33,22M","-9,24%"
"08.12.2021","5,63","5,43","5,64","5,14","35,37M","3,87%"
"07.12.2021","5,42","5,53","5,61","5,36","24,81M","-0,55%"
"06.12.2021","5,45","5,19","5,50","5,10","27,12M","6,24%"
"03.12.2021","5,13","5,00","5,25","4,95","38,34M","3,22%"
"02.12.2021","4,97","5,20","5,25","4,88","34,95M","-2,55%"
"01.12.2021","5,10","5,55","5,65","5,08","27,18M","-6,76%"
"30.11.2021","5,47","5,61","5,64","5,32","21,94M","-3,01%"
"29.11.2021","5,64","5,63","5,77","5,44","26,00M","1,81%"
"26.11.2021","5,54","5,50","5,68","5,36","27,93M","-4,48%"
"25.11.2021","5,80","5,69","5,92","5,66","15,40M","1,93%"
"24.11.2021","5,69","5,41","5,80","5,26","37,20M","4,02%"
"23.11.2021","5,47","5,58","5,60","5,31","23,65M","-0,36%"
"22.11.2021","5,49","5,92","5,99","5,49","27,32M","-6,79%"
"19.11.2021","5,89","5,87","6,13","5,79","28,45M","0,51%"
