"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"30.12.2021","24,44","23,95","24,76","23,91","7,55M","2,26%"
"29.12.2021","23,90","24,47","24,51","23,90","7,02M","-2,29%"
"28.12.2021","24,46","24,53","24,85","24,17","7,08M","0,37%"
"27.12.2021","24,37","24,15","24,86","24,11","6,87M","0,83%"
"23.12.2021","24,17","24,70","24,89","23,88","5,95M","-1,75%"
"22.12.2021","24,60","24,66","24,74","23,85","14,93M","-0,36%"
"21.12.2021","24,69","25,50","25,67","24,55","10,89M","-2,26%"
"20.12.2021","25,26","25,81","26,15","25,13","10,78M","-3,73%"
"17.12.2021","26,24","25,82","26,71","25,41","14,74M","0,15%"
"16.12.2021","26,20","27,20","27,27","25,93","12,15M","-2,93%"
"15.12.2021","26,99","26,57","27,13","25,97","15,09M","2,04%"
"14.12.2021","26,45","28,06","28,27","26,29","16,00M","-4,89%"
"13.12.2021","27,81","28,51","28,76","27,81","10,72M","-2,08%"
"10.12.2021","28,40","28,65","29,04","28,14","8,84M","0,53%"
"09.12.2021","28,25","29,32","29,58","27,86","11,89M","-4,56%"
"08.12.2021","29,60","29,40","29,94","28,76","9,57M","0,48%"
"07.12.2021","29,46","30,19","30,32","28,96","9,47M","-1,11%"
"06.12.2021","29,79","29,47","30,00","28,98","9,55M","1,85%"
"03.12.2021","29,25","28,74","30,38","28,64","10,78M","2,24%"
"02.12.2021","28,61","28,76","29,09","28,16","14,85M","1,13%"
"01.12.2021","28,29","28,90","29,66","27,97","10,69M","-0,56%"
"30.11.2021","28,45","28,60","29,31","27,80","19,59M","-1,69%"
"29.11.2021","28,94","29,75","30,07","28,70","8,82M","-1,43%"
"26.11.2021","29,36","30,00","30,00","28,60","12,98M","-4,58%"
"25.11.2021","30,77","30,72","31,48","30,42","8,93M","0,52%"
"24.11.2021","30,61","31,08","31,46","29,99","11,30M","-1,73%"
"23.11.2021","31,15","31,41","31,71","30,16","9,64M","-0,10%"
"22.11.2021","31,18","32,45","32,66","30,96","7,21M","-3,53%"
"19.11.2021","32,32","31,90","33,41","31,83","14,47M","1,48%"
"18.11.2021","31,85","31,08","31,87","30,85","9,40M","2,81%"
"17.11.2021","30,98","31,71","31,88","30,10","8,70M","-0,74%"
"16.11.2021","31,21","32,57","32,73","30,85","11,84M","-3,16%"
"12.11.2021","32,23","33,80","33,80","31,94","20,34M","-5,01%"
"11.11.2021","33,93","33,17","34,76","32,87","13,96M","3,57%"
"10.11.2021","32,76","32,03","33,83","32,03","12,07M","1,36%"
"09.11.2021","32,32","31,17","33,00","31,10","7,94M","4,26%"
"08.11.2021","31,00","31,66","31,66","30,62","5,42M","-1,90%"
"05.11.2021","31,60","31,43","32,80","31,31","9,84M","-7,33%"
"04.11.2021","34,10","34,85","35,31","33,73","9,53M","-2,18%"
"03.11.2021","34,86","33,03","35,49","32,97","12,29M","5,00%"
"01.11.2021","33,20","32,25","33,47","32,25","7,10M","3,01%"
"29.10.2021","32,23","32,66","32,92","31,87","9,36M","-0,37%"
"28.10.2021","32,35","31,74","32,96","31,74","10,08M","-0,06%"
"27.10.2021","32,37","31,62","33,19","31,52","12,54M","2,79%"
"26.10.2021","31,49","32,50","32,74","31,26","11,46M","-4,14%"
"25.10.2021","32,85","32,15","33,40","31,87","12,64M","2,50%"
"22.10.2021","32,05","33,00","33,11","30,40","33,21M","-4,01%"
"21.10.2021","33,39","33,99","35,14","33,12","17,87M","-4,44%"
"20.10.2021","34,94","34,18","35,93","34,18","12,58M","1,48%"
"19.10.2021","34,43","35,50","35,50","33,83","12,72M","-4,33%"
"18.10.2021","35,99","35,69","36,63","34,90","8,22M","0,67%"
"15.10.2021","35,75","34,44","36,00","34,24","10,15M","3,32%"
"14.10.2021","34,60","34,84","35,16","34,15","4,68M","-0,52%"
"13.10.2021","34,78","34,08","35,40","33,84","13,79M","2,60%"
"11.10.2021","33,90","34,94","34,94","33,76","6,94M","-2,31%"
"08.10.2021","34,70","34,20","36,00","34,12","10,93M","2,75%"
"07.10.2021","33,77","34,08","34,30","33,44","7,31M","-0,09%"
"06.10.2021","33,80","33,40","33,90","32,45","10,98M","-1,26%"
"05.10.2021","34,23","34,37","34,88","33,88","11,95M","-0,26%"
"04.10.2021","34,32","36,03","36,13","33,97","7,53M","-5,25%"
"01.10.2021","36,22","34,48","36,30","34,14","10,44M","5,23%"
"30.09.2021","34,42","34,51","35,18","34,15","7,11M","-0,17%"
"29.09.2021","34,48","34,44","35,48","34,20","6,16M","0,70%"
"28.09.2021","34,24","35,62","35,66","33,78","10,51M","-4,49%"
"27.09.2021","35,85","37,11","37,16","35,52","6,07M","-3,06%"
"24.09.2021","36,98","36,96","37,08","36,53","4,92M","-0,59%"
"23.09.2021","37,20","36,76","37,47","36,56","10,27M","1,61%"
"22.09.2021","36,61","36,71","36,87","35,93","7,35M","0,52%"
"21.09.2021","36,42","35,82","37,13","35,62","7,31M","2,35%"
"20.09.2021","35,59","36,05","36,48","35,10","7,25M","-2,30%"
"17.09.2021","36,42","36,95","37,27","36,38","11,15M","-1,88%"
"16.09.2021","37,12","36,62","37,35","36,34","6,33M","1,25%"
