"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"30.12.2021","7,22","6,80","7,41","6,77","180,33M","6,80%"
"29.12.2021","6,76","6,84","6,90","6,70","79,25M","-1,02%"
"28.12.2021","6,83","6,79","6,96","6,64","165,57M","0,74%"
"27.12.2021","6,78","6,23","6,78","6,23","124,28M","9,35%"
"23.12.2021","6,20","6,22","6,34","5,99","97,11M","0,65%"
"22.12.2021","6,16","6,42","6,61","6,14","85,33M","-4,05%"
"21.12.2021","6,42","6,42","6,61","6,22","112,07M","1,42%"
"20.12.2021","6,33","6,42","6,72","6,24","92,82M","-4,95%"
"17.12.2021","6,66","6,19","6,73","6,06","146,28M","4,06%"
"16.12.2021","6,40","6,28","6,51","6,13","149,88M","3,73%"
"15.12.2021","6,17","5,71","6,24","5,62","153,00M","7,49%"
"14.12.2021","5,74","6,15","6,20","5,73","142,70M","-5,12%"
"13.12.2021","6,05","6,38","6,72","6,05","255,55M","-5,02%"
"10.12.2021","6,37","6,43","6,51","6,01","209,18M","1,43%"
"09.12.2021","6,28","6,76","6,76","6,21","257,83M","-7,78%"
"08.12.2021","6,81","7,56","7,57","6,63","255,58M","-10,63%"
"07.12.2021","7,62","7,49","7,72","7,37","85,26M","4,38%"
"06.12.2021","7,30","7,15","7,44","7,10","84,61M","3,55%"
"03.12.2021","7,05","6,78","7,28","6,72","141,73M","4,29%"
"02.12.2021","6,76","6,95","7,19","6,45","173,86M","-1,74%"
"01.12.2021","6,88","8,05","8,10","6,88","140,24M","-11,79%"
"30.11.2021","7,80","7,99","8,11","7,60","93,77M","-2,99%"
"29.11.2021","8,04","8,19","8,47","7,98","85,24M","-0,25%"
"26.11.2021","8,06","8,48","8,57","8,03","63,46M","-7,36%"
"25.11.2021","8,70","8,84","9,04","8,61","58,78M","-1,36%"
"24.11.2021","8,82","8,50","9,01","8,45","79,04M","2,56%"
"23.11.2021","8,60","9,00","9,05","8,47","84,97M","-2,71%"
"22.11.2021","8,84","9,40","9,68","8,81","68,03M","-4,64%"
"19.11.2021","9,27","9,05","9,87","8,94","93,51M","3,11%"
"18.11.2021","8,99","9,36","9,60","8,99","76,65M","-3,02%"
"17.11.2021","9,27","9,91","10,14","9,19","131,99M","-4,83%"
"16.11.2021","9,74","11,19","11,40","9,74","141,03M","-12,65%"
"12.11.2021","11,15","12,65","12,78","11,15","142,72M","-18,32%"
"11.11.2021","13,65","13,30","14,26","13,12","65,76M","4,84%"
"10.11.2021","13,02","13,20","13,54","12,82","60,78M","-0,84%"
"09.11.2021","13,13","12,05","13,80","12,05","67,27M","10,06%"
"08.11.2021","11,93","12,31","12,66","11,87","47,18M","-4,10%"
"05.11.2021","12,44","11,22","12,62","11,16","65,63M","12,27%"
"04.11.2021","11,08","11,50","11,82","10,93","33,90M","-4,07%"
"03.11.2021","11,55","11,19","11,67","10,99","47,39M","2,21%"
"01.11.2021","11,30","10,87","11,43","10,86","31,10M","4,53%"
"29.10.2021","10,81","11,24","11,36","10,73","41,21M","-3,05%"
"28.10.2021","11,15","11,49","11,76","11,07","41,94M","-3,88%"
"27.10.2021","11,60","12,07","12,43","11,54","41,36M","-3,17%"
