"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"30.12.2021","22,07","23,07","23,10","22,07","11,29M","-3,71%"
"29.12.2021","22,92","22,71","23,19","22,55","3,75M","0,61%"
"28.12.2021","22,78","22,40","22,80","22,27","3,02M","2,29%"
"27.12.2021","22,27","22,79","22,96","22,14","3,80M","-2,02%"
"23.12.2021","22,73","21,81","22,83","21,81","4,57M","4,17%"
"22.12.2021","21,82","22,35","22,45","21,54","3,68M","-6,71%"
"21.12.2021","23,39","23,50","23,89","23,17","4,23M","0,26%"
"20.12.2021","23,33","23,48","23,75","23,05","5,11M","-1,89%"
"17.12.2021","23,78","23,61","24,24","23,27","10,37M","3,71%"
"16.12.2021","22,93","23,50","23,54","22,79","5,22M","-1,42%"
"15.12.2021","23,26","23,85","24,31","23,06","8,51M","-1,32%"
"14.12.2021","23,57","22,30","23,57","22,20","8,69M","6,80%"
"13.12.2021","22,07","22,02","22,35","21,76","2,91M","0,23%"
"10.12.2021","22,02","22,28","22,43","21,92","3,40M","0,09%"
"09.12.2021","22,00","22,41","22,51","21,82","5,11M","-2,61%"
"08.12.2021","22,59","21,72","22,71","21,65","10,73M","6,31%"
"07.12.2021","21,25","21,28","21,75","20,79","7,60M","1,92%"
"06.12.2021","20,85","20,75","21,49","20,59","7,41M","-0,10%"
"03.12.2021","20,87","21,84","21,84","20,19","14,56M","-5,74%"
"02.12.2021","22,14","22,13","22,33","21,94","4,68M","1,23%"
"01.12.2021","21,87","23,83","23,96","21,82","10,79M","-7,21%"
"30.11.2021","23,57","23,88","23,88","22,82","6,91M","-1,30%"
"29.11.2021","23,88","24,06","24,24","23,72","3,29M","0,76%"
"26.11.2021","23,70","23,80","24,33","23,56","4,04M","-3,07%"
"25.11.2021","24,45","25,30","25,30","24,41","4,26M","-2,86%"
"24.11.2021","25,17","25,82","25,82","25,17","3,97M","-2,14%"
"23.11.2021","25,72","25,45","25,76","25,02","4,75M","2,67%"
"22.11.2021","25,05","25,83","26,11","25,05","5,01M","-3,24%"
"19.11.2021","25,89","25,92","26,55","25,65","5,23M","-0,38%"
"18.11.2021","25,99","25,59","25,99","25,25","4,19M","2,20%"
"17.11.2021","25,43","26,01","26,09","25,04","5,19M","-1,09%"
