"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"30.12.2021","18,72","18,51","18,82","18,29","6,26M","1,68%"
"29.12.2021","18,41","18,82","18,98","18,23","6,64M","-4,01%"
"28.12.2021","19,18","19,02","19,48","18,76","4,11M","1,54%"
"27.12.2021","18,89","18,95","19,49","18,76","5,32M","0,43%"
"23.12.2021","18,81","19,04","19,10","18,79","3,18M","-0,42%"
"22.12.2021","18,89","19,05","19,06","18,51","4,92M","0,05%"
"21.12.2021","18,88","19,15","19,16","18,42","4,94M","-0,74%"
"20.12.2021","19,02","19,64","19,88","18,92","7,51M","-4,66%"
"17.12.2021","19,95","19,38","20,10","19,32","7,56M","1,42%"
"16.12.2021","19,67","20,12","20,20","19,55","5,23M","-1,11%"
"15.12.2021","19,89","19,73","20,14","19,46","6,85M","0,76%"
"14.12.2021","19,74","20,68","20,78","19,53","9,43M","-3,75%"
"13.12.2021","20,51","20,74","20,76","20,38","7,19M","-0,63%"
"10.12.2021","20,64","20,51","20,92","20,47","4,79M","1,18%"
"09.12.2021","20,40","20,61","20,98","20,21","5,24M","-1,73%"
"08.12.2021","20,76","20,05","20,92","19,80","7,41M","3,44%"
"07.12.2021","20,07","20,94","21,04","19,98","7,46M","-2,81%"
"06.12.2021","20,65","20,85","20,95","20,39","5,45M","-0,24%"
"03.12.2021","20,70","20,07","21,37","20,04","10,79M","3,29%"
"02.12.2021","20,04","19,40","20,17","19,15","8,83M","4,27%"
"01.12.2021","19,22","19,97","20,41","19,11","9,17M","-1,94%"
"30.11.2021","19,60","19,58","19,97","19,07","8,89M","-0,10%"
"29.11.2021","19,62","19,90","20,37","19,62","6,43M","-0,15%"
"26.11.2021","19,65","19,93","20,10","19,36","7,71M","-5,07%"
"25.11.2021","20,70","20,49","21,08","20,37","4,19M","1,62%"
"24.11.2021","20,37","20,25","20,86","20,16","7,74M","-0,20%"
"23.11.2021","20,41","20,54","20,58","19,92","8,98M","-0,54%"
"22.11.2021","20,52","21,30","21,34","20,32","5,33M","-3,07%"
"19.11.2021","21,17","20,81","21,50","20,69","11,36M","1,63%"
"18.11.2021","20,83","20,15","20,96","20,15","7,64M","2,66%"
"17.11.2021","20,29","20,91","21,25","19,98","10,49M","-2,55%"
"16.11.2021","20,82","21,23","21,44","20,47","8,93M","-1,93%"
"12.11.2021","21,23","21,08","21,62","20,77","9,40M","0,00%"
"11.11.2021","21,23","21,05","21,95","21,03","11,68M","1,48%"
"10.11.2021","20,92","20,32","21,28","20,21","11,68M","3,36%"
"09.11.2021","20,24","19,92","20,46","19,91","4,80M","1,81%"
"08.11.2021","19,88","20,00","20,06","19,70","5,10M","-1,63%"
"05.11.2021","20,21","19,88","20,36","19,77","7,76M","3,06%"
"04.11.2021","19,61","19,55","20,06","19,20","9,10M","-0,15%"
"03.11.2021","19,64","18,79","20,18","18,78","10,35M","3,31%"
"01.11.2021","19,01","18,79","19,43","18,59","7,74M","2,65%"
"29.10.2021","18,52","18,49","19,06","18,32","11,89M","0,60%"
"28.10.2021","18,41","17,91","18,81","17,91","15,61M","1,77%"
"27.10.2021","18,09","17,32","18,31","17,32","8,89M","4,57%"
"26.10.2021","17,30","17,82","18,07","17,24","5,64M","-4,21%"
"25.10.2021","18,06","17,72","18,33","17,55","8,51M","2,79%"
"22.10.2021","17,57","18,12","18,18","16,71","15,00M","-3,78%"
"21.10.2021","18,26","18,96","19,21","17,98","18,22M","-5,68%"
"20.10.2021","19,36","19,69","19,83","19,29","9,33M","-0,72%"
"19.10.2021","19,50","19,99","20,05","19,25","7,02M","-4,69%"
"18.10.2021","20,46","20,13","20,53","19,79","7,28M","1,09%"
"15.10.2021","20,24","20,27","20,35","19,94","6,86M","0,25%"
"14.10.2021","20,19","20,70","20,73","20,01","5,74M","-1,56%"
"13.10.2021","20,51","19,91","20,65","19,90","6,81M","3,01%"
"11.10.2021","19,91","20,23","20,34","19,87","4,41M","-1,68%"
"08.10.2021","20,25","19,25","20,67","19,17","12,12M","6,30%"
"07.10.2021","19,05","19,03","19,47","18,96","9,30M","0,32%"
"06.10.2021","18,99","18,69","19,01","18,20","9,07M","0,90%"
"05.10.2021","18,82","19,25","19,25","18,76","6,10M","-1,83%"
"04.10.2021","19,17","19,74","19,74","18,83","4,18M","-2,29%"
"01.10.2021","19,62","19,22","19,71","18,83","5,82M","3,10%"
"30.09.2021","19,03","19,00","19,24","18,68","7,00M","1,12%"
"29.09.2021","18,82","19,16","19,35","18,80","5,74M","-1,00%"
"28.09.2021","19,01","19,59","19,66","18,95","8,59M","-3,99%"
"27.09.2021","19,80","19,90","19,95","19,39","8,25M","-0,80%"
"24.09.2021","19,96","20,12","20,23","19,63","5,94M","-1,92%"
"23.09.2021","20,35","20,71","20,96","20,29","6,90M","-1,45%"
"22.09.2021","20,65","20,98","21,01","20,42","8,34M","-0,24%"
"21.09.2021","20,70","19,95","20,90","19,87","7,04M","3,50%"
"20.09.2021","20,00","19,70","20,00","19,60","5,60M","-0,70%"
"17.09.2021","20,14","20,05","20,21","19,81","4,74M","-0,20%"
