"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"30.12.2021","16,90","16,14","16,93","16,00","3,90M","5,49%"
"29.12.2021","16,02","16,92","16,92","15,86","3,23M","-4,76%"
"28.12.2021","16,82","16,59","16,83","16,36","1,43M","1,02%"
"27.12.2021","16,65","16,03","16,65","15,87","1,93M","4,91%"
"23.12.2021","15,87","16,29","16,29","15,60","2,34M","-2,16%"
"22.12.2021","16,22","16,51","16,67","15,80","3,76M","-2,47%"
"21.12.2021","16,63","16,51","16,71","16,31","1,32M","0,18%"
"20.12.2021","16,60","16,70","16,86","16,45","1,79M","-3,09%"
"17.12.2021","17,13","16,87","17,38","16,72","2,64M","-0,06%"
"16.12.2021","17,14","16,67","17,85","16,61","7,17M","5,54%"
"15.12.2021","16,24","16,30","16,42","15,88","2,05M","-0,31%"
"14.12.2021","16,29","17,29","17,29","16,21","1,88M","-3,50%"
"13.12.2021","16,88","16,65","17,15","16,40","2,05M","1,26%"
"10.12.2021","16,67","16,81","16,84","16,46","1,40M","1,52%"
"09.12.2021","16,42","16,75","16,82","16,18","1,51M","-2,26%"
"08.12.2021","16,80","16,64","17,06","16,48","2,46M","1,27%"
"07.12.2021","16,59","16,65","16,81","16,27","2,34M","0,18%"
"06.12.2021","16,56","16,29","16,66","16,29","2,36M","2,10%"
"03.12.2021","16,22","15,91","16,61","15,89","3,23M","2,27%"
"02.12.2021","15,86","15,47","16,18","15,37","3,21M","4,96%"
"01.12.2021","15,11","15,96","16,01","15,09","2,73M","-3,94%"
"30.11.2021","15,73","16,08","16,19","15,36","3,50M","-2,90%"
"29.11.2021","16,20","16,66","16,68","15,96","2,65M","-1,76%"
"26.11.2021","16,49","16,75","16,89","16,19","1,73M","-4,02%"
"25.11.2021","17,18","17,00","17,46","16,76","1,62M","1,72%"
"24.11.2021","16,89","16,69","17,24","16,58","1,78M","-0,12%"
"23.11.2021","16,91","17,14","17,14","16,43","2,34M","-0,18%"
"22.11.2021","16,94","17,70","17,76","16,94","1,26M","-4,19%"
"19.11.2021","17,68","17,59","18,08","17,53","1,36M","0,91%"
"18.11.2021","17,52","17,10","17,77","17,00","1,50M","3,06%"
"17.11.2021","17,00","18,22","18,43","16,85","3,31M","-6,59%"
"16.11.2021","18,20","19,14","19,17","18,10","1,83M","-4,21%"
"12.11.2021","19,00","19,44","19,73","18,58","2,12M","-2,96%"
"11.11.2021","19,58","19,48","19,85","19,29","1,24M","1,66%"
"10.11.2021","19,26","18,57","19,38","18,50","1,95M","3,33%"
"09.11.2021","18,64","18,16","18,80","18,10","5,13M","2,81%"
"08.11.2021","18,13","18,08","18,42","17,90","857,00K","-0,93%"
"05.11.2021","18,30","17,99","18,45","17,97","1,68M","2,18%"
"04.11.2021","17,91","17,75","18,22","17,64","1,61M","-0,50%"
"03.11.2021","18,00","16,72","18,12","16,64","3,08M","6,76%"
"01.11.2021","16,86","17,38","17,38","16,77","2,77M","-1,46%"
"29.10.2021","17,11","17,60","17,79","17,01","1,87M","-2,34%"
"28.10.2021","17,52","18,21","18,36","17,49","1,86M","-4,26%"
"27.10.2021","18,30","18,05","18,55","17,92","2,03M","1,78%"
"26.10.2021","17,98","18,04","18,43","17,87","1,44M","-1,75%"
"25.10.2021","18,30","18,48","18,62","17,83","1,84M","0,00%"
"22.10.2021","18,30","17,51","18,54","17,27","3,33M","2,81%"
"21.10.2021","17,80","18,20","18,29","17,55","2,34M","-3,84%"
"20.10.2021","18,51","18,49","18,80","18,40","1,33M","0,98%"
