"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"30.12.2021","24,30","23,78","24,32","23,78","5,80M","2,19%"
"29.12.2021","23,78","23,62","23,98","23,46","2,76M","0,30%"
"28.12.2021","23,71","23,97","24,09","23,56","2,10M","-1,50%"
"27.12.2021","24,07","24,28","24,54","23,93","2,80M","-0,12%"
"23.12.2021","24,10","24,20","24,30","23,94","4,68M","0,08%"
"22.12.2021","24,08","24,15","24,24","23,61","2,72M","-0,45%"
"21.12.2021","24,19","24,09","24,30","23,80","3,12M","0,17%"
"20.12.2021","24,15","23,90","24,30","23,90","3,32M","-0,41%"
"17.12.2021","24,25","23,71","24,52","23,67","7,93M","0,79%"
"16.12.2021","24,06","23,99","24,19","23,86","4,05M","0,29%"
"15.12.2021","23,99","24,19","24,47","23,81","7,89M","-0,62%"
"14.12.2021","24,14","24,16","24,50","23,98","5,49M","0,75%"
"13.12.2021","23,96","23,96","24,28","23,78","4,74M","-0,21%"
"10.12.2021","24,01","23,80","24,15","23,68","3,36M","2,21%"
"09.12.2021","23,49","23,34","23,68","23,19","3,24M","-1,09%"
"08.12.2021","23,75","23,30","23,75","23,07","3,99M","2,02%"
"07.12.2021","23,28","23,02","23,31","22,83","5,94M","2,15%"
"06.12.2021","22,79","23,00","23,25","22,71","6,08M","-0,13%"
"03.12.2021","22,82","22,16","23,32","22,16","5,33M","2,65%"
"02.12.2021","22,23","22,24","22,49","21,90","8,36M","1,93%"
"01.12.2021","21,81","22,61","22,61","21,73","7,16M","-2,55%"
"30.11.2021","22,38","22,57","22,74","21,87","15,66M","-1,02%"
"29.11.2021","22,61","22,78","23,01","22,35","6,57M","-0,22%"
"26.11.2021","22,66","23,26","23,55","22,66","5,71M","-3,57%"
"25.11.2021","23,50","23,45","24,17","23,41","3,41M","0,21%"
"24.11.2021","23,45","23,33","23,84","23,20","3,70M","-0,59%"
"23.11.2021","23,59","23,55","23,67","23,28","4,48M","1,07%"
"22.11.2021","23,34","23,44","23,85","23,15","3,94M","-0,04%"
"19.11.2021","23,35","23,15","23,62","23,09","4,43M","0,95%"
"18.11.2021","23,13","23,42","23,67","23,02","3,46M","-0,64%"
"17.11.2021","23,28","23,18","23,39","22,88","7,98M","1,35%"
"16.11.2021","22,97","23,18","23,18","22,51","5,74M","0,39%"
"12.11.2021","22,88","22,76","23,23","22,74","5,10M","-0,04%"
"11.11.2021","22,89","23,80","23,80","22,52","11,60M","-2,39%"
"10.11.2021","23,45","24,07","24,43","23,12","46,83M","-3,81%"
"09.11.2021","24,38","23,97","24,95","23,96","6,70M","0,74%"
"08.11.2021","24,20","23,92","24,54","23,91","4,32M","-0,04%"
"05.11.2021","24,21","24,50","24,61","24,17","4,92M","-0,29%"
"04.11.2021","24,28","23,76","24,52","23,69","4,88M","1,80%"
"03.11.2021","23,85","23,46","24,45","23,44","8,44M","1,49%"
"01.11.2021","23,50","23,77","24,02","23,28","5,34M","1,08%"
"29.10.2021","23,25","22,92","23,75","22,78","9,25M","2,38%"
"28.10.2021","22,71","22,84","23,28","22,68","8,80M","-1,17%"
"27.10.2021","22,98","22,16","23,16","22,05","9,93M","4,17%"
"26.10.2021","22,06","22,30","22,42","21,76","6,91M","-1,52%"
"25.10.2021","22,40","21,46","22,59","21,46","10,67M","3,85%"
"22.10.2021","21,57","20,57","21,98","20,56","9,57M","0,94%"
"21.10.2021","21,37","21,15","21,70","20,79","5,99M","-1,38%"
"20.10.2021","21,67","22,30","22,46","21,63","5,19M","-2,65%"
"19.10.2021","22,26","22,39","22,56","21,95","5,71M","-1,98%"
"18.10.2021","22,71","22,80","23,05","22,47","2,79M","-1,35%"
"15.10.2021","23,02","22,96","23,27","22,72","3,72M","0,83%"
"14.10.2021","22,83","22,52","23,19","22,21","5,65M","1,15%"
"13.10.2021","22,57","22,14","22,89","21,76","11,30M","2,03%"
"11.10.2021","22,12","23,21","23,21","22,12","5,63M","-4,74%"
"08.10.2021","23,22","23,28","23,53","23,03","5,86M","0,65%"
"07.10.2021","23,07","22,70","23,24","22,47","12,29M","2,26%"
"06.10.2021","22,56","22,04","22,69","22,02","8,15M","1,21%"
"05.10.2021","22,29","22,31","22,50","22,03","4,10M","0,32%"
"04.10.2021","22,22","23,10","23,30","22,11","7,27M","-5,04%"
"01.10.2021","23,40","23,37","23,52","23,01","6,77M","0,13%"
"30.09.2021","23,37","24,05","24,31","23,22","9,60M","-2,83%"
"29.09.2021","24,05","24,42","24,50","23,92","5,87M","-0,74%"
"28.09.2021","24,23","24,67","24,83","24,15","5,57M","-2,49%"
"27.09.2021","24,85","25,38","25,38","24,47","6,03M","-2,09%"
"24.09.2021","25,38","25,15","25,47","24,89","2,76M","-0,28%"
"23.09.2021","25,45","25,40","25,50","24,83","7,05M","0,59%"
"22.09.2021","25,30","25,90","25,96","25,30","4,47M","-1,36%"
"21.09.2021","25,65","25,76","26,07","25,43","3,32M","-1,16%"
"20.09.2021","25,95","26,02","26,73","25,73","8,08M","-1,37%"
"17.09.2021","26,31","26,05","26,59","25,90","7,96M","0,80%"
"16.09.2021","26,10","25,61","26,13","25,49","5,16M","1,08%"
"15.09.2021","25,82","25,97","25,99","25,42","4,00M","-0,69%"
"14.09.2021","26,00","26,01","26,51","25,97","4,42M","-0,27%"
"13.09.2021","26,07","26,17","26,36","25,87","4,54M","2,04%"
"10.09.2021","25,55","25,94","26,56","25,55","4,04M","-1,12%"
"09.09.2021","25,84","25,70","26,90","25,16","5,59M","1,81%"
"08.09.2021","25,38","26,09","26,12","25,07","6,68M","-2,98%"
"06.09.2021","26,16","25,82","26,24","25,82","3,01M","0,27%"
"03.09.2021","26,09","25,60","26,22","25,39","11,13M","2,56%"
"02.09.2021","25,44","25,98","26,21","25,30","6,52M","-3,12%"
"01.09.2021","26,26","25,61","26,47","25,60","5,48M","2,74%"
"31.08.2021","25,56","25,94","26,00","25,55","6,01M","-1,24%"
"30.08.2021","25,88","25,83","25,94","25,50","2,96M","0,12%"
"27.08.2021","25,85","25,75","26,07","25,58","2,78M","0,51%"
"26.08.2021","25,72","25,60","26,07","25,55","6,42M","-1,04%"
"25.08.2021","25,99","25,79","26,05","25,55","3,93M","0,74%"
"24.08.2021","25,80","26,76","26,76","25,78","6,35M","-2,64%"
"23.08.2021","26,50","26,57","26,73","26,18","5,03M","-0,64%"
"20.08.2021","26,67","25,86","26,67","25,82","6,23M","1,72%"
"19.08.2021","26,22","25,34","26,50","25,12","5,39M","3,64%"
"18.08.2021","25,30","25,41","25,89","25,10","5,35M","-0,39%"
"17.08.2021","25,40","25,63","25,96","25,09","5,92M","-1,40%"
"16.08.2021","25,76","25,80","25,89","25,40","4,31M","-0,46%"
"13.08.2021","25,88","25,84","25,99","25,46","3,66M","0,27%"
"12.08.2021","25,81","25,05","25,98","24,80","8,57M","2,75%"
"11.08.2021","25,12","26,15","26,19","24,97","6,78M","-3,98%"
"10.08.2021","26,16","26,71","26,77","25,99","5,66M","-2,02%"
