"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"30.12.2021","29,98","30,75","30,75","29,84","2,39M","-1,35%"
"29.12.2021","30,39","30,63","30,86","30,22","1,26M","-1,30%"
"28.12.2021","30,79","30,89","30,90","30,47","772,00K","0,16%"
"27.12.2021","30,74","30,60","30,84","30,43","980,90K","0,92%"
"23.12.2021","30,46","30,29","30,68","30,15","992,10K","0,40%"
"22.12.2021","30,34","30,42","30,51","29,92","1,76M","-0,26%"
"21.12.2021","30,42","30,75","30,86","30,34","1,10M","-0,88%"
"20.12.2021","30,69","31,05","31,20","30,36","1,79M","-1,16%"
"17.12.2021","31,05","32,05","32,28","31,05","5,83M","-3,69%"
"16.12.2021","32,24","32,07","32,51","31,84","3,19M","1,22%"
"15.12.2021","31,85","31,70","32,27","31,32","2,76M","0,92%"
"14.12.2021","31,56","31,70","32,79","31,53","2,99M","0,06%"
"13.12.2021","31,54","31,99","32,70","31,54","3,02M","-1,31%"
"10.12.2021","31,96","32,28","32,47","31,42","4,22M","-0,16%"
"09.12.2021","32,01","33,19","33,19","31,81","2,41M","-3,41%"
"08.12.2021","33,14","33,29","33,42","32,73","1,73M","-0,21%"
"07.12.2021","33,21","34,01","34,14","32,93","2,41M","-1,34%"
"06.12.2021","33,66","33,60","34,28","33,13","2,59M","0,00%"
"03.12.2021","33,66","33,75","34,46","33,38","2,75M","-0,44%"
"02.12.2021","33,81","33,22","33,83","32,88","1,89M","3,90%"
"01.12.2021","32,54","33,38","33,51","32,50","2,23M","-1,27%"
"30.11.2021","32,96","33,68","34,02","32,63","6,00M","-2,37%"
"29.11.2021","33,76","34,60","34,65","33,33","3,19M","-1,20%"
"26.11.2021","34,17","34,87","35,08","33,66","2,46M","-3,45%"
"25.11.2021","35,39","34,86","35,84","34,79","2,47M","1,72%"
"24.11.2021","34,79","34,00","34,95","33,89","1,54M","1,81%"
"23.11.2021","34,17","33,90","34,55","33,66","2,64M","1,12%"
"22.11.2021","33,79","34,17","34,83","33,79","1,77M","-0,88%"
"19.11.2021","34,09","34,32","34,57","33,93","1,25M","-0,76%"
"18.11.2021","34,35","34,75","34,75","33,96","1,51M","-0,38%"
"17.11.2021","34,48","34,74","34,94","33,98","1,72M","0,52%"
"16.11.2021","34,30","35,00","35,14","33,90","1,85M","-2,17%"
"12.11.2021","35,06","34,57","35,20","34,25","1,36M","0,92%"
"11.11.2021","34,74","35,23","35,66","34,55","2,36M","-1,00%"
"10.11.2021","35,09","33,76","35,66","33,63","3,55M","3,97%"
"09.11.2021","33,75","34,25","34,72","33,50","2,49M","-1,17%"
"08.11.2021","34,15","33,92","34,79","33,92","1,36M","-0,67%"
"05.11.2021","34,38","34,68","34,94","34,02","2,26M","-1,21%"
"04.11.2021","34,80","36,41","36,59","34,72","2,23M","-4,13%"
"03.11.2021","36,30","36,09","36,97","35,73","2,79M","0,25%"
"01.11.2021","36,21","35,10","36,47","34,83","3,85M","5,26%"
"29.10.2021","34,40","35,15","35,40","34,40","1,76M","-1,88%"
"28.10.2021","35,06","34,87","35,48","34,47","2,44M","0,00%"
"27.10.2021","35,06","35,50","36,28","34,98","6,29M","-0,03%"
"26.10.2021","35,07","35,25","35,47","34,70","2,19M","-1,90%"
"25.10.2021","35,75","35,29","35,96","35,19","2,56M","1,30%"
"22.10.2021","35,29","35,15","35,29","33,24","5,31M","-0,45%"
"21.10.2021","35,45","35,18","36,42","34,92","4,33M","-1,72%"
"20.10.2021","36,07","35,11","36,25","35,05","2,72M","3,26%"
"19.10.2021","34,93","35,76","35,86","34,62","3,74M","-4,30%"
"18.10.2021","36,50","36,01","37,39","36,01","4,39M","-2,80%"
"15.10.2021","37,55","36,15","38,06","35,97","5,09M","3,99%"
"14.10.2021","36,11","36,12","36,29","35,69","1,95M","0,56%"
"13.10.2021","35,91","36,29","36,30","35,21","3,25M","0,03%"
"11.10.2021","35,90","37,04","37,04","35,81","2,46M","-3,10%"
"08.10.2021","37,05","36,62","38,15","36,59","5,02M","2,07%"
"07.10.2021","36,30","36,85","36,90","36,22","2,97M","-1,47%"
"06.10.2021","36,84","36,00","36,84","35,90","2,54M","0,35%"
"05.10.2021","36,71","35,90","37,03","35,71","3,82M","2,86%"
"04.10.2021","35,69","36,50","36,50","35,52","3,58M","-2,99%"
"01.10.2021","36,79","35,66","36,79","35,55","2,97M","4,01%"
"30.09.2021","35,37","36,50","36,62","35,24","3,50M","-2,91%"
"29.09.2021","36,43","36,24","36,90","36,15","2,01M","1,11%"
"28.09.2021","36,03","36,16","37,17","36,03","3,00M","-1,26%"
"27.09.2021","36,49","35,10","36,84","35,10","2,88M","3,78%"
"24.09.2021","35,16","35,75","36,07","34,95","2,73M","-2,79%"
"23.09.2021","36,17","35,37","36,61","35,30","2,77M","3,02%"
"22.09.2021","35,11","34,81","35,53","34,74","2,22M","1,56%"
"21.09.2021","34,57","34,76","35,14","34,57","1,74M","-0,26%"
"20.09.2021","34,66","35,53","35,53","34,22","1,80M","-3,27%"
"17.09.2021","35,83","36,49","36,59","35,65","2,77M","-1,86%"
"16.09.2021","36,51","35,92","36,64","35,76","1,78M","0,97%"
"15.09.2021","36,16","37,00","37,11","36,16","2,40M","-2,06%"
"14.09.2021","36,92","37,17","37,45","36,85","1,87M","-0,62%"
"13.09.2021","37,15","37,38","37,48","36,90","2,44M","0,87%"
"10.09.2021","36,83","37,97","38,26","36,77","2,08M","-1,60%"
"09.09.2021","37,43","37,24","37,64","36,52","3,58M","0,54%"
"08.09.2021","37,23","39,09","39,09","37,23","2,86M","-4,95%"
"06.09.2021","39,17","38,66","39,39","38,65","1,18M","0,59%"
"03.09.2021","38,94","39,86","39,86","38,30","5,45M","-1,37%"
"02.09.2021","39,48","41,29","41,47","39,40","3,64M","-5,23%"
"01.09.2021","41,66","42,26","42,40","41,53","1,88M","-0,67%"
"31.08.2021","41,94","41,56","42,59","41,25","4,28M","1,57%"
"30.08.2021","41,29","41,78","41,86","41,00","1,47M","-0,84%"
"27.08.2021","41,64","41,07","41,76","40,82","1,48M","1,81%"
"26.08.2021","40,90","41,35","41,87","40,90","2,21M","-1,59%"
"25.08.2021","41,56","41,31","41,59","40,88","1,38M","0,39%"
"24.08.2021","41,40","40,91","41,67","40,81","1,94M","1,60%"
"23.08.2021","40,75","40,06","40,80","40,04","2,09M","1,34%"
"20.08.2021","40,21","39,89","40,45","39,70","1,60M","0,00%"
"19.08.2021","40,21","39,75","40,51","39,62","1,79M","0,32%"
"18.08.2021","40,08","40,50","40,94","40,03","2,14M","-0,79%"
"17.08.2021","40,40","40,59","41,02","39,94","2,79M","-0,62%"
"16.08.2021","40,65","40,78","41,33","40,40","2,55M","-0,29%"
"13.08.2021","40,77","40,02","40,77","39,59","2,26M","2,33%"
"12.08.2021","39,84","40,00","40,35","39,62","1,81M","-0,55%"
"11.08.2021","40,06","39,94","40,69","39,53","2,69M","0,65%"
"10.08.2021","39,80","40,71","40,93","39,80","2,32M","-2,24%"
"09.08.2021","40,71","40,78","41,20","40,60","1,33M","-0,42%"
"06.08.2021","40,88","39,52","40,95","39,45","3,41M","3,97%"
"05.08.2021","39,32","39,91","40,13","39,23","3,71M","-2,36%"
"04.08.2021","40,27","40,45","40,83","40,00","2,47M","-1,42%"
"03.08.2021","40,85","40,72","41,11","39,99","3,16M","0,62%"
"02.08.2021","40,60","41,11","41,83","40,57","2,79M","0,15%"
"30.07.2021","40,54","40,75","41,45","40,44","3,02M","-1,19%"
"29.07.2021","41,03","41,63","41,80","40,81","6,90M","-1,44%"
"28.07.2021","41,63","41,36","42,01","40,25","6,66M","1,04%"
"27.07.2021","41,20","40,55","41,27","40,39","1,71M","0,61%"
"26.07.2021","40,95","39,95","41,29","39,87","1,56M","2,25%"
"23.07.2021","40,05","40,09","40,53","39,65","1,27M","-0,12%"
"22.07.2021","40,10","40,96","40,96","40,05","1,67M","-1,23%"
"21.07.2021","40,60","40,19","40,90","40,05","1,44M","1,05%"
"20.07.2021","40,18","39,73","40,27","39,43","2,33M","1,29%"
"19.07.2021","39,67","39,44","39,90","39,36","1,71M","-0,58%"
"16.07.2021","39,90","40,85","41,02","39,85","1,55M","-1,75%"
"15.07.2021","40,61","41,27","41,55","40,36","2,02M","-1,60%"
"14.07.2021","41,27","41,80","42,53","41,17","2,56M","-0,15%"
"13.07.2021","41,33","41,12","41,60","40,70","2,76M","0,07%"
"12.07.2021","41,30","39,95","41,73","39,90","3,85M","3,77%"
"08.07.2021","39,80","39,50","39,96","39,22","2,17M","-0,80%"
"07.07.2021","40,12","39,92","40,36","39,73","1,54M","0,73%"
"06.07.2021","39,83","40,31","40,49","39,82","2,52M","-1,70%"
"05.07.2021","40,52","40,93","40,93","40,37","1,22M","-0,86%"
"02.07.2021","40,87","41,00","41,03","40,18","2,59M","0,67%"
"01.07.2021","40,60","40,61","40,79","39,98","2,48M","0,25%"
"30.06.2021","40,50","41,15","41,44","40,50","2,13M","-2,29%"
"29.06.2021","41,45","41,74","41,87","41,08","1,65M","-0,60%"
"28.06.2021","41,70","42,06","42,27","41,12","2,47M","-1,11%"
"25.06.2021","42,17","43,12","43,38","41,69","2,30M","-2,36%"
"24.06.2021","43,19","43,51","43,76","42,78","2,30M","0,00%"
"23.06.2021","43,19","43,50","44,35","43,15","1,74M","-0,94%"
"22.06.2021","43,60","43,33","44,00","43,10","2,91M","-0,14%"
"21.06.2021","43,66","43,75","44,26","43,48","3,28M","0,58%"
"18.06.2021","43,41","44,85","44,94","43,41","3,76M","-3,32%"
"17.06.2021","44,90","45,85","46,80","44,78","2,52M","-1,62%"
"16.06.2021","45,64","45,24","46,35","44,70","4,66M","1,63%"
"15.06.2021","44,91","45,03","45,24","44,33","2,17M","-0,27%"
"14.06.2021","45,03","45,35","45,60","44,76","1,90M","-0,02%"
"11.06.2021","45,04","45,50","45,50","44,46","2,56M","-0,95%"
"10.06.2021","45,47","45,35","45,97","45,24","1,62M","0,78%"
"09.06.2021","45,12","45,53","46,05","44,96","3,01M","-1,05%"
"08.06.2021","45,60","45,62","45,81","44,80","3,06M","-0,48%"
"07.06.2021","45,82","44,86","46,23","44,66","4,65M","1,89%"
"04.06.2021","44,97","43,33","45,10","43,30","3,42M","3,02%"
"02.06.2021","43,65","43,11","43,76","42,91","2,94M","1,54%"
"01.06.2021","42,99","41,43","43,16","41,29","4,07M","4,29%"
"31.05.2021","41,22","40,91","41,41","40,70","1,91M","1,03%"
"28.05.2021","40,80","40,47","40,94","40,30","2,25M","1,37%"
"27.05.2021","40,25","40,82","40,95","40,04","4,09M","-1,40%"
"26.05.2021","40,82","40,60","41,20","40,40","1,12M","1,37%"
"25.05.2021","40,27","40,77","41,00","40,21","2,20M","-1,01%"
"24.05.2021","40,68","41,30","41,43","40,59","1,49M","-0,73%"
"21.05.2021","40,98","40,80","41,12","40,33","1,17M","0,42%"
"20.05.2021","40,81","41,15","41,43","40,72","1,59M","-0,51%"
"19.05.2021","41,02","39,40","41,13","39,30","2,85M","3,32%"
"18.05.2021","39,70","39,20","40,05","39,09","1,43M","0,53%"
"17.05.2021","39,49","39,49","39,60","38,66","2,14M","0,48%"
"14.05.2021","39,30","38,97","39,58","38,69","2,67M","1,79%"
"13.05.2021","38,61","37,72","38,82","37,72","2,51M","2,44%"
"12.05.2021","37,69","38,10","38,36","37,38","2,38M","-1,28%"
"11.05.2021","38,18","38,16","38,47","37,78","1,37M","-0,68%"
"10.05.2021","38,44","38,23","38,54","38,07","2,15M","-1,64%"
"07.05.2021","39,08","39,11","39,25","38,53","2,42M","0,46%"
"06.05.2021","38,90","39,23","39,31","38,27","2,56M","-0,49%"
"05.05.2021","39,09","38,36","39,24","38,09","1,80M","2,30%"
"04.05.2021","38,21","39,48","39,48","38,16","1,84M","-2,72%"
"03.05.2021","39,28","38,60","39,45","38,37","3,94M","1,95%"
"30.04.2021","38,53","38,96","39,15","38,48","3,64M","-1,28%"
"29.04.2021","39,03","40,61","40,87","38,82","4,22M","-3,87%"
"28.04.2021","40,60","38,51","41,38","38,29","10,16M","8,06%"
"27.04.2021","37,57","38,14","38,34","37,36","3,52M","-1,52%"
"26.04.2021","38,15","38,45","38,89","37,70","2,56M","-0,39%"
"23.04.2021","38,30","37,78","38,45","37,63","2,41M","2,11%"
"22.04.2021","37,51","38,42","38,53","37,37","2,67M","-2,06%"
"20.04.2021","38,30","38,35","38,63","38,10","1,46M","0,21%"
"19.04.2021","38,22","38,69","38,98","38,21","1,91M","-1,37%"
"16.04.2021","38,75","38,65","39,09","38,48","1,47M","0,39%"
"15.04.2021","38,60","39,00","39,70","38,41","2,12M","-1,20%"
"14.04.2021","39,07","38,41","39,68","38,02","3,94M","2,01%"
"13.04.2021","38,30","38,75","38,75","37,81","2,69M","-1,24%"
"12.04.2021","38,78","37,88","38,78","37,88","1,75M","2,38%"
"09.04.2021","37,88","38,24","38,67","37,82","1,97M","-0,84%"
"08.04.2021","38,20","38,70","38,79","37,86","2,39M","-0,78%"
"07.04.2021","38,50","38,52","38,92","38,01","2,70M","0,03%"
"06.04.2021","38,49","38,95","39,10","38,29","1,30M","-1,05%"
"05.04.2021","38,90","39,07","39,42","38,43","1,32M","0,91%"
"01.04.2021","38,55","40,14","40,14","38,36","3,88M","-2,65%"
"31.03.2021","39,60","40,03","40,18","39,11","2,24M","-1,66%"
"30.03.2021","40,27","39,80","40,57","39,45","1,76M","1,33%"
"29.03.2021","39,74","41,46","41,46","39,51","2,88M","-2,93%"
"26.03.2021","40,94","39,80","41,50","39,65","3,88M","3,46%"
"25.03.2021","39,57","38,60","39,75","38,41","2,05M","1,51%"
"24.03.2021","38,98","39,22","39,80","38,60","2,42M","-0,61%"
"23.03.2021","39,22","39,57","40,18","39,06","2,53M","-2,17%"
"22.03.2021","40,09","40,00","40,16","38,93","3,97M","-0,84%"
"19.03.2021","40,43","40,83","40,98","40,04","6,35M","-1,10%"
"18.03.2021","40,88","39,90","41,33","39,60","4,36M","2,77%"
"17.03.2021","39,78","38,44","39,82","38,16","2,89M","3,32%"
"16.03.2021","38,50","39,87","39,87","38,44","2,52M","-3,51%"
"15.03.2021","39,90","39,10","39,92","38,50","2,75M","2,05%"
"12.03.2021","39,10","39,40","39,80","39,07","1,82M","-1,36%"
"11.03.2021","39,64","40,01","40,56","39,12","2,16M","-0,25%"
"10.03.2021","39,74","39,18","39,98","38,72","2,61M","1,95%"
"09.03.2021","38,98","38,81","39,56","38,30","2,17M","-0,23%"
"08.03.2021","39,07","39,89","40,78","38,90","4,20M","-3,46%"
"05.03.2021","40,47","38,89","40,66","38,68","4,04M","4,44%"
"04.03.2021","38,75","38,00","39,62","38,00","5,61M","2,89%"
"03.03.2021","37,66","38,11","38,56","36,32","5,68M","-1,18%"
"02.03.2021","38,11","36,01","38,58","35,34","4,29M","3,14%"
"01.03.2021","36,95","37,57","38,04","36,70","3,79M","-1,18%"
"26.02.2021","37,39","38,35","38,72","37,31","3,58M","-2,25%"
"25.02.2021","38,25","39,44","39,79","38,13","2,20M","-3,02%"
"24.02.2021","39,44","40,38","40,72","39,21","2,63M","-2,18%"
