"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"30.12.2021","40,18","39,89","40,34","39,61","2,02M","0,83%"
"29.12.2021","39,85","40,09","40,09","39,54","1,22M","-0,47%"
"28.12.2021","40,04","40,09","40,09","39,55","735,00K","-0,02%"
"27.12.2021","40,05","40,09","40,40","39,72","1,89M","0,40%"
"23.12.2021","39,89","39,97","40,28","39,66","2,10M","-0,65%"
"22.12.2021","40,15","40,09","40,27","39,57","1,89M","0,38%"
"21.12.2021","40,00","39,64","40,04","39,13","1,98M","1,06%"
"20.12.2021","39,58","39,15","40,04","38,99","1,83M","-0,98%"
"17.12.2021","39,97","39,16","40,77","39,09","7,31M","0,96%"
"16.12.2021","39,59","39,62","39,87","39,13","2,10M","-0,08%"
"15.12.2021","39,62","39,00","39,89","38,35","2,91M","1,75%"
"14.12.2021","38,94","39,58","39,92","38,91","2,88M","-0,66%"
"13.12.2021","39,20","38,51","39,60","38,24","3,76M","1,48%"
"10.12.2021","38,63","38,70","39,10","38,37","2,24M","0,89%"
"09.12.2021","38,29","38,31","38,77","37,92","2,47M","-0,67%"
"08.12.2021","38,55","38,05","38,95","37,97","2,55M","1,47%"
"07.12.2021","37,99","38,22","38,29","37,56","2,91M","0,48%"
"06.12.2021","37,81","37,49","38,53","37,44","2,92M","1,31%"
"03.12.2021","37,32","36,73","37,68","36,73","2,94M","1,69%"
"02.12.2021","36,70","34,42","36,72","34,23","4,26M","8,07%"
"01.12.2021","33,96","33,65","34,37","33,21","2,61M","0,83%"
"30.11.2021","33,68","34,15","34,21","33,18","4,61M","-1,81%"
"29.11.2021","34,30","34,33","34,51","33,93","1,55M","0,44%"
"26.11.2021","34,15","34,46","34,63","33,86","1,87M","-2,29%"
"25.11.2021","34,95","34,39","35,20","34,23","861,40K","2,13%"
"24.11.2021","34,22","33,89","34,47","33,75","1,62M","-0,55%"
"23.11.2021","34,41","34,18","34,41","33,56","1,98M","0,50%"
"22.11.2021","34,24","34,62","35,08","34,17","2,56M","-2,09%"
"19.11.2021","34,97","34,49","35,21","34,48","1,33M","1,57%"
"18.11.2021","34,43","34,98","35,18","34,25","3,50M","-0,78%"
"17.11.2021","34,70","35,44","35,64","34,33","1,94M","-1,67%"
"16.11.2021","35,29","35,96","36,15","34,90","2,86M","-2,11%"
"12.11.2021","36,05","36,83","37,25","35,69","1,53M","-2,38%"
"11.11.2021","36,93","37,03","37,55","36,75","1,40M","0,71%"
"10.11.2021","36,67","36,23","37,15","36,08","2,05M","1,24%"
"09.11.2021","36,22","35,64","36,79","35,59","1,59M","1,66%"
"08.11.2021","35,63","35,83","36,48","35,31","2,91M","-1,49%"
"05.11.2021","36,17","36,00","36,73","35,90","1,39M","1,03%"
"04.11.2021","35,80","36,49","36,63","35,41","1,91M","-2,19%"
"03.11.2021","36,60","35,33","36,86","35,32","2,70M","2,43%"
"01.11.2021","35,73","35,62","36,19","35,28","1,55M","1,51%"
"29.10.2021","35,20","36,27","36,63","35,20","1,89M","-2,55%"
"28.10.2021","36,12","36,01","36,80","35,92","2,29M","-0,44%"
"27.10.2021","36,28","35,61","37,14","35,61","2,51M","2,02%"
"26.10.2021","35,56","35,66","36,02","35,02","2,93M","-1,63%"
"25.10.2021","36,15","35,70","36,61","35,61","2,63M","1,32%"
"22.10.2021","35,68","35,56","36,21","34,40","4,65M","-2,25%"
"21.10.2021","36,50","37,60","37,60","35,93","3,24M","-3,39%"
"20.10.2021","37,78","38,17","38,83","37,66","1,44M","-0,63%"
"19.10.2021","38,02","38,42","38,81","37,62","2,02M","-2,16%"
"18.10.2021","38,86","38,73","39,38","38,30","2,20M","-0,46%"
"15.10.2021","39,04","39,21","39,39","38,75","1,11M","-0,41%"
"14.10.2021","39,20","38,90","39,22","38,40","1,28M","0,82%"
"13.10.2021","38,88","38,16","39,10","37,69","2,39M","2,37%"
"11.10.2021","37,98","37,18","38,53","37,11","1,82M","0,29%"
"08.10.2021","37,87","37,87","38,40","37,68","1,93M","1,42%"
"07.10.2021","37,34","36,81","37,75","36,78","2,19M","1,74%"
"06.10.2021","36,70","36,48","36,85","35,62","3,00M","-0,38%"
"05.10.2021","36,84","37,40","37,50","36,51","2,06M","-1,44%"
"04.10.2021","37,38","38,30","38,31","37,05","2,11M","-2,35%"
"01.10.2021","38,28","38,80","38,80","37,57","3,33M","-0,75%"
"30.09.2021","38,57","39,60","40,44","38,37","9,20M","0,76%"
"29.09.2021","38,28","37,69","38,91","37,41","3,54M","1,57%"
"28.09.2021","37,69","37,85","38,32","37,55","2,42M","-1,23%"
"27.09.2021","38,16","37,51","38,58","37,27","3,18M","0,71%"
"24.09.2021","37,89","36,95","38,11","36,50","3,24M","1,66%"
"23.09.2021","37,27","37,20","37,58","36,95","2,01M","0,43%"
"22.09.2021","37,11","36,24","37,63","35,93","2,78M","2,83%"
"21.09.2021","36,09","35,99","36,76","35,65","2,29M","0,50%"
"20.09.2021","35,91","35,20","35,91","34,76","1,96M","1,81%"
"17.09.2021","35,27","35,03","35,42","34,77","5,36M","0,48%"
"16.09.2021","35,10","34,74","35,73","34,52","3,76M","0,49%"
"15.09.2021","34,93","35,19","35,42","34,39","1,70M","-0,46%"
"14.09.2021","35,09","34,92","35,65","34,74","2,08M","0,40%"
"13.09.2021","34,95","34,44","35,24","34,10","2,18M","2,82%"
"10.09.2021","33,99","34,28","35,05","33,66","2,28M","-0,85%"
"09.09.2021","34,28","33,50","34,57","33,25","3,62M","1,90%"
"08.09.2021","33,64","35,54","35,61","33,64","4,93M","-5,51%"
"06.09.2021","35,60","35,55","36,05","35,40","1,25M","0,00%"
"03.09.2021","35,60","36,52","36,53","35,37","6,37M","-2,44%"
"02.09.2021","36,49","36,24","36,80","35,74","2,79M","0,08%"
"01.09.2021","36,46","35,93","36,90","35,78","2,48M","0,91%"
"31.08.2021","36,13","36,69","36,74","35,38","5,86M","-1,45%"
"30.08.2021","36,66","36,72","36,83","36,30","1,44M","-0,97%"
"27.08.2021","37,02","36,13","37,27","35,99","4,38M","2,80%"
"26.08.2021","36,01","36,05","36,94","35,86","3,18M","-0,55%"
"25.08.2021","36,21","36,28","36,29","35,48","2,14M","-0,25%"
"24.08.2021","36,30","36,35","36,67","35,72","2,80M","0,36%"
"23.08.2021","36,17","36,29","36,41","34,65","6,77M","-1,04%"
"20.08.2021","36,55","32,55","37,85","32,55","15,43M","10,86%"
"19.08.2021","32,97","31,53","33,14","31,25","6,56M","4,04%"
"18.08.2021","31,69","32,86","32,88","31,64","5,54M","-3,53%"
"17.08.2021","32,85","33,50","33,92","32,55","3,06M","-3,33%"
"16.08.2021","33,98","33,41","34,15","33,39","2,19M","1,16%"
"13.08.2021","33,59","34,44","34,49","33,19","3,37M","-2,50%"
"12.08.2021","34,45","34,94","34,94","34,30","1,58M","-1,37%"
"11.08.2021","34,93","34,88","35,16","34,54","2,57M","0,32%"
"10.08.2021","34,82","35,65","35,77","34,63","2,25M","-2,33%"
"09.08.2021","35,65","35,45","36,30","35,24","1,84M","0,37%"
"06.08.2021","35,52","34,58","35,71","34,41","3,03M","2,45%"
"05.08.2021","34,67","35,66","35,74","34,53","2,44M","-2,01%"
"04.08.2021","35,38","35,60","36,00","35,13","1,71M","-1,37%"
"03.08.2021","35,87","35,90","36,14","35,05","1,82M","0,14%"
"02.08.2021","35,82","35,83","36,44","35,39","2,57M","1,02%"
