"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"30.12.2021","14,54","14,43","14,86","14,38","8,87M","0,97%"
"29.12.2021","14,40","14,72","14,77","14,28","3,59M","-1,44%"
"28.12.2021","14,61","14,61","14,72","14,35","3,78M","0,34%"
"27.12.2021","14,56","14,40","14,60","14,22","5,34M","2,03%"
"23.12.2021","14,27","14,32","14,40","14,16","2,24M","0,00%"
"22.12.2021","14,27","14,20","14,32","14,00","2,87M","0,42%"
"21.12.2021","14,21","14,36","14,49","14,15","4,48M","-0,77%"
"20.12.2021","14,32","15,00","15,03","14,17","8,38M","-5,73%"
"17.12.2021","15,19","15,14","15,32","14,95","14,75M","-0,98%"
"16.12.2021","15,34","15,27","15,48","15,13","4,91M","0,85%"
"15.12.2021","15,21","15,27","15,35","14,85","9,36M","-0,39%"
"14.12.2021","15,27","15,48","15,80","15,18","7,49M","-1,80%"
"13.12.2021","15,55","15,32","15,75","15,10","11,46M","1,77%"
"10.12.2021","15,28","15,20","15,50","15,12","3,98M","1,66%"
"09.12.2021","15,03","15,27","15,37","14,85","6,53M","-2,21%"
"08.12.2021","15,37","15,01","15,47","14,78","9,62M","3,22%"
"07.12.2021","14,89","15,14","15,15","14,70","10,74M","-0,53%"
"06.12.2021","14,97","14,81","15,03","14,59","10,20M","1,56%"
"03.12.2021","14,74","14,25","15,15","14,25","12,47M","3,44%"
"02.12.2021","14,25","14,25","14,52","13,83","14,77M","2,37%"
"01.12.2021","13,92","14,60","14,72","13,86","8,23M","-3,53%"
"30.11.2021","14,43","14,20","14,43","13,69","20,00M","1,69%"
"29.11.2021","14,19","13,84","14,44","13,81","7,66M","4,03%"
"26.11.2021","13,64","13,86","13,86","13,40","5,32M","-3,54%"
"25.11.2021","14,14","13,92","14,44","13,91","5,58M","2,17%"
"24.11.2021","13,84","13,71","14,05","13,51","8,64M","-0,36%"
"23.11.2021","13,89","13,36","13,92","13,21","7,03M","4,99%"
"22.11.2021","13,23","13,67","13,99","13,22","9,23M","-2,65%"
"19.11.2021","13,59","13,50","13,90","13,39","8,01M","0,52%"
"18.11.2021","13,52","13,41","13,62","13,19","9,72M","1,12%"
"17.11.2021","13,37","13,42","13,58","13,02","8,21M","0,83%"
"16.11.2021","13,26","13,61","13,71","13,01","8,68M","-1,63%"
"12.11.2021","13,48","13,34","13,58","13,00","9,16M","0,37%"
"11.11.2021","13,43","13,17","13,66","13,04","7,41M","3,55%"
"10.11.2021","12,97","12,89","13,15","12,87","6,08M","-0,38%"
"09.11.2021","13,02","12,48","13,25","12,46","5,80M","4,49%"
"08.11.2021","12,46","12,24","12,66","12,20","7,07M","0,00%"
"05.11.2021","12,46","12,50","12,80","12,12","12,91M","0,65%"
"04.11.2021","12,38","13,28","13,31","12,14","18,22M","-8,09%"
"03.11.2021","13,47","13,02","13,66","12,83","7,43M","3,46%"
"01.11.2021","13,02","13,35","13,35","12,77","6,49M","-0,23%"
"29.10.2021","13,05","13,42","13,48","13,02","5,61M","-2,39%"
"28.10.2021","13,37","13,52","13,79","13,27","6,39M","-2,69%"
"27.10.2021","13,74","13,28","13,99","13,27","6,58M","3,85%"
"26.10.2021","13,23","13,58","13,67","13,19","8,35M","-3,57%"
"25.10.2021","13,72","13,62","13,96","13,44","7,67M","1,63%"
"22.10.2021","13,50","13,64","13,89","12,70","18,82M","-3,30%"
"21.10.2021","13,96","14,61","14,73","13,60","12,41M","-5,42%"
"20.10.2021","14,76","14,70","15,10","14,61","6,08M","1,03%"
"19.10.2021","14,61","15,28","15,28","14,53","7,45M","-5,25%"
"18.10.2021","15,42","14,95","15,61","14,93","7,56M","2,25%"
"15.10.2021","15,08","14,76","15,18","14,44","8,06M","1,00%"
"14.10.2021","14,93","15,17","15,17","14,77","3,91M","-1,58%"
"13.10.2021","15,17","14,91","15,37","14,86","6,50M","1,95%"
"11.10.2021","14,88","14,62","15,13","14,45","8,25M","1,22%"
"08.10.2021","14,70","14,32","14,95","14,26","13,53M","4,18%"
"07.10.2021","14,11","14,34","14,46","14,11","8,31M","-1,47%"
"06.10.2021","14,32","14,36","14,73","13,96","8,47M","-2,59%"
"05.10.2021","14,70","14,88","15,04","14,63","10,85M","-0,07%"
"04.10.2021","14,71","14,78","15,01","14,55","9,36M","-2,45%"
"01.10.2021","15,08","14,91","15,28","14,74","6,30M","2,31%"
"30.09.2021","14,74","14,95","15,25","14,74","7,79M","-1,40%"
"29.09.2021","14,95","15,10","15,39","14,94","5,57M","-0,27%"
"28.09.2021","14,99","15,42","15,49","14,89","8,31M","-2,66%"
"27.09.2021","15,40","15,56","15,82","15,13","5,86M","-2,35%"
"24.09.2021","15,77","15,65","15,97","15,58","4,76M","-1,44%"
"23.09.2021","16,00","15,02","16,22","15,01","25,23M","9,51%"
"22.09.2021","14,61","14,30","14,83","14,27","8,24M","3,11%"
"21.09.2021","14,17","13,70","14,36","13,63","5,68M","3,66%"
"20.09.2021","13,67","13,79","13,80","13,44","7,75M","-1,58%"
"17.09.2021","13,89","14,39","14,44","13,82","14,74M","-3,54%"
"16.09.2021","14,40","14,24","14,49","14,19","5,06M","0,84%"
"15.09.2021","14,28","14,56","14,72","14,23","4,61M","-1,59%"
"14.09.2021","14,51","14,85","15,16","14,51","6,32M","-2,55%"
"13.09.2021","14,89","14,65","14,96","14,51","4,58M","4,27%"
"10.09.2021","14,28","14,70","14,93","14,28","10,36M","-1,92%"
"09.09.2021","14,56","14,10","14,86","13,91","11,11M","3,04%"
"08.09.2021","14,13","14,94","14,94","14,08","13,11M","-5,61%"
"06.09.2021","14,97","14,66","14,97","14,59","2,16M","1,42%"
"03.09.2021","14,76","14,48","14,83","14,32","11,94M","2,64%"
"02.09.2021","14,38","14,54","15,03","14,22","11,04M","-0,83%"
"01.09.2021","14,50","14,48","14,65","14,28","6,24M","0,42%"
"31.08.2021","14,44","14,66","15,04","14,30","9,00M","-1,16%"
"30.08.2021","14,61","14,66","14,82","14,50","7,31M","-0,34%"
"27.08.2021","14,66","14,74","15,04","14,55","9,10M","0,21%"
"26.08.2021","14,63","15,40","15,44","14,63","11,95M","-5,25%"
"25.08.2021","15,44","15,48","15,60","15,17","4,88M","-0,19%"
"24.08.2021","15,47","15,27","15,64","15,18","5,40M","2,52%"
"23.08.2021","15,09","15,39","15,41","15,07","4,31M","-1,82%"
"20.08.2021","15,37","15,03","15,40","14,94","5,02M","0,00%"
"19.08.2021","15,37","15,13","15,58","14,92","7,03M","0,46%"
"18.08.2021","15,30","16,05","16,05","15,30","10,15M","-4,97%"
"17.08.2021","16,10","15,73","16,19","15,43","12,54M","2,16%"
"16.08.2021","15,76","15,65","16,32","15,41","14,12M","1,09%"
"13.08.2021","15,59","15,33","15,74","15,17","12,44M","2,50%"
"12.08.2021","15,21","16,14","16,14","15,10","36,21M","-12,33%"
"11.08.2021","17,35","17,37","17,54","16,75","13,90M","-0,23%"
"10.08.2021","17,39","17,76","17,82","17,30","4,23M","-2,03%"
"09.08.2021","17,75","16,97","17,87","16,96","12,25M","3,80%"
"06.08.2021","17,10","17,10","17,35","16,96","5,45M","0,59%"
"05.08.2021","17,00","17,53","17,71","17,00","6,22M","-1,79%"
"04.08.2021","17,31","17,33","17,58","16,91","9,16M","-0,75%"
"03.08.2021","17,44","17,51","17,59","17,02","5,20M","-0,11%"
"02.08.2021","17,46","18,02","18,11","17,46","8,27M","-1,24%"
"30.07.2021","17,68","18,25","18,44","17,68","5,51M","-4,17%"
"29.07.2021","18,45","18,37","18,62","18,28","3,28M","0,27%"
"28.07.2021","18,40","18,19","18,60","17,98","4,81M","1,71%"
"27.07.2021","18,09","18,06","18,17","17,85","6,04M","-0,71%"
"26.07.2021","18,22","18,41","18,44","18,06","3,92M","-0,76%"
"23.07.2021","18,36","18,60","18,74","18,22","3,55M","-1,29%"
"22.07.2021","18,60","18,65","18,74","18,36","5,70M","-0,21%"
"21.07.2021","18,64","18,70","18,79","18,46","6,34M","-0,11%"
"20.07.2021","18,66","18,70","18,84","18,48","3,45M","-0,53%"
"19.07.2021","18,76","18,82","18,90","18,55","4,56M","-1,32%"
"16.07.2021","19,01","19,43","19,56","19,01","3,67M","-1,40%"
"15.07.2021","19,28","19,62","19,72","19,27","6,86M","-1,98%"
"14.07.2021","19,67","19,55","19,93","19,55","15,30M","1,39%"
"13.07.2021","19,40","19,29","19,50","19,16","5,27M","0,05%"
"12.07.2021","19,39","19,12","19,55","19,09","8,65M","1,73%"
"08.07.2021","19,06","18,75","19,10","18,51","9,72M","-0,21%"
"07.07.2021","19,10","18,70","19,42","18,44","9,80M","3,24%"
"06.07.2021","18,50","18,59","18,68","18,24","5,49M","-1,54%"
"05.07.2021","18,79","18,84","18,94","18,58","2,13M","-0,84%"
"02.07.2021","18,95","18,30","19,20","18,21","8,79M","4,24%"
"01.07.2021","18,18","18,39","18,45","17,96","5,62M","-1,14%"
"30.06.2021","18,39","18,51","18,60","18,20","5,25M","-0,76%"
"29.06.2021","18,53","19,11","19,15","18,51","9,68M","-3,44%"
"28.06.2021","19,19","19,10","19,40","19,01","10,97M","1,05%"
"25.06.2021","18,99","19,30","19,40","18,75","5,41M","-1,81%"
"24.06.2021","19,34","19,35","19,43","19,08","4,37M","0,99%"
"23.06.2021","19,15","19,44","19,60","19,13","4,26M","-1,95%"
"22.06.2021","19,53","19,59","19,70","19,29","3,72M","-0,96%"
"21.06.2021","19,72","19,66","19,91","19,50","3,67M","0,61%"
"18.06.2021","19,60","19,78","19,88","19,44","5,53M","-0,86%"
"17.06.2021","19,77","20,05","20,30","19,65","5,59M","-1,84%"
"16.06.2021","20,14","20,82","20,95","20,05","11,42M","-2,56%"
"15.06.2021","20,67","20,22","20,67","19,87","7,04M","2,43%"
"14.06.2021","20,18","20,36","20,68","20,15","2,89M","-0,30%"
"11.06.2021","20,24","20,43","20,53","20,01","2,84M","-1,17%"
"10.06.2021","20,48","20,65","20,93","20,34","6,46M","-0,58%"
"09.06.2021","20,60","21,06","21,35","20,56","4,44M","-2,65%"
"08.06.2021","21,16","21,10","21,41","21,04","3,30M","-0,80%"
"07.06.2021","21,33","21,12","21,70","20,96","7,63M","0,90%"
"04.06.2021","21,14","20,87","21,20","20,60","7,35M","1,34%"
"02.06.2021","20,86","20,75","21,15","20,50","6,95M","0,77%"
"01.06.2021","20,70","19,49","20,97","19,49","16,45M","7,25%"
"31.05.2021","19,30","19,01","19,38","18,95","4,83M","1,26%"
"28.05.2021","19,06","19,43","19,43","18,90","5,51M","-0,94%"
"27.05.2021","19,24","19,30","19,57","19,10","5,74M","-0,47%"
"26.05.2021","19,33","19,16","19,38","19,04","5,93M","2,28%"
"25.05.2021","18,90","19,27","19,34","18,85","5,29M","-1,46%"
"24.05.2021","19,18","19,44","19,47","19,03","4,49M","-0,83%"
"21.05.2021","19,34","19,78","19,84","19,06","5,49M","-2,13%"
"20.05.2021","19,76","20,33","20,33","19,51","5,22M","-2,80%"
"19.05.2021","20,33","20,19","20,70","19,90","10,93M","0,84%"
"18.05.2021","20,16","20,86","20,86","19,98","5,83M","-1,18%"
"17.05.2021","20,40","19,89","20,53","19,78","4,58M","2,20%"
"14.05.2021","19,96","20,05","20,12","19,78","5,21M","0,91%"
"13.05.2021","19,78","19,54","20,07","19,52","8,18M","1,23%"
"12.05.2021","19,54","19,35","19,69","18,97","7,91M","0,51%"
"11.05.2021","19,44","19,70","19,70","19,24","7,68M","-2,11%"
"10.05.2021","19,86","20,15","20,49","19,71","6,64M","-2,36%"
"07.05.2021","20,34","20,33","20,37","19,78","7,38M","0,30%"
"06.05.2021","20,28","21,12","21,53","20,07","14,15M","-6,84%"
"05.05.2021","21,77","21,56","22,09","21,34","5,79M","2,21%"
"04.05.2021","21,30","21,54","21,73","21,17","7,41M","-1,25%"
"03.05.2021","21,57","21,09","21,62","20,86","4,38M","2,18%"
"30.04.2021","21,11","21,10","21,75","20,97","6,25M","-0,89%"
"29.04.2021","21,30","20,86","21,49","20,80","6,01M","1,82%"
"28.04.2021","20,92","20,40","21,05","20,06","5,96M","2,75%"
"27.04.2021","20,36","21,02","21,80","20,24","8,32M","-3,42%"
"26.04.2021","21,08","20,95","21,34","20,78","3,11M","0,52%"
"23.04.2021","20,97","21,12","21,41","20,89","4,34M","-0,14%"
"22.04.2021","21,00","21,29","21,42","20,74","4,35M","-0,90%"
"20.04.2021","21,19","21,13","21,63","21,12","2,56M","-0,42%"
"19.04.2021","21,28","20,98","21,42","20,85","5,04M","0,90%"
"16.04.2021","21,09","20,87","21,49","20,83","4,13M","-0,14%"
"15.04.2021","21,12","20,86","21,12","20,83","3,83M","1,05%"
"14.04.2021","20,90","20,93","21,17","20,75","4,02M","-0,10%"
"13.04.2021","20,92","20,58","20,98","20,21","4,21M","1,21%"
"12.04.2021","20,67","20,55","20,82","20,46","2,24M","1,08%"
"09.04.2021","20,45","20,54","20,81","20,45","2,49M","-2,43%"
"08.04.2021","20,96","20,86","21,05","20,44","2,66M","0,53%"
"07.04.2021","20,85","20,78","21,29","20,72","3,96M","-0,71%"
"06.04.2021","21,00","21,00","21,44","20,82","2,45M","-0,47%"
"05.04.2021","21,10","20,91","21,38","20,71","3,10M","1,49%"
"01.04.2021","20,79","21,00","21,25","20,63","2,98M","-1,98%"
"31.03.2021","21,21","21,50","21,68","20,93","4,57M","-0,52%"
"30.03.2021","21,32","20,65","21,55","20,63","4,73M","1,48%"
"29.03.2021","21,01","20,59","21,10","20,50","4,07M","0,43%"
"26.03.2021","20,92","19,70","21,28","19,63","8,74M","3,77%"
"25.03.2021","20,16","19,21","20,34","18,99","5,20M","3,60%"
"24.03.2021","19,46","19,60","20,09","19,43","4,73M","-0,56%"
"23.03.2021","19,57","19,62","20,25","19,44","3,39M","-1,11%"
"22.03.2021","19,79","19,75","20,49","19,61","7,15M","-0,15%"
"19.03.2021","19,82","19,33","20,15","19,24","7,04M","2,01%"
"18.03.2021","19,43","19,61","20,06","19,25","4,51M","-3,33%"
"17.03.2021","20,10","18,96","20,17","18,92","4,71M","4,80%"
"16.03.2021","19,18","19,35","19,67","19,10","3,31M","-0,47%"
"15.03.2021","19,27","19,44","19,56","19,17","4,25M","-1,28%"
"12.03.2021","19,52","19,28","19,67","18,81","6,43M","0,15%"
"11.03.2021","19,49","18,43","19,72","18,10","7,87M","6,39%"
"10.03.2021","18,32","18,11","18,35","17,44","9,80M","2,06%"
"09.03.2021","17,95","17,79","18,35","17,62","6,29M","1,36%"
"08.03.2021","17,71","18,50","18,97","17,60","8,88M","-7,90%"
"05.03.2021","19,23","18,88","19,40","18,65","6,87M","-0,62%"
"04.03.2021","19,35","18,40","19,87","18,29","17,29M","6,20%"
"03.03.2021","18,22","18,51","18,73","17,33","15,22M","-2,51%"
"02.03.2021","18,69","18,50","18,90","17,50","15,12M","-0,32%"
"01.03.2021","18,75","19,41","19,73","18,67","6,48M","-2,95%"
"26.02.2021","19,32","19,90","19,90","19,12","10,72M","-1,83%"
"25.02.2021","19,68","21,14","21,20","19,34","23,20M","-7,52%"
"24.02.2021","21,28","21,49","21,82","21,11","6,60M","-0,47%"
"23.02.2021","21,38","21,25","21,84","21,00","9,92M","1,47%"
"22.02.2021","21,07","21,94","21,99","20,55","24,63M","-7,83%"
"19.02.2021","22,86","22,35","23,01","22,18","4,62M","1,60%"
"18.02.2021","22,50","23,13","23,15","22,25","4,98M","-3,47%"
"17.02.2021","23,31","23,01","23,63","22,85","3,72M","-0,38%"
"12.02.2021","23,40","23,41","23,65","23,15","4,14M","-0,04%"
"11.02.2021","23,41","23,64","23,99","23,02","5,88M","-1,27%"
"10.02.2021","23,71","23,76","24,13","23,43","10,44M","-2,79%"
"09.02.2021","24,39","23,64","24,46","23,54","6,08M","2,22%"
"08.02.2021","23,86","23,60","24,08","23,38","5,70M","1,10%"
