"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"30.12.2021","15,16","14,98","15,30","14,88","12,80M","2,43%"
"29.12.2021","14,80","14,75","14,96","14,65","10,53M","0,34%"
"28.12.2021","14,75","15,01","15,01","14,58","13,20M","-1,93%"
"27.12.2021","15,04","14,72","15,10","14,71","10,50M","1,21%"
"23.12.2021","14,86","14,90","14,90","14,64","10,68M","-0,27%"
"22.12.2021","14,90","15,02","15,21","14,56","15,64M","-1,46%"
"21.12.2021","15,12","14,90","15,23","14,85","12,06M","3,07%"
"20.12.2021","14,67","15,22","15,26","14,56","19,97M","-5,60%"
"17.12.2021","15,54","15,63","15,77","15,36","13,96M","-1,33%"
"16.12.2021","15,75","15,64","15,89","15,33","21,53M","2,01%"
"15.12.2021","15,44","15,35","15,54","14,97","15,82M","0,85%"
"14.12.2021","15,31","15,52","15,79","15,08","17,60M","-0,52%"
"13.12.2021","15,39","15,48","15,82","15,23","16,27M","1,18%"
"10.12.2021","15,21","15,08","15,67","15,05","15,35M","1,81%"
"09.12.2021","14,94","14,80","14,98","14,42","14,50M","-0,73%"
"08.12.2021","15,05","15,05","15,33","14,80","12,41M","0,87%"
"07.12.2021","14,92","15,36","15,51","14,85","25,11M","0,95%"
"06.12.2021","14,78","14,53","14,82","14,15","20,38M","3,87%"
"03.12.2021","14,23","14,33","14,73","13,88","23,54M","-1,39%"
"02.12.2021","14,43","13,51","14,43","13,45","31,64M","7,45%"
"01.12.2021","13,43","13,96","14,34","13,35","22,82M","-1,18%"
"30.11.2021","13,59","13,63","14,13","13,28","29,58M","-0,80%"
"29.11.2021","13,70","13,50","13,85","13,36","29,75M","6,12%"
"26.11.2021","12,91","13,37","13,45","12,70","26,11M","-6,58%"
"25.11.2021","13,82","13,68","13,88","13,46","14,01M","1,10%"
"24.11.2021","13,67","13,36","14,02","13,25","33,81M","3,48%"
"23.11.2021","13,21","13,20","13,78","12,97","30,98M","4,76%"
"22.11.2021","12,61","12,66","12,88","12,34","30,12M","2,94%"
"19.11.2021","12,25","12,30","12,59","12,15","25,71M","1,41%"
"18.11.2021","12,08","12,59","12,70","11,97","27,99M","-5,70%"
